channel_url,channel_name,scrape_at,channel_country,channel_subscriber,mean_view,channel_create_at,all_video_views,instagram,twitter,blog
/channel/UCCr764wWm_SVEyZtRO4yaUg,SMN Games &amp; Animes,2020/08/28,,,,,,,,
/user/RivenX3i,RivenX3i,2020/08/28,,,,,,,,
/channel/UCa2GRFEidMYEyao4X5rKZ1A,Ninja World,2020/08/28,,,,,,,,
/channel/UC5woP5N3zYTlIInNCxvSD3Q,buggyzin,2020/08/28,,,,,,,,
/channel/UClXIgqcM3U8z3kj1qcEYbhQ,AnimoiD,2020/08/28,,,,,,,,
/user/Therackaracka,RackaRacka,2020/08/28,,,,,,,,
/channel/UCTc2QjQ-mK3vd7lPekRxCJw,Anime Movie,2020/08/28,,,,,,,,
/channel/UC3aHp9p4sGyUgPmBWrcKx7g,Masskarado Games,2020/08/28,,,,,,,,
/channel/UCoVzHTtOVzXewfz8ee1xWZw,Anime Kingdom,2020/08/28,,,,,,,,
/channel/UC-OWKpPJFJ2iY1tx5Je0Zrw,KONODIODAAA H,2020/08/28,,,,,,,,
/channel/UCwu_iHEmFfSKMQJbRU8vH0Q,RE:ANIME,2020/08/28,,,,,,,,
/channel/UC_4PRrKey0iv18cqHuj9CLA,MHRAP,2020/08/28,,,,,,,,
/user/khaoza001,Ashura Shippuden,2020/08/28,,,,,,,,
/channel/UCazFScO30FKY3YoNNDfNY5g,Arabian Fairy Tales,2020/08/28,,,,,,,,
/channel/UCi4vAMDUfdAA5anI47umOxg,Bengali Fairy Tales,2020/08/28,,,,,,,,
/channel/UCJQbvbAE3NasaQEP4o1umTA,hải nguyên phim hoạt hình,2020/08/28,,,,,,,,
/user/Kevomac,Kevomac,2020/08/28,,,,,,,,
/user/TheJake2371,Jake 2371,2020/08/28,,,,,,,,
/channel/UClBHcxa8RJhKaVUyGTiUHsQ,Noble Nitro,2020/08/28,,,,,,,,
/user/MyPupTobi,MyPupTobi,2020/08/28,,,,,,,,
