title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
"【Alan Wlaker, K 391X Dusk Till Dawn X 周星星   流离 X 梁爽凉爽   根本你不懂得爱我】DJ SkR BPM 170 Private M!x 2020",/watch?v=_H42wf8crLE,9,BMG SKY,,1か月前,226,4
地街洗衣粉《迷人的危险 X 与我无关 X 无人之岛 X 影子习惯 》Manyao nonstop 2020 Rmx By DJ Steven,/watch?v=3dFBvxM3zVo,18,BMG SKY,,1か月前,226,8
『Astronomia - 野狼disco〤Bad Liar 〤等什麼君〤孤芳自賞〤 下山 』2020最火歌曲dj - 2020年最劲爆的DJ歌曲 - 你听得越多-就越舒适愉快 - 娛樂,/watch?v=LI0g4iNkaUc,5,BMG SKY,,1か月前,226,2
Chinese DJ- (中文舞曲) -最受歡迎的歌曲2020年 - 你听得越多-就越舒适愉快 - 娛樂 - 全女声超好-最新的DJ歌曲 2020- 令人難忘的 年 -Chinese DJ Remix,/watch?v=ZdFpgZGv6vE,3,BMG SKY,,1か月前,226,1
中国最好的歌曲 2020 DJ 排行榜 中国-Chinese DJ (中文舞曲)-舞曲串烧 2020 Chinese DJ- 年最劲爆的DJ歌曲-跟我你不配 全中文DJ舞曲 高清 新2020夜店混音,/watch?v=Ggx8LhtZLqM,0,BMG SKY,,1か月前,226,0
『Bad Liar 〤兄弟想你了〤阿冗 - 你的答案〤 孤芳自賞〤 等什麼君〤下山 』2020最火歌曲dj - 2020年最劲爆的DJ歌曲 - 你听得越多-就越舒适愉快 - 娛樂,/watch?v=jIkaeyH9A1Q,9,BMG SKY,,1か月前,226,4
『兄弟想你了〤孤芳自賞 〤Bad Liar 〤阿冗 - 你的答案 〤等什麼君 〤下山 』2020最火歌曲dj - 2020年最劲爆的DJ歌曲 - 你听得越多-就越舒适愉快 - 娛樂,/watch?v=vhPcRn_GAaU,3,BMG SKY,,1か月前,226,1
『等什麼君〤阿冗 - 你的答案〤Bad Liar 〤兄弟想你了 〤 孤芳自賞〤下山 』2020最火歌曲dj - 2020年最劲爆的DJ歌曲 - 你听得越多-就越舒适愉快 - 娛樂,/watch?v=apv6jx3clXM,4,BMG SKY,,1か月前,226,2
『等什麼君〤阿冗 - 你的答案〤Bad Liar 〤兄弟想你了 〤 孤芳自賞〤下山 』2020最火歌曲dj - 2020年最劲爆的DJ歌曲 - 你听得越多-就越舒适愉快 - 娛樂,/watch?v=rqRnc1UiuyE,5,BMG SKY,,1か月前,226,2
2020 年最劲爆的DJ歌曲 - 中文舞曲 - Chinese DJ Remix - 2020全中文舞曲串烧-全中文DJ舞曲 高清 新2020夜店混音 - Chinese DJ 2020,/watch?v=YK4_noVsk6A,3,BMG SKY,,1か月前,226,1
Chinese DJ 2020 (2020 好聽歌曲合輯) 跟我你不配 全中文DJ舞曲 高清 新2019夜店混音 |「2020最火歌曲DJ」| Chinese Dj Remix 2020勉強用、,/watch?v=88jri5AJTAE,1,BMG SKY,,1か月前,226,0
Chinese Dj - 2020全中文舞曲串烧- Nonstop China Mix - 2020年最劲爆的DJ歌曲 - 全中文DJ舞曲 高清 新2020夜店混音- Chinese Dj Remix,/watch?v=0a9R4Sl22lY,10,BMG SKY,,1か月前,226,4
Chinese Dj - 2020全中文舞曲串烧- Nonstop China Mix - 2020年最劲爆的DJ歌曲 - 全中文DJ舞曲 高清 新2020夜店混音,/watch?v=Qth7L6qV0rM,6,BMG SKY,,1か月前,226,3
兄弟想你了 ♪ 你的答案 ♪ 赤伶 - 等什么君 ♪ 抖音神曲 ♪ 阿悠悠 - 旧梦一场 ♪ 想死卻又不敢 ♪ 2020夜店舞曲 重低音 ♪ 2020最火歌曲dj,/watch?v=Px97DyGCGPg,11,BMG SKY,,1か月前,226,5
2020夜店舞曲 重低音 - 你的答案〤兄弟想你了〤火红的萨日朗 〤 司南 - 冬眠 〤欧若拉〤 孤芳自賞 | 2020最火歌曲dj - 最受歡迎的歌曲2020年 - 2020年最劲爆的DJ歌曲,/watch?v=mK0az0PqBD8,4,BMG SKY,,1か月前,226,2
【2020 好聽歌曲合輯】- 2020 年最劲爆的DJ歌曲 - 2020年 最Hits 最受歡迎 華語人氣歌曲 串燒 - Chinese DJ - 跟我你不配 全中文DJ舞曲 高清 新2020夜店混音,/watch?v=8hOfpufjuBU,8,BMG SKY,,1か月前,226,4
2020夜店舞曲 重低音 - 2020最火歌曲dj -全中文DJ舞曲 高清 新2020夜店混音 - 你听得越多-就越舒适愉快 - 全女声超好 - 2020全中文舞曲串烧,/watch?v=jZzixQv6u1E,10,BMG SKY,,1か月前,226,4
Chinese Dj Remix 2020「2020最火歌曲DJ」慢搖【嚣张〤大田後生仔〤野狼disco〤你的答案〤火红的萨日朗〤病变】2020全中文舞曲串烧 - 2020 年最劲爆的DJ歌曲,/watch?v=ZVpbJCxAoN4,5,BMG SKY,,1か月前,226,2
『孤芳自賞〤Bad Liar 〤等什麼君〤兄弟想你了 〤阿冗 - 你的答案〤下山 』2020最火歌曲dj - 2020年最劲爆的DJ歌曲 - 你听得越多-就越舒适愉快 - 娛樂,/watch?v=lfYkDFXpWI4,3,BMG SKY,,1か月前,226,1
Chinese Dj Remix 20202020DJdisco2020   2020 DJChinese Dj Remix 2020「2020最火歌曲DJ」慢搖【你的答案〤火红的萨日朗,/watch?v=IrU59hmqzj8,7,BMG SKY,,1か月前,226,3
Chinese Dj Remix 2020「2020最火歌曲DJ」慢搖【嚣张〤野狼disco〤你的答案〤大田後生仔〤火红的萨日朗〤只是太愛你】2020全中文舞曲串烧 - 2020 年最劲爆的DJ歌曲,/watch?v=J3prQjDuZ78,18260,BMG SKY,,1か月前,226,8080
Chinese Dj Remix 2020「2020最火歌曲DJ」慢搖【你的答案〤火红的萨日朗〤野狼disco〤嚣张〤大田後生仔〤左手指月】2020全中文舞曲串烧 - 2020 年最劲爆的DJ歌曲,/watch?v=CH5jrNGd9cM,10,BMG SKY,,1か月前,226,4
「2020最火歌曲DJ」慢搖【嚣张〤大田後生仔〤野狼disco〤你的答案〤火红的萨日朗〤病变】2020全中文舞曲串烧 - 2020 年最劲爆的DJ歌曲,/watch?v=GCcnTYDMBqU,4,BMG SKY,,1か月前,226,2
Chinese Dj Remix 2020 2020最火歌曲dj - 2020夜店舞曲 重低音 慢搖【大田後生仔〤火红的萨日朗〤野狼disco〤你的答案〤嚣张〤我要吃肉肉】2020全中文舞曲串烧,/watch?v=KP8EkOUy5Js,9,BMG SKY,,1か月前,226,4
2020 年最劲爆的DJ歌曲 - Chinese DJ - DJ 排行榜 中国 跟我你不配 全中文DJ舞曲 高清 新2020夜店混音 -中文舞曲中国最好的歌曲2020 -舞曲串烧 Chinese DJ,/watch?v=5evwl4yv1Gk,10,BMG SKY,,1か月前,226,4
2020 年最劲爆的DJ歌曲- (2020 好聽歌曲合輯) 2020流行华语歌曲 Chinese pop song-跟我你不配,/watch?v=N9EeQq4Wa64,3,BMG SKY,,1か月前,226,1
【2020 好聽歌曲合輯】- 2020 年最劲爆的DJ歌曲 - 2020年 最Hits 最受歡迎 華語人氣歌曲 串燒 - Chinese DJ - 跟我你不配 全中文DJ舞曲 高清 新2020夜店混音,/watch?v=6epQJVzGyYQ,5,BMG SKY,,1か月前,226,2
舞曲串烧 Chinese DJ -年最劲爆的DJ歌曲 -中文舞曲中国最好的歌曲2020 - DJ 排行榜 中国 跟我你不配 全中文DJ舞曲 高清,/watch?v=OvbpnBsFmT8,12,BMG SKY,,1か月前,226,5
Chinese DJ Remix【2020 好聽歌曲合輯】2020流行华语歌曲 Nonstop China Mix - 跟我你不配 全中文DJ舞曲 高清 新2020夜店混音【最強】Chinese DJ,/watch?v=krazPKmz61E,9,BMG SKY,,1か月前,226,4
"祝你有個愉快的一天，聆聽！✔與您的朋友分享這個視頻！✔另外不要忘記點擊鈴聲了解所有新聞！⚠請幫我達到100,000註冊",/watch?v=qqy8b3GSZ0E,5,BMG SKY,,1か月前,226,2
『等什麼君 〤阿冗 - 你的答案〤Bad Liar〤兄弟想你了〤孤芳自賞〤下山 』2020最火歌曲dj - 2020年最劲爆的DJ歌曲 - 你听得越多-就越舒适愉快 - 娛樂,/watch?v=-mbd881ywCQ,7,BMG SKY,,1か月前,226,3
Chinese Dj Remix 2020「2020最火歌曲DJ」慢搖【嚣张〤火红的萨日朗〤大田後生仔〤你的答案〤野狼disco〤公子向北走】2020全中文舞曲串烧 - 2020 年最劲爆的DJ歌曲,/watch?v=hmaSlT6VDQo,5,BMG SKY,,1か月前,226,2
2020 年最劲爆的DJ歌曲 -【2020 好聽歌曲合輯】Chinese dj - 中国最好的歌曲 2020 DJ 排行榜 中国 -最新的DJ歌曲 2020 (中文舞曲) 你听得越多-就越舒适愉快,/watch?v=gHGeJd9nfD0,3,BMG SKY,,1か月前,226,1
2020夜店舞曲 重低音 - 2020最火歌曲dj -全中文DJ舞曲 高清 新2020夜店混音 - 你听得越多-就越舒适愉快 - 全女声超好 - 2020全中文舞曲串烧,/watch?v=GxqmhtiZoHo,3,BMG SKY,,1か月前,226,1
2020夜店舞曲 重低音 2020最火歌曲dj 2020年最新dj歌曲 2020全中文舞曲串烧 全中文DJ舞曲 高清 新2020夜店混音# Chinese Dj Remix,/watch?v=Fd4o1xUdlfU,53,BMG SKY,,1か月前,226,23
【2020 好聽歌曲合輯】- 2020 年最劲爆的DJ歌曲 - 2020年 最Hits 最受歡迎 華語人氣歌曲 串燒 - Chinese DJ - 跟我你不配 全中文DJ舞曲 高清 新2020夜店混音,/watch?v=TMEvyFFN_CU,1,BMG SKY,,1か月前,226,0
Chinese Dj Remix - 2020年最劲爆的DJ歌曲【我愿意平凡的陪在你身旁 ✘爱的供养 ✘綠色 ✘一曲相思】DJ MoonBaby,/watch?v=fW61jw_ZOIE,6,BMG SKY,,1か月前,226,3
年最劲爆的DJ歌曲 (中文舞曲) Chinese Dj Remix - 2020首精選歌曲 超好聽- 2020全中文舞曲串烧-全中文DJ舞曲 高清 新2020夜店混音 - Chinese dj,/watch?v=iN2UaOnDYXs,17,BMG SKY,,1か月前,226,8
2020夜店舞曲 重低音 - 2020最火歌曲dj - 2020年最新dj歌曲- 2020全中文舞曲串烧- 全中文DJ舞曲 高清 新2020夜店混音- 串烧 dj china remix 2020,/watch?v=orWk2WgCMEY,8,BMG SKY,,1か月前,226,4
【2020 好聽歌曲合輯】- 2020 年最劲爆的DJ歌曲 - 2020年 最Hits 最受歡迎 華語人氣歌曲 串燒 - Chinese DJ - 跟我你不配 全中文DJ舞曲 高清 新2020夜店混音,/watch?v=HTl9U64T4P8,3,BMG SKY,,1か月前,226,1
2020 年最劲爆的DJ歌曲 -【2020 好聽歌曲合輯】Chinese dj - 中国最好的歌曲 2020 DJ 排行榜 中国,/watch?v=KQ9envVTo5k,3,BMG SKY,,1か月前,226,1
2020 年最劲爆的DJ歌曲 -【2020 好聽歌曲合輯】Chinese dj - 中国最好的歌曲 2020 DJ 排行榜 中国 -最新的DJ歌曲 2020 (中文舞曲) 你听得越多-就越舒适愉快,/watch?v=8UVVRfWr9uQ,3,BMG SKY,,1か月前,226,1
中国最好的歌曲 2020 DJ 排行榜 中国-Chinese DJ (中文舞曲)- 年最劲爆的DJ歌曲-舞曲串烧 2020 Chinese DJ-跟我你不配 全中文DJ舞曲 高清 新2020夜店混音,/watch?v=BOhMdQY-bBk,8,BMG SKY,,1か月前,226,4
Chinese DJ 2020 - 2020 年最劲爆的DJ歌曲 - 中文舞曲 - Chinese DJ Remix - 2020全中文舞曲串烧-全中文DJ舞曲 高清 新2020夜店混音,/watch?v=sBPxCXX86UE,5,BMG SKY,,1か月前,226,2
【2020 好聽歌曲合輯】- 2020 年最劲爆的DJ歌曲 - 2020年 最Hits 最受歡迎 華語人氣歌曲 串燒 - Chinese DJ - 跟我你不配 全中文DJ舞曲 高清 新2020夜店混音,/watch?v=b4kko76c6Ak,9,BMG SKY,,1か月前,226,4
舞曲串烧 Chinese DJ - Chinese DJ 2020- 中文舞曲中国最好的歌曲2020 - DJ 排行榜 中国 跟我你不配 全中文DJ舞曲 高清 新2020夜店混音-年最劲爆的DJ歌曲,/watch?v=X9Kf4qNt7fM,12,BMG SKY,,1か月前,226,5
【癒し効果】バレンタイン用平和とか幸せて感じがするカッコイイ曲されるアニソンメドレー 【作業用BGM 2020】,/watch?v=euKDfCvbXtM,48,BMG SKY,,5か月前,226,21
ヘッドホンで聴くといい感じ！テンション跳ね上がる重低音ミックスカッコイイ曲最強アニソンメドレー Bass Boosted Remix Anime Music 【作業用BGM 2020】,/watch?v=WcnFHZ_jZTQ,55,BMG SKY,,5か月前,226,24
【作業用BGM】燃え上がる火テンション跳ね上がる最強アニソンメドレー FIRE ON Burning Anime Music 【作業用BGM 2020】,/watch?v=Vgt7Wg9dCec,82,BMG SKY,,5か月前,226,36
【ホラーアニメBGM】ハロウィンに聴きたくなる、ハロウィアニソンメドレー 【作業用BGM 2020】,/watch?v=H8KkT9SmNv8,64,BMG SKY,,5か月前,226,28
【癒し効果】美しく感動するカッコイイ曲癒されるアニソンメドレー Beautiful Emotional Anime Songs 【作業用BGM 2020】,/watch?v=ksfmotNBZeE,86,BMG SKY,,5か月前,226,38
【作業用BGM】テンション跳ね上がるカッコイイ曲最強にかっこいいアニソンメドレー Powerful Anime Vocal Songs 【作業用BGM 2020】,/watch?v=izgtR4ZqI-M,48,BMG SKY,,5か月前,226,21
【作業用BGM】テンション跳ね上がる重低音英語限定曲最強アニソンメドレー Powerful English Vocal Anime Music 【作業用BGM 2020】,/watch?v=NGmEmHtPTlw,47,BMG SKY,,5か月前,226,21
テンション跳ね上がる重低音英語限定曲最強アニソンメドレー Powerful English Vocal Anime Music 【作業用BGM 2020】,/watch?v=OOEMlh0pGDw,58,BMG SKY,,5か月前,226,26
【作業用BGM】テンション跳ね上がる重低音ミックス戦闘曲最強にかっこいいアニソンメドレー Strongest Powerful Remix Anime Music 【作業用BGM 2020】,/watch?v=GR35YFVBHAM,14,BMG SKY,,5か月前,226,6
【作業用BGM】テンション跳ね上がるカッコイイ曲2020最強アニソンメドレー 【作業用BGM 2020】,/watch?v=k0mlhsfOJeU,23,BMG SKY,,5か月前,226,10
【作業用BGM】テンション跳ね上がる重低音ミックスカッコイイ曲最強アニソンメドレー Bass Boosted Remix Anime Songs 【作業用BGM 2020】,/watch?v=HqtGSIM2hqc,68,BMG SKY,,5か月前,226,30
【作業用BGM】テンション跳ね上がる、神戦闘サウンドトラック集 Best Battle Anime Songs 【作業用BGM 2020】,/watch?v=8XjJF6HSITQ,7,BMG SKY,,5か月前,226,3
【作業用BGM】テンション跳ね上がる重低音ミックスカッコイイ曲最強アニソンメドレー Best Remix Anime Songs 【作業用BGM 2020】,/watch?v=JPv6H2AsHL8,45,BMG SKY,,5か月前,226,20
【作業用BGM】テンション跳ね上がるカッコイイ曲2019最強アニソンメドレー 【作業用BGM 2020】,/watch?v=qaW1WcXMr1U,89,BMG SKY,,5か月前,226,39
【作業用BGM】フェイトFATEシリーズ 疾走感のあるかっこいい戦闘曲最強アニソンメドレー 【作業用BGM 2020】,/watch?v=JV4eALBg_KE,34,BMG SKY,,5か月前,226,15
【作業用BGM】テンション跳ね上がる戦闘壮大な声フル曲最強アニソンメドレー Strongest Epic Chorus Anime Music 【作業用BGM 2020】,/watch?v=v034-Cm2_Qk,43,BMG SKY,,5か月前,226,19
ナイトコア 洋楽 作業用 ♥️ ナイトコア 洋楽 有名 ♥️ 【作業用BGM】Nightcoreメドレー[高音質] Nightcore medley 【作業用BGM 2020】,/watch?v=23E2lTAqJE0,37,BMG SKY,,5か月前,226,16
テンション跳ね上がる戦闘壮大な声フル曲最強アニソンメドレー Strongest Battle Anime Soundtrack 【作業用BGM 2020】,/watch?v=gukAhGqCbkk,110,BMG SKY,,5か月前,226,49
【作業用BGM】疾走感のあるかっこいい戦闘フル曲最強アニソンメドレー Powerful Battle Vocal Anime Songs 【作業用BGM 2020】,/watch?v=ys2BthEi0t0,20,BMG SKY,,5か月前,226,9
ヘッドホンで聴くといい感じ！テンション跳ね上がる重低音ミックス曲最強アニソンメドレー 【作業用BGM 2020】,/watch?v=IajJGmluStE,10,BMG SKY,,5か月前,226,4
美しく感動するカッコイイミックス曲癒されるアニソンメドレー Beautiful Remix Anime Music 【作業用BGM 2020】,/watch?v=jt4sn2AE6_8,51,BMG SKY,,5か月前,226,23
美しく感動するカッコイイミックス曲癒されるアニソンメドレー Beautiful Remix Anime Music 【作業用BGM 2020】,/watch?v=zaMZgnsuGh4,46,BMG SKY,,5か月前,226,20
