title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
2020年ドラマ主題歌メドレー ♥♥最新 挿入歌 邦楽 メドレー ♥♥J-POP 邦楽 ベストヒット曲 メドレー年間ランキング Vol 5,/watch?v=lVPRQrUMT5w,338,Band In Jap,12300,,1915,18
夏の歌！夏に聴きたい曲 邦楽メドレー！定番サマーソング おすすめ人気J-POPベストヒット！【作業用BGM】 ♪ღ♫ 夏うた J-POP 夏歌 BGM メドレー,/watch?v=NG6YdP5OjBI,1089,Band In Jap,12300,,1915,57
クリスマス 2021 ❄クリスマスソング洋楽邦楽冬歌 bgm 定番メドレー❄ 邦楽クリスマスソングおすすめ人気曲メドレー,/watch?v=lAQH5hzAw2E,122,Band In Jap,12300,,1915,6
【泣ける曲】涙が止まらないほど泣ける歌 | 感動する歌 泣ける歌 メドレー,/watch?v=jKzySnEB1VQ,746,Band In Jap,12300,,1915,39
2020年ドラマ主題歌メドレー ♥♥最新 挿入歌 邦楽 メドレー ♥♥J-POP 邦楽 ベストヒット曲 メドレー年間ランキング Vol 4,/watch?v=OxJGmoYrBUk,619,Band In Jap,12300,,1915,32
テンションあがる夏ソング♥♥ 夏うたメドレー50曲 ♥♥ JPOP summer song 夏うた・夏の歌♥♥ 夏に聴きたい曲 ドライブ 夏歌 サマーソング メドレー,/watch?v=-h-GpldrBmA,663,Band In Jap,12300,,1915,35
テンションあがる夏ソング♥♥ 夏うたメドレー50曲 ♥♥ JPOP summer song 夏うた・夏の歌♥♥ 夏に聴きたい曲 ドライブ 夏歌 サマーソング メドレー,/watch?v=HWOsduQiwhA,553,Band In Jap,12300,,1915,29
テンションあがる夏ソング♥♥ 夏うたメドレー50曲 ♥♥ JPOP summer song 夏うた・夏の歌♥♥ 夏に聴きたい曲 ドライブ 夏歌 サマーソング メドレー,/watch?v=oETyFgcziCg,16815,Band In Jap,12300,,1915,878
2020年ドラマ主題歌メドレー ♥♥最新 挿入歌 邦楽 メドレー ♥♥J-POP 邦楽 ベストヒット曲 メドレー年間ランキング Vol 3,/watch?v=XSF8jTBFFLc,979,Band In Jap,12300,,1915,51
テンションあがる夏ソング ♥♥ 夏うたメドレー50曲 ♥♥ JPOP summer song 夏うた・夏の歌 ♥♥ 夏に聴きたい曲 ドライブ 夏歌 サマーソング メドレー,/watch?v=ZqJgYHb-izE,1690,Band In Jap,12300,,1915,88
テンションあがる夏ソング♥♥ 夏うたメドレー50曲 ♥♥ JPOP summer song 夏うた・夏の歌♥♥ 夏に聴きたい曲 ドライブ 夏歌 サマーソング メドレー vol2,/watch?v=U0-7DVLC6zM,787,Band In Jap,12300,,1915,41
テンションあがる夏ソング ♥♥ 夏うたメドレー50曲 ♥♥ JPOP summer song 夏うた・夏の歌 ♥♥ 夏に聴きたい曲 ドライブ 夏歌 サマーソング メドレー,/watch?v=KX5LxbCtiPE,385,Band In Jap,12300,,1915,20
テンションあがる夏ソング♥♥ 夏うたメドレー50曲 ♥♥| JPOP summer song 夏うた・夏の歌♥♥ 夏に聴きたい曲 ドライブ 夏歌 サマーソング メドレー,/watch?v=TvUoZzsqfaw,421,Band In Jap,12300,,1915,22
テンションあがる夏ソング♥♥ 夏うたメドレー50曲 ♥♥| JPOP summer song 夏うた・夏の歌♥♥ 夏に聴きたい曲 ドライブ 夏歌 サマーソング メドレー,/watch?v=2LtDd-eP3u0,872,Band In Jap,12300,,1915,46
クリスマス 2021 ❄クリスマスソング洋楽邦楽冬歌 bgm 定番メドレー❄ 邦楽クリスマスソングおすすめ人気曲メドレー,/watch?v=hWsWFQpewXM,43,Band In Jap,12300,,1915,2
JPOP 秋の歌 【50曲】 秋に聴きたい曲【秋うた・秋ソング・バラード邦】J POPメドレー邦楽 2020 vol3,/watch?v=M66Zus9f3Vo,260,Band In Jap,12300,,1915,14
JPOP 最新曲ランキング 邦楽 2020 ♫♫ 音楽 ランキング 最新 2020 2021 ♫♫ ベストソング 2020 2021,/watch?v=azFUsp_4GVg,988,Band In Jap,12300,,1915,52
邦楽 ランキング 最新 2020 ♫ 2020年ヒット曲 名曲 【作業用BGM 邦楽】,/watch?v=GIe3n9llRxw,844,Band In Jap,12300,,1915,44
クリスマス 2021 ❄クリスマスソング洋楽邦楽冬歌 bgm 定番メドレー❄ 邦楽クリスマスソングおすすめ人気曲メドレー,/watch?v=zlQQ2MqQzzA,124,Band In Jap,12300,,1915,6
JPOP 最新曲ランキング 邦楽 2020 ♫♫ 音楽 ランキング 最新 2020 2021 ♫♫ ベストソング 2020 2021,/watch?v=CqlYYvguH3s,729,Band In Jap,12300,,1915,38
JPOP 秋の歌 【50曲】 秋に聴きたい曲【秋うた・秋ソング・バラード邦】J POPメドレー邦楽 2020 vol2,/watch?v=lJu5FHRZZ7c,244,Band In Jap,12300,,1915,13
邦楽 ランキング 最新 2020 ♫ 2020年ヒット曲 名曲 【作業用BGM 邦楽】,/watch?v=hs4D8k6M7ww,454,Band In Jap,12300,,1915,24
心にしみる日本の曲 感動する歌 こころに響く名曲 泣ける曲 優しい歌 号泣など Music of Japan vol2,/watch?v=1Oq4btitnwM,737,Band In Jap,12300,,1915,38
テンションあがる夏ソング♥♥ 夏うたメドレー50曲 ♥♥| JPOP summer song 夏うた・夏の歌♥♥ 夏に聴きたい曲 ドライブ 夏歌 サマーソング メドレー,/watch?v=fX4x3Uani_0,1288,Band In Jap,12300,,1915,67
JPOP 最新曲ランキング ♫♫邦楽 2020ヒットチャート 新曲 メドレー ♫ ♫ 新曲 2020-2021 ♫ JPOP 音楽 (最新曲 2020-2021)【作業用bgm】,/watch?v=986vYzf46gY,1362,Band In Jap,12300,,1915,71
心にしみる日本の曲 感動する歌 こころに響く名曲 泣ける曲 優しい歌 号泣など Music of Japan,/watch?v=Rh3Eu6ViO5A,695,Band In Jap,12300,,1915,36
"ドラマ主題歌 2019 2020 最新 挿入歌 邦楽 メドレー ♥♥♥邦楽 10,000,000回を超えた再生回数 ランキング 名曲 メドレー",/watch?v=-oTTZf5mYGA,802,Band In Jap,12300,,1915,42
JPOP 最新曲ランキング ♫♫邦楽 2020ヒットチャート 新曲 メドレー ♫ ♫ 新曲 2020-2021 ♫ JPOP 音楽 (最新曲 2020-2021)【作業用bgm】,/watch?v=3RkZGzKwP9s,957,Band In Jap,12300,,1915,50
邦楽 ランキング 最新 2020 ♫ 2020年ヒット曲 名曲 【作業用BGM 邦楽】,/watch?v=d01pqdCcEFk,1112,Band In Jap,12300,,1915,58
邦楽 ランキング 最新 2020 ♫ 2020年ヒット曲 名曲 【作業用BGM 邦楽】,/watch?v=-lTahj-PCZw,2603,Band In Jap,12300,,1915,136
JPOP 秋の歌 【50曲】 秋に聴きたい曲【秋うた・秋ソング・バラード邦】J POPメドレー邦楽 2020,/watch?v=aYgeCegap0o,322,Band In Jap,12300,,1915,17
2020年ドラマ主題歌メドレー ♥♥最新 挿入歌 邦楽 メドレー ♥♥J-POP 邦楽 ベストヒット曲 メドレー年間ランキング,/watch?v=FchoegQUz2Q,877,Band In Jap,12300,,1915,46
2020年ドラマ主題歌メドレー ♥♥最新 挿入歌 邦楽 メドレー ♥♥J-POP 邦楽 ベストヒット曲 メドレー年間ランキング,/watch?v=0gtHon4GQu4,1472,Band In Jap,12300,,1915,77
"ドラマ主題歌 2020 最新 挿入歌 邦楽 メドレー ❤❤ 邦楽 10,000,000回を超えた再生回数 ランキング 名曲 メドレー",/watch?v=5AD05jMMZFI,682,Band In Jap,12300,,1915,36
JPOP 秋の歌 【50曲】 秋に聴きたい曲【秋うた・秋ソング・バラード邦】J POPメドレー邦楽 2020,/watch?v=OBCSCLgi5xs,145,Band In Jap,12300,,1915,8
テンションあがる夏ソング♥♥ 夏うたメドレー50曲 ♥♥| JPOP summer song 夏うた・夏の歌♥♥ 夏に聴きたい曲 ドライブ 夏歌 サマーソング メドレー,/watch?v=0VKUZ1kmHIQ,1660,Band In Jap,12300,,1915,87
テンションあがる夏ソング♥♥ 夏うたメドレー50曲 ♥♥| JPOP summer song 夏うた・夏の歌♥♥ 夏に聴きたい曲 ドライブ 夏歌 サマーソング メドレー,/watch?v=V1FvpiDmNAk,1755,Band In Jap,12300,,1915,92
2020年ドラマ主題歌メドレー ♥♥最新 挿入歌 邦楽 メドレー ♥♥J-POP 邦楽 ベストヒット曲 メドレー年間ランキング,/watch?v=gkcyMFh3zTs,1074,Band In Jap,12300,,1915,56
テンションあがる夏ソング♥♥ 夏うたメドレー50曲 ♥♥| JPOP summer song 夏うた・夏の歌♥♥ 夏に聴きたい曲 ドライブ 夏歌 サマーソング メドレー,/watch?v=oxqIIKEUIBo,1793,Band In Jap,12300,,1915,94
"ドラマ主題歌 2019 2020 最新 挿入歌 邦楽 メドレー ♥♥♥ 邦楽 10,000,000回を超えた再生回数 ランキング 名曲 メドレー",/watch?v=ze3qOv1QD5A,1253,Band In Jap,12300,,1915,65
JPOP 最新曲ランキング ♫♫邦楽 2020ヒットチャート 新曲 メドレー ♫ ♫ 新曲 2020-2021 ♫ JPOP 音楽 (最新曲 2020-2021)【作業用bgm】,/watch?v=Iy4N6LFAegY,1465,Band In Jap,12300,,1915,77
邦楽 ランキング 最新 2020 ♫ 2020年ヒット曲 名曲 【作業用BGM 邦楽】,/watch?v=nHmQDnQ1L84,1303,Band In Jap,12300,,1915,68
"邦楽 10,000,000回を超えた再生回数 ランキング 名曲 メドレー",/watch?v=mZTwrKEneb0,735,Band In Jap,12300,,1915,38
夏の歌！夏に聴きたい曲 邦楽メドレー！定番サマーソング おすすめ人気J POPベストヒット！【作業用BGM】,/watch?v=CEDWtLM0n28,801,Band In Jap,12300,,1915,42
2020年ドラマ主題歌メドレー ♥♥最新 挿入歌 邦楽 メドレー ♥♥J-POP 邦楽 ベストヒット曲 メドレー年間ランキング,/watch?v=CHbYTGFFJg0,4319,Band In Jap,12300,,1915,226
夏の歌！夏に聴きたい曲 邦楽メドレー！定番サマーソング おすすめ人気J POPベストヒット！【作業用BGM】,/watch?v=kzg8sUCaM3M,1014,Band In Jap,12300,,1915,53
"ドラマ主題歌 2019 2020 最新 挿入歌 邦楽 メドレー ♥♥♥邦楽 10,000,000回を超えた再生回数 ランキング 名曲 メドレー VOL2",/watch?v=lchsZWFD4io,1123,Band In Jap,12300,,1915,59
JPOP 最新曲ランキング ♫♫邦楽 2020ヒットチャート 新曲 メドレー ♫ ♫ 新曲 2020-2021 ♫ JPOP 音楽 (最新曲 2020-2021)【作業用bgm】 vol3,/watch?v=Ol6x5JCMxF0,2621,Band In Jap,12300,,1915,137
"邦楽 10,000,000回を超えた再生回数 ランキング 名曲 メドレー",/watch?v=zepngTTq0m8,2079,Band In Jap,12300,,1915,109
2020年ドラマ主題歌メドレー ♥♥最新 挿入歌 邦楽 メドレー ♥♥J-POP 邦楽 ベストヒット曲 メドレー年間ランキング,/watch?v=xXkVtG92V6s,3055,Band In Jap,12300,,1915,160
夏の歌！夏に聴きたい曲 邦楽メドレー！定番サマーソング おすすめ人気J POPベストヒット！【作業用BGM】,/watch?v=MpZ5MVkGJwY,3099,Band In Jap,12300,,1915,162
2020年ドラマ主題歌メドレー ♥♥最新 挿入歌 邦楽 メドレー ♥♥J-POP 邦楽 ベストヒット曲 メドレー年間ランキング,/watch?v=QGm5XisNxl8,2004,Band In Jap,12300,,1915,105
"ドラマ主題歌 2019 2020 最新 挿入歌 邦楽 メドレー ♥♥♥邦楽 10,000,000回を超えた再生回数 ランキング 名曲 メドレー",/watch?v=RvluiRR4Koo,1879,Band In Jap,12300,,1915,98
邦楽 ランキング 最新 2020 ♫ 2020年ヒット曲 名曲 【作業用BGM 邦楽】,/watch?v=l-VLBxKLrdo,1431,Band In Jap,12300,,1915,75
テンションあがる夏ソング ♥♥ 夏うたメドレー50曲 ♥♥ JPOP summer song 夏うた・夏の歌 ♥♥ 夏に聴きたい曲 ドライブ 夏歌 サマーソング メドレー,/watch?v=1zGQS3LmJ74,1012,Band In Jap,12300,,1915,53
邦楽 ランキング 最新 2020 ♫ 2020年ヒット曲 名曲 【作業用BGM 邦楽】,/watch?v=y-Fu7O2CmaY,2135,Band In Jap,12300,,1915,111
邦楽 ランキング 最新 2020 ♫ 2020年ヒット曲 名曲 【作業用BGM 邦楽】vol2,/watch?v=HRFV9-I3Pbc,2085,Band In Jap,12300,,1915,109
"邦楽 10,000,000回を超えた再生回数 ランキング 名曲 メドレー",/watch?v=KOCPz0cjfbA,1033,Band In Jap,12300,,1915,54
夏の歌 メドレー ❤❤ JPOP Summer Song 夏うた・夏の歌 2020 ❤❤ 夏に聴きたい曲 メドレー vol2,/watch?v=TxPIAWY2n-E,966,Band In Jap,12300,,1915,50
2020年ドラマ主題歌メドレー ♥♥最新 挿入歌 邦楽 メドレー ♥♥J-POP 邦楽 ベストヒット曲 メドレー年間ランキング,/watch?v=Avjjq4VIHuE,3085,Band In Jap,12300,,1915,161
邦楽ヒップホップメドレー2020 ★ 絶対聞くべき日本語ラップ20選 ★ 日本語ラップ名曲~最高のヒップホップチャート 2020,/watch?v=Q-swjd7NROI,962,Band In Jap,12300,,1915,50
JPOP 最新曲ランキング ♫♫邦楽 2020ヒットチャート 新曲 メドレー ♫ ♫ 新曲 2020-2021 ♫ JPOP 音楽 (最新曲 2020-2021)【作業用bgm】,/watch?v=huh3SsQjirc,2248,Band In Jap,12300,,1915,117
邦楽 ランキング 最新 2020 ♫ 2020年ヒット曲 名曲 【作業用BGM 邦楽】,/watch?v=7-YKmFPhoTo,3151,Band In Jap,12300,,1915,165
邦楽 ランキング 最新 2020 ♫ 2020年ヒット曲 名曲 【作業用BGM 邦楽】,/watch?v=N1bWiQX_Sy4,600,Band In Jap,12300,,1915,31
"邦楽 10,000,000 回を超えた再生回数 ランキング 名曲 メドレー",/watch?v=J6lN-e8olEI,542,Band In Jap,12300,,1915,28
夏の歌 メドレー ❤❤ JPOP Summer Song 夏うた・夏の歌 2020 ❤❤ 夏に聴きたい曲 メドレー,/watch?v=ufh6l2-5yuc,1904,Band In Jap,12300,,1915,99
邦楽 ランキング 最新 2020 ♫ 2020年ヒット曲 名曲 【作業用BGM 邦楽】,/watch?v=MC1AWTjxUdY,3573,Band In Jap,12300,,1915,187
カラオケ 男 歌いやすい ♥♥ 男性に歌ってほしい曲 カラオケ J-POP 邦楽 人気 ランキング 歌 メドレー ♥♥ 声が低い人でも歌える曲,/watch?v=Ox0VLUZsos8,3937,Band In Jap,12300,,1915,206
"ドラマ主題歌 2019 2020 最新 挿入歌 邦楽 メドレー ♥♥♥ 邦楽 10,000,000回を超えた再生回数 ランキング 名曲 メドレー vol2",/watch?v=LgfW79OBQDM,6404,Band In Jap,12300,,1915,334
JPOP 最新曲ランキング ♫♫邦楽 2020ヒットチャート 新曲 メドレー ♫ ♫ 新曲 2020-2021 ♫ JPOP 音楽 (最新曲 2020-2021)【作業用bgm】,/watch?v=D1q8pKOILHs,1655,Band In Jap,12300,,1915,86
テンションあがる夏ソング ♫♫ JPOP Summer Song 夏うた ♫♫ 夏に聴きたい曲 ドライブ 夏歌 サマーソング メドレー邦楽,/watch?v=f5alyUEfY0M,1365,Band In Jap,12300,,1915,71
"邦楽 10,000,000回を超えた再生回数 ランキング 名曲 メドレー",/watch?v=KKxCR_hCED8,2962,Band In Jap,12300,,1915,155
邦楽 ランキング 最新 2020 ♫ 2020年ヒット曲 名曲 【作業用BGM 邦楽】,/watch?v=Hw_3BHTElwc,7582,Band In Jap,12300,,1915,396
"ドラマ主題歌 2019 2020 最新 挿入歌 邦楽 メドレー ♥♥♥ 邦楽 10,000,000回を超えた再生回数 ランキング 名曲 メドレー",/watch?v=gT4mJf18yHs,7351,Band In Jap,12300,,1915,384
"邦楽 10,000,000回を超えた再生回数 ランキング 名曲 メドレー",/watch?v=FEA4JOuhqCE,3752,Band In Jap,12300,,1915,196
