title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
Лучшая Музыка Смесь ♫ 2020 Лучшие Ремиксы На Иру Игровые Музыка Смесь ♫ 2020 Электро-Хаус,/watch?v=R4Mal5asZKs,0,Brian MacDonal,,,2,0
"Лучшая Музыка Смесь ♫ 2020 Лучшие Ремиксы На Иру ♫ Игровой Музыка, Электро-Хаус И Танцы",/watch?v=bnmREs6Zz8k,1,Brian MacDonal,,,2,50
Лучшая музыка Mix 2020 ♫ новые ремиксы ЭДМ игровой музыкальный микс 2020 ♫ электро хаус танцевальная,/watch?v=Qvc5KwDtYfE,2,Brian MacDonal,,,2,100
Лучшая музыка смесь ♫ 2020 лучшие ремиксы на Иру игровой музыкальный микс 2020 ♫ новый Electro House,/watch?v=-wpVt_RcWVg,2,Brian MacDonal,,,2,100
Лучшая Музыка Смесь ♫ 2020 Лучшие Ремиксы На Иру Игровой Музыкальный Микс 2020 ♫ Новый Electro Дома,/watch?v=TWMec6vUJWE,0,Brian MacDonal,,,2,0
Лучшая музыка смесь ♫ 2020 лучшие ремиксы на Иру игровой музыкальный микс 2020 ♫ новый Electro Хаус,/watch?v=RpOdP-ZaX1w,4,Brian MacDonal,,,2,200
Лучшая Музыка Смесь ♫ 2020 Лучшая СЭД Игровой Музыкальный Микс 2020 ♫ Новый Electro House_Part1_2,/watch?v=9jt_B4fFQLQ,0,Brian MacDonal,,,2,0
Лучшая Музыка Смесь ♫ 2020 Лучшая СЭД Игровой Музыкальный Микс 2020 ♫ Новый Electro Дома,/watch?v=DAXeXia1o38,0,Brian MacDonal,,,2,0
Лучшие Ремиксы На Иру Игровой Музыкальный Микс 2020 ♫ Новый Electro Хаус ♫ Лучшая Музыка Mix 2020,/watch?v=gCvzqOniN-Q,0,Brian MacDonal,,,2,0
Лучшая музыка смесь ♫ 2020 лучшие ремиксы на Иру игровой музыкальный микс 2020 ♫ новый Electro House,/watch?v=e60yo08IcaU,0,Brian MacDonal,,,2,0
