title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
絶対にこれだけは聞いてほしい!!最高にテンションの上がる洋楽   超かっこいい洋楽   洋楽 人気すぎる名曲 2019 2020 ヒット メドレー   かっこいい洋楽,/watch?v=G_vbS0k522U,0,Classic Music JP,2,1か月前,2,0
絶対にこれだけは聞いてほしい!!最高にテンションの上がる洋楽   超が付くほど有名な洋楽サビメドレー2020,/watch?v=Aufc6o6JplA,1,Classic Music JP,2,1か月前,2,50
超が付くほど有名な洋楽 サビメドレー流行った洋楽メドレー 1時間連続再生 🔥 超絶かっこいい神洋楽メドレー 2020,/watch?v=y6RCGGKt0eg,2,Classic Music JP,2,1か月前,2,100
超やる気が出る曲！おすすめハウス＆クラブミュージック集！ 洋楽 EDM 2020 ⚡,/watch?v=CzXQpnH0I7E,37,Classic Music JP,2,1か月前,2,1850
超やる気が出る曲！おすすめハウス＆クラブミュージック集！！   洋楽 EDM 2020   Best Shuffle Dance Music 2020,/watch?v=H-wuapgr-4U,9,Classic Music JP,2,1か月前,2,450
流行った洋楽メドレー 1時間連続再生 🎶 超絶かっこいい神洋楽メドレー 2020 🎶 歴代ベスト,/watch?v=HuJL5cZ6QcM,0,Classic Music JP,2,1か月前,2,0
流行った洋楽メドレー 1時間連続再生 💘 超絶かっこいい神洋楽メドレー 2020 💘 歴代ベスト,/watch?v=DJopbOsYfxQ,0,Classic Music JP,2,1か月前,2,0
流行った洋楽メドレー 1時間連続再生 🔥 超絶かっこいい神洋楽メドレー 2020 🔥 洋楽 ヒット チャート 🔥 Best Pop Popular Songs,/watch?v=PczIv924aU0,2,Classic Music JP,2,1か月前,2,100
流行った洋楽メドレー 1時間連続再生 🔥 超絶かっこいい神洋楽メドレー 2020 🔥 洋楽 ヒット チャート 🔥 New Popular Songs 2020,/watch?v=UK8zgd7-tmA,1,Classic Music JP,2,1か月前,2,50
流行った洋楽メドレー 1時間連続再生 🔥 超絶かっこいい神洋楽メドレー 2020 🔥 洋楽 ヒット チャート 🔥 New Popular Songs,/watch?v=i6Sv5Hl8zkY,0,Classic Music JP,2,1か月前,2,0
流行った洋楽メドレー 2時間連続再生 🎶 超絶かっこいい神洋楽メドレー 2020 🎶 歴代ベスト,/watch?v=MrbEQG4Twhw,1,Classic Music JP,2,1か月前,2,50
流行った洋楽メドレー 2時間連続再生 🔥 超絶かっこいい神洋楽メドレー 2020 🔥 洋楽 ヒット チャート 🔥 US UK Hit Songs Weekly Singles Chart,/watch?v=dJi3keTg930,3,Classic Music JP,2,1か月前,2,150
流行った洋楽メドレー2020 🎄1時間連続再生   心地いい！ おしゃれな洋楽メドレー,/watch?v=s9lQEowW0tE,0,Classic Music JP,2,1か月前,2,0
絶対にこれだけは聞いてほしい!!最高にテンションの上がる洋楽   超かっこいい洋楽   洋楽 人気すぎる名曲 2019 2020 ヒット メドレー   かっこいい洋楽 2020,/watch?v=LEGFeL6PkBo,0,Classic Music JP,2,1か月前,2,0
絶対にこれだけは聞いてほしい!!最高にテンションの上がる洋楽   超かっこいい洋楽   洋楽 人気すぎる名曲 2019 2020 ヒット メドレー   かっこいい洋楽,/watch?v=Ml48uOAzEFM,1,Classic Music JP,2,1か月前,2,50
洋楽 ヒット チャート 最新 2020年03月31日   洋楽 ランキング 最新 2020 03 31,/watch?v=pINxskQENHY,8,Classic Music JP,2,1か月前,2,400
