title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
ヒカル Hikaru,/watch?v=nN1bqTYl1JM,5847,Clifford Wisnesk,7880,,31017,19
【極上BGM】クールでおしゃれ！ドライブにぴったりの洋楽BGM トレンド/人気急上昇！,/watch?v=YqbUyTXWGcE,7830,Clifford Wisnesk,7880,,31017,25
アゲ熱　ALLジャンルメドレー　テンションの上がるDJミュージック,/watch?v=Tm7Zf2ij9bU,3912,Clifford Wisnesk,7880,,31017,13
生放送で歌ってみた,/watch?v=0e4rr45LtLA,290,Clifford Wisnesk,7880,,31017,1
【だにのぶ】Justin Bieber Boyfriend 　【生放送で歌ってみた】,/watch?v=aW8LjGsGjOw,403,Clifford Wisnesk,7880,,31017,1
K-POP好き必見!! SUPER夏MIXメドレー【アゲ熱MAX】,/watch?v=Wrlzpv3_A3Y,889,Clifford Wisnesk,7880,,31017,3
夏に聴きたい曲 ドライブ 夏歌 サマーソング メドレー,/watch?v=S2tbClSvY-Q,224137,Clifford Wisnesk,7880,,31017,723
Music:VOCALOID,/watch?v=SokoHO-7Dfw,120,Clifford Wisnesk,7880,,31017,0
【作業用BGM】3時間！テンションの上がる洋楽集,/watch?v=e8uwivXvvlc,323,Clifford Wisnesk,7880,,31017,1
生放送で歌ってみた,/watch?v=2SGsjuFAQaI,100,Clifford Wisnesk,7880,,31017,0
ヒカル Hikaru,/watch?v=NyBIVWeV1VU,267,Clifford Wisnesk,7880,,31017,1
Jpop 邦楽 ベストヒット曲 メドレー,/watch?v=jkMcwBpUtSM,31568,Clifford Wisnesk,7880,,31017,102
アイドルSUPER夏MIXメドレー【アゲ熱MAX】,/watch?v=aJbcBg0fXwA,559,Clifford Wisnesk,7880,,31017,2
ヒカル Hikaru,/watch?v=Vlw4I5aMvbk,105,Clifford Wisnesk,7880,,31017,0
生放送で歌ってみた,/watch?v=BV1aLddiOIA,55,Clifford Wisnesk,7880,,31017,0
さよならミッドナイト英語で歌ってみた【だにのぶ】,/watch?v=RxFhhvLSk44,990,Clifford Wisnesk,7880,,31017,3
生放送で歌ってみた,/watch?v=if3qO7Jj8W8,52,Clifford Wisnesk,7880,,31017,0
生放送で歌ってみた,/watch?v=6H0TOG31CZY,56,Clifford Wisnesk,7880,,31017,0
生放送で歌ってみた,/watch?v=Ap7MbKlB3qA,81,Clifford Wisnesk,7880,,31017,0
夏に聴きたい最強夏歌ランキング２０１７,/watch?v=CEaA5p0pgmE,130722,Clifford Wisnesk,7880,,31017,421
生放送で歌ってみた,/watch?v=nhNlbL03XSg,30,Clifford Wisnesk,7880,,31017,0
K-POP好き必見!! SUPER夏MIXメドレー【アゲ熱MAX】,/watch?v=9DZVqCytjNQ,522,Clifford Wisnesk,7880,,31017,2
夏に聴きたい曲 フェス 盛り上がる曲 洋楽 メドレー,/watch?v=KXO4hKxXSuQ,6738,Clifford Wisnesk,7880,,31017,22
生放送で歌ってみた,/watch?v=6eUBdhuZJbM,21,Clifford Wisnesk,7880,,31017,0
J-POPドライブ 夏うた Part1,/watch?v=9fTcKE-ow3g,11695,Clifford Wisnesk,7880,,31017,38
【逃げ恥】恋-Arrange ver.-cover【そらる×まふまふ】,/watch?v=iOqs-5byb40,239,Clifford Wisnesk,7880,,31017,1
さよならミッドナイト英語で歌ってみた【だにのぶ】,/watch?v=fl49FyhRt_0,2969,Clifford Wisnesk,7880,,31017,10
2017夏うた決定版！50曲メドレー【訂正版は動画概要欄から！！！】,/watch?v=4_BXouKutGg,4504,Clifford Wisnesk,7880,,31017,15
なつ,/watch?v=cjIP5cCXpa0,87,Clifford Wisnesk,7880,,31017,0
【だにのぶ】 真夏の果実 サザンオールスターズ 歌ってみた,/watch?v=CzcDZCcxKC0,3215,Clifford Wisnesk,7880,,31017,10
生放送で歌ってみた,/watch?v=CeUEsercBhE,29,Clifford Wisnesk,7880,,31017,0
2017年春アニメ - Spring 2017 Anime - OP・ED サビメドレー,/watch?v=EvQanME2_0U,88,Clifford Wisnesk,7880,,31017,0
生放送で歌ってみた,/watch?v=M_W_ptt5UFg,18,Clifford Wisnesk,7880,,31017,0
【だにのぶ】海と山椒魚　 米津玄師　【生放送で歌ってみた】,/watch?v=46d68Gr1s-A,3017,Clifford Wisnesk,7880,,31017,10
ラブソング 恋愛ソング J-POP 邦楽 メドレー,/watch?v=Qshnz6LQPWE,1163027,Clifford Wisnesk,7880,,31017,3750
生放送で歌ってみた,/watch?v=YI0eLgG6Sro,23,Clifford Wisnesk,7880,,31017,0
生放送で歌ってみた,/watch?v=ihnXI77blw0,19,Clifford Wisnesk,7880,,31017,0
erica - 「大好きでした」 PVフル,/watch?v=1kTNjFdSIXk,1751,Clifford Wisnesk,7880,,31017,6
夏,/watch?v=dYiVPAbfGhA,87,Clifford Wisnesk,7880,,31017,0
生放送で歌ってみた,/watch?v=QfuxTCgJsSA,17,Clifford Wisnesk,7880,,31017,0
生放送で歌ってみた,/watch?v=XuBk7yJBlbE,19,Clifford Wisnesk,7880,,31017,0
生放送で歌ってみた,/watch?v=9fokI3f5Rjg,27,Clifford Wisnesk,7880,,31017,0
生放送で歌ってみた,/watch?v=12nt8wq33_I,14,Clifford Wisnesk,7880,,31017,0
【だにのぶ】 さよならミッドナイト【生放送で歌ってみた】,/watch?v=DaTmcnTLVAo,1599,Clifford Wisnesk,7880,,31017,5
2017夏うた決定版！50曲メドレー【訂正版は動画概要欄から！！！】,/watch?v=TPHXNXmlhgY,1425,Clifford Wisnesk,7880,,31017,5
【だにのぶ】Backstreet Boys I Want It That Way　【生放送で歌ってみた】,/watch?v=6HIUXxXW1O4,836,Clifford Wisnesk,7880,,31017,3
生放送で歌ってみた,/watch?v=nQBdHujTlYo,15,Clifford Wisnesk,7880,,31017,0
【だにのぶ】アイネクライネ　米津玄師　【生放送で歌ってみた】,/watch?v=crwos77zq9s,3216,Clifford Wisnesk,7880,,31017,10
生放送で歌ってみた,/watch?v=rDxS1iD1fnI,15,Clifford Wisnesk,7880,,31017,0
【だにのぶ】Justin Bieber 【生放送で歌ってみた】,/watch?v=oz-8CepBDk8,655,Clifford Wisnesk,7880,,31017,2
テンションの上がるドライブにオススメの夏歌メドレー2017,/watch?v=H5f4NXUu00o,29490,Clifford Wisnesk,7880,,31017,95
生放送で歌ってみた,/watch?v=nedD7TClcUA,38,Clifford Wisnesk,7880,,31017,0
最高にハマる洋楽メドレー,/watch?v=PYeEklGrK10,170,Clifford Wisnesk,7880,,31017,1
