title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
泣きたい時に聴く歌・感動する歌 JPOP 人気曲メドレー 邦楽 切なくなる曲 💙 泣いちゃう曲,/watch?v=mz0KWnc5rlo,0,Hayley Z,,1か月前,2,0
涙が出るほど懐かしい心に残る名曲～邦楽集～,/watch?v=Bu26ZF20pUc,0,Hayley Z,,1か月前,2,0
感動する歌 泣ける曲 恋愛ソング邦楽メドレー♥♥♥ 感動する歌 泣ける曲 女性歌手 ボーカル 邦楽メドレー,/watch?v=5DZWXDZ3gYc,0,Hayley Z,,1か月前,2,0
歌えるとかっこいい曲 邦楽 ♪ღ♫ カラオケで歌えるとかっこいい歌 女性vo 篇 ♪ღ♫ 感動する歌 泣ける曲 女性歌手,/watch?v=f5eH5SR24_I,2,Hayley Z,,1か月前,2,100
感動する歌 泣ける曲 恋愛ソング邦楽メドレー♥♥♥ 感動する歌 泣ける曲 女性歌手 ボーカル 邦楽メドレー Vol 2,/watch?v=o_myJPgN7Oc,1,Hayley Z,,1か月前,2,50
涙が出るほど懐かしい心に残る名曲～邦楽集2～,/watch?v=oI1nN4oanvo,1,Hayley Z,,1か月前,2,50
泣きたい時に聴く歌・感動する歌 JPOP 人気曲メドレー 邦楽 切なくなる曲 💙 泣いちゃう曲,/watch?v=HNN8sAvL_aw,0,Hayley Z,,1か月前,2,0
朝聴きたい曲 JPop ♪ღ♫ 朝から聴く邦楽 前向きになる曲メドレー♪ღ♫気持ちの良い朝を迎える目覚ましポップ,/watch?v=5Js11E6wEyg,1,Hayley Z,,1か月前,2,50
"メドレー邦楽 10,000,000回を超えた再生回数 ランキング 名曲 JPOP 現代音楽",/watch?v=UA4wmJVu1C8,0,Hayley Z,,1か月前,2,0
泣きたい時に聴く歌・感動する歌 JPOP 人気曲メドレー 邦楽 切なくなる曲 💙 泣いちゃう曲 vol 7,/watch?v=TC4HBWj3LzA,3,Hayley Z,,1か月前,2,150
【泣けるラブソング】切ないバラード、心がギューっとなる恋の歌、しっとりカラオケで歌える名曲メドレー（邦楽）【作業用BGM】,/watch?v=1esx-1aIdEs,0,Hayley Z,,1か月前,2,0
【泣けるラブソング】切ないバラード、心がギューっとなる恋の歌、しっとりカラオケで歌える名曲メドレー（邦楽）【作業用BGM】,/watch?v=azGk5ou1Ba4,0,Hayley Z,,1か月前,2,0
歌えるとかっこいい曲 邦楽 ♪ღ♫ カラオケで歌えるとかっこいい歌 女性vo 篇 ♪ღ♫ 感動する歌 泣ける曲 女性歌手,/watch?v=IncXrinep3I,0,Hayley Z,,1か月前,2,0
別れの曲 失恋ソング 泣ける歌 片思い メドレー 失恋ソング 傷ついたあなたへ贈る名曲たち バラード 泣ける メドレー Vol 2,/watch?v=sw7VWPvBxvU,11,Hayley Z,,1か月前,2,550
心にしみる日本の曲 感動する歌 こころに響く名曲 泣ける曲 優しい歌 号泣など Music of Japan,/watch?v=0XqOVuiSRu4,0,Hayley Z,,1か月前,2,0
涙が出るほど懐かしい心に残る名曲～邦楽集2～ Vol 04,/watch?v=VNNBbo6gxXs,0,Hayley Z,,1か月前,2,0
歌えるとかっこいい曲 邦楽 ♪ღ♫ カラオケで歌えるとかっこいい歌 女性vo 篇 ♪ღ♫ 感動する歌 泣ける曲 女性歌手,/watch?v=Hwx10zz99Xo,2,Hayley Z,,1か月前,2,100
涙が出るほど懐かしい心に残る名曲～邦楽集2～ Vol 03,/watch?v=oGMcWfXpddk,0,Hayley Z,,1か月前,2,0
感動する歌 泣ける曲 恋愛ソング邦楽メドレー！片思い、両思いや失恋ソング等 おすすめJ POP 人気曲！名曲ベストヒット！【作業用BGM】,/watch?v=dq_gr6lBUrQ,4,Hayley Z,,1か月前,2,200
落ち込んだ時に聴く曲！人生の応援ソング!応援歌♪元気が出る曲！前向きになれる歌！邦楽名曲おすすめ人気J POPベストヒット,/watch?v=jYop4Utcdm4,4,Hayley Z,,1か月前,2,200
泣きたい時に聴く歌・感動する歌 JPOP 人気曲メドレー 邦楽 切なくなる曲 💙 泣いちゃう曲 vol 8,/watch?v=jQh8BPYmdH0,1,Hayley Z,,1か月前,2,50
歌えるとかっこいい曲 邦楽 ♪ღ♫ カラオケで歌えるとかっこいい歌 女性vo 篇 ♪ღ♫ 感動する歌 泣ける曲 女性歌手,/watch?v=iGvbwVYfOBg,0,Hayley Z,,1か月前,2,0
心にしみる日本の曲 感動する歌 こころに響く名曲 泣ける曲 優しい歌 号泣など Music of Japan,/watch?v=cgKKo5wjtzU,0,Hayley Z,,1か月前,2,0
【泣けるラブソング】切ないバラード、心がギューっとなる恋の歌、しっとりカラオケで歌える名曲メドレー（邦楽）【作業用BGM】,/watch?v=44cnTO5GXfI,0,Hayley Z,,1か月前,2,0
感動する歌 泣ける曲 恋愛ソング邦楽メドレー♥♥♥ 感動する歌 泣ける曲 女性歌手 ボーカル 邦楽メドレー,/watch?v=KXfje8WC6TI,0,Hayley Z,,1か月前,2,0
泣きたい時に聴く歌・感動する歌 JPOP 人気曲メドレー 邦楽 切なくなる曲 💙 泣いちゃう曲,/watch?v=yVBpCAIfmYk,0,Hayley Z,,1か月前,2,0
"邦楽 10,000,000回を超えた再生回数 ランキング 名曲 メドレー",/watch?v=VTXozC1LLJs,0,Hayley Z,,1か月前,2,0
歌えるとかっこいい曲 邦楽 ♪ღ♫ カラオケで歌えるとかっこいい歌 女性vo 篇 ♪ღ♫ 感動する歌 泣ける曲 女性歌手,/watch?v=54t_GKJkMWU,3,Hayley Z,,1か月前,2,150
心にしみる日本の曲 感動する歌 こころに響く名曲 泣ける曲 優しい歌 号泣など Music of Japan 2020,/watch?v=_7y1vmaLLp4,0,Hayley Z,,1か月前,2,0
"邦楽 10,000,000回を超えた再生回数 ランキング 名曲 メドレー",/watch?v=pUyKq3VTS44,0,Hayley Z,,1か月前,2,0
メドレー邦楽 泣ける 【100曲】J POP 泣き歌 泣ける歌 号泣 感動 バラード 感動する名曲 J−POP です 2000~2020,/watch?v=DP1sCYjfbBc,1,Hayley Z,,1か月前,2,50
メドレー邦楽 泣ける 【100曲】J POP 泣き歌 泣ける歌 号泣 感動 バラード 感動する名曲 J−POP です 2000~2020,/watch?v=LeXhN6wLH2c,0,Hayley Z,,1か月前,2,0
感動する歌 泣ける曲 恋愛ソング邦楽メドレー♥♥♥ 感動する歌 泣ける曲 女性歌手 ボーカル 邦楽メドレー,/watch?v=taxJ3a0R_Js,1,Hayley Z,,1か月前,2,50
"邦楽 10,000,000回を超えた再生回数 ランキング 名曲 メドレー",/watch?v=H681OxxF4NA,2,Hayley Z,,1か月前,2,100
1000曲超❗️令和に聴きたい平成ヒットソングメドレー,/watch?v=dDkB5nHQWEc,3,Hayley Z,,1か月前,2,150
別れの曲 失恋ソング 泣ける歌 片思い メドレー ♥♥ 失恋ソング 傷ついたあなたへ贈る名曲たち バラード 泣ける メドレー,/watch?v=3aQ-xcuHbgI,11,Hayley Z,,1か月前,2,550
結婚式に合う曲 2020 ♥️ ウェディングソング メドレー 2020 ♥️ 結婚式に合う曲 ぴったりな入場曲 おすすめ 邦楽 人気 ソング,/watch?v=LWjgOp0SRSE,5,Hayley Z,,1か月前,2,250
1000曲超❗️令和に聴きたい平成ヒットソングメドレー,/watch?v=nsF2dK4rZpA,2,Hayley Z,,1か月前,2,100
【泣けるラブソング】切ないバラード、心がギューっとなる恋の歌、しっとりカラオケで歌える名曲メドレー（邦楽）【作業用BGM】,/watch?v=1Xqfho5kywE,1,Hayley Z,,1か月前,2,50
