title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
邦楽 J-POP Jポップ ランキング 最新 名曲 メドレー 2020 2019 2018 2017 2016,/watch?v=y2Jz7IvWuXU,872,J-POP。メドレー 邦楽,2370,1日前,4893,18
J-POP メドレー 最新 2020 名曲。 2019~2020年ヒット曲 名曲 【作業用BGM 邦楽】,/watch?v=NAREIiGMZe0,2286,J-POP。メドレー 邦楽,2370,1週間前,4893,47
2020年 ヒット曲 邦楽 最新 人気 1000万再生越え Jpop ベストソング ランキング 作業用 メドレー 有名,/watch?v=5cyjFbNcCx4,1893,J-POP。メドレー 邦楽,2370,1週間前,4893,39
J-POP メドレー 最新 2020 名曲。 2019~2020年ヒット曲 名曲【作業用BGM 邦楽】,/watch?v=QNc4l6TkobU,1703,J-POP。メドレー 邦楽,2370,2週間前,4893,35
最新 邦楽 J-POP 新曲 メドレー 2019 2018 2017 2016 2015,/watch?v=RKmRqtPhLP0,2104,J-POP。メドレー 邦楽,2370,3週間前,4893,43
"邦楽 10,000,000回を超えた再生回数 ランキング 名曲 メドレー",/watch?v=0ezkgwhO3UA,2437,J-POP。メドレー 邦楽,2370,1か月前,4893,50
"名曲J POPメドレー 日本の最高の歌メドレー 邦楽 10,000,000回を超えた再生回数 ランキング 名曲 メドレ 2020",/watch?v=nkAZlHWhgCk,2538,J-POP。メドレー 邦楽,2370,2か月前,4893,52
"メドレー邦楽 10,000,000回を超えた再生回数 ランキング 名曲 JPOP 現代音楽",/watch?v=bA7xpTVGKC8,3676,J-POP。メドレー 邦楽,2370,2か月前,4893,75
J-POP メドレー 最新 2020 名曲。 2020年ヒット曲 名曲 【作業用BGM 】,/watch?v=lqJBTWWWj9Q,4175,J-POP。メドレー 邦楽,2370,2か月前,4893,85
"最新 挿入歌 邦楽 メドレー 作業用BGM 邦楽 10,000,000回を超えた再生回数 ランキング 名曲 メドレー",/watch?v=SFKXWHiMM1g,10414,J-POP。メドレー 邦楽,2370,2か月前,4893,213
rosy - bossa no sé,/watch?v=5IOuNHsr7sc,21725,J-POP。メドレー 邦楽,2370,11か月前,4893,444
