title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
ドラマ主題歌 2020最新 😍 人気 ドラマ主題歌 映画 名曲 邦楽 挿入歌 😍 J POP 邦楽 ベストヒット曲 メドレー年間ランキング 2,/watch?v=zH43IEcG0NU,3,Natsu,1,,2,150
【TikTok】 よく使われる曲集 【 人気曲☆EDM R&B POP 洋楽 😍 K POP 】 Part 5,/watch?v=D5xT4kujM0M,60,Natsu,1,,2,3000
【TikTok】 よく使われる曲集 【 人気曲☆EDM R&B POP 洋楽 😍 K POP 】 Part 10,/watch?v=L1Nd0ivSgw4,20,Natsu,1,,2,1000
【TikTok】 よく使われる曲集 【 人気曲☆EDM R&B POP 洋楽 😍 K POP 】 Part 8,/watch?v=rK3udTuS5QA,1,Natsu,1,,2,50
邦楽 名曲 昭和から平成 名曲 J pop メドレー ♥♥♥ 日本の最高の歌メドレー ♥♥♥ 平成の名曲 メドレー,/watch?v=Sa1X8TIhrRc,0,Natsu,1,,2,0
J Pop ドラマ主題歌 ♪ღ♫ドラマ主題歌 2018 2019 最新 挿入歌 邦楽 メドレー Vol  2,/watch?v=eVjHTZzozdM,2,Natsu,1,,2,100
Tik Tok Music 2019   Best Tik Tok Songs Collection   Popular Tik Tok Songs 2019,/watch?v=ZSNj35HhCFs,1,Natsu,1,,2,50
"Tik Tok Music✗ Something Just Like this , Learn To Moew, Send it, Faded ♥ Best Tik Tok Music 2018",/watch?v=Mo-UIZyDxM8,2,Natsu,1,,2,100
何度も聴きたくなる邦楽 JPOP 名曲 人気 メドレー 【作業用BGM】音楽 おすすめ 盛り上がる曲,/watch?v=x0nf4b62Nc0,0,Natsu,1,,2,0
90年代 2000年代全名曲ミリオンヒット メドレー90's 00's JPOP おすすめの名曲,/watch?v=y1ALnr5Mx3w,1,Natsu,1,,2,50
"年代 全名曲ミリオンヒット    邦楽 10,000,000回を超えた再生回数 ランキング    夏うた J POP 夏歌 BGM メドレー Vol 02",/watch?v=51XXWbRbUZ8,0,Natsu,1,,2,0
90's 00's J POP SONGS メドレー 1990 2000年代 全名曲ミリオンヒット,/watch?v=Rn8GPf3ntrI,0,Natsu,1,,2,0
元気が出る歌 邦楽 J POP 名曲 やる気の出る曲 メドレー ♫♫♫ 落ち込んだ時に聴く曲！ Vol 02,/watch?v=XwkmVCHW4Gw,12,Natsu,1,,2,600
90年代 全名曲ミリオンヒット 1990 2000,/watch?v=vFw-GhwHD9Y,1,Natsu,1,,2,50
1990〜2000年代 ヒット曲 メドレー ♥ 昭和の名曲 歌謡曲 90 s 00 s JPOP おすすめの名曲 #2,/watch?v=dO9tE-qRw0g,0,Natsu,1,,2,0
"メドレー邦楽 10,000,000回を超えた再生回数 ランキング 名曲 JPOP 現代音楽",/watch?v=fadofOamShU,0,Natsu,1,,2,0
何度も聴きたくなる邦楽 J POP 名曲 人気 メドレー Vol 02,/watch?v=_mWBs8z7ks4,0,Natsu,1,,2,0
"メドレー邦楽 10,000,000回を超えた再生回数 ランキング 名曲 JPOP 現代音楽 Vol 01",/watch?v=nJv8BDKQCCI,0,Natsu,1,,2,0
邦楽 名曲 昭和から平成 名曲 J pop メドレー♥♥平成の名曲 メドレー #1,/watch?v=YT0Xf9wdMdg,1,Natsu,1,,2,50
感動する歌 泣ける曲 女性歌手ボーカル 邦楽メドレー！名曲おすすめ人気J POPベストヒット！【作業用BGM】 Vol 01,/watch?v=HuDm3yxxhnk,1,Natsu,1,,2,50
"邦楽 10,000,000回を超えた再生回数 ランキング ♥♥夏うた J POP 夏歌 BGM メドレー Vol 03",/watch?v=wqmtce_OCQ8,3,Natsu,1,,2,150
"邦楽 10,000,000回を超えた再生回数 ランキング ♥♥夏うた J POP 夏歌 BGM メドレー Vol 04",/watch?v=qO8CdvBvBio,3,Natsu,1,,2,150
"邦楽 10,000,000回を超えた再生回数 ランキング ♥♥夏うた J POP 夏歌 BGM メドレー 2",/watch?v=3jCORdve8rM,4,Natsu,1,,2,200
何度も聴きたくなる邦楽 JPOP 名曲 人気 メドレー 【作業用BGM】音楽 おすすめ 盛り上がる曲 1,/watch?v=BdpoRdZuVfY,2,Natsu,1,,2,100
"邦楽 10,000,000回を超えた再生回数 ランキング ♥♥夏うた J POP 夏歌 BGM メドレー Vol 06",/watch?v=MXGrWIehWa0,2,Natsu,1,,2,100
心にしみる日本の曲 感動する歌 こころに響く名曲 泣ける曲 優しい歌 号泣など Music of Japan 6,/watch?v=8WZIwg11ARM,0,Natsu,1,,2,0
【秋の歌】秋に聴きたい曲【秋うた・秋ソング・バラード邦楽洋楽】作業用BGM Vol 02,/watch?v=TWt1TWVJnIA,1,Natsu,1,,2,50
【秋の歌】秋に聴きたい曲【秋うた・秋ソング・バラード邦楽洋楽】作業用BGM,/watch?v=rQi88ynP_sk,0,Natsu,1,,2,0
【秋の歌】秋に聴きたい曲【秋うた・秋ソング・バラード邦楽洋楽】作業用BGM Vol 03,/watch?v=k0PdcTmYrvc,0,Natsu,1,,2,0
"メドレー邦楽 JPOP 10,000,000回を超えた再生回数 ランキング 名曲 メドレー #2",/watch?v=dfn_NfnMklk,3,Natsu,1,,2,150
【秋の歌】秋に聴きたい曲【秋うた・秋ソング・バラード邦楽洋楽】作業用BGM Vol 05,/watch?v=G4EgRIeid2U,0,Natsu,1,,2,0
【秋の歌】秋に聴きたい曲【秋うた・秋ソング・バラード邦楽洋楽】作業用BGM Vol 03,/watch?v=gNl9KaZeLvM,0,Natsu,1,,2,0
"メドレー邦楽 10,000,000回を超えた再生回数 ランキング 名曲 JPOP 現代音楽",/watch?v=f5w4JNOhcJ8,0,Natsu,1,,2,0
優しい歌 号泣など 心にしみる日本の曲 作業用BGM 邦楽 感動する歌 こころに響く名曲,/watch?v=Gf6WSgmcnMk,0,Natsu,1,,2,0
しい歌 号泣など 心にしみる日本の曲 作業用BGM 邦楽 感動する歌 こころに響く名曲,/watch?v=qHwhHXQ5IWs,0,Natsu,1,,2,0
クリスマスソング 2020 🎄 人気 クリスマスソング 定番 名曲 最新 冬のX’masメドレー BGM 🎄 クリスマスソング 洋楽 邦楽 冬歌 BGM 定番 メドレー,/watch?v=44YiyNSmGnI,1,Natsu,1,,2,50
心にしみる日本の曲 感動する歌 こころに響く名曲 泣ける曲 優しい歌 号泣など Music of Japan vol 1,/watch?v=PwE-VYmkBDw,0,Natsu,1,,2,0
"ドラマ主題歌 2019 2020 最新 挿入歌 邦楽 メドレー ♥♥♥邦楽 10,000,000回を超えた再生回数 ランキング 名曲 メドレー",/watch?v=Ofji4P_KMAQ,1,Natsu,1,,2,50
【泣けるラブソング】切ないバラード、心がギューっとなる恋の歌、しっとりカラオケで歌える名曲メドレー（邦楽）【作業用BGM】Vol 02,/watch?v=sN0Bb7of9Oc,0,Natsu,1,,2,0
"ドラマ主題歌 2019 2020 最新 挿入歌 邦楽 メドレー ♥♥♥邦楽 10,000,000回を超えた再生回数 ランキング 名曲 メドレー",/watch?v=sQ-t-ZpEGLQ,0,Natsu,1,,2,0
冬の歌 ウィンターソング 邦楽メドレー！冬に聴きたい感動する歌 泣ける曲 バラード おすすめJ POPベストヒット！【作業用BGM】,/watch?v=Y-6TnO963CM,0,Natsu,1,,2,0
心にしみる日本の曲 感動する歌 こころに響く名曲 泣ける曲 優しい歌 号泣など Music of Japan vol 3,/watch?v=rmu8KmfH9vs,1,Natsu,1,,2,50
"ドラマ主題歌 2019 2020 最新 挿入歌 邦楽 メドレー ♥♥♥邦楽 10,000,000回を超えた再生回数 ランキング 名曲 メドレー",/watch?v=u-6J5cYxPpo,1,Natsu,1,,2,50
心にしみる日本の曲 感動する歌 こころに響く名曲 泣ける曲 優しい歌 号泣など Music of Japan #5,/watch?v=sx5l3XaVdEI,0,Natsu,1,,2,0
"ドラマ主題歌 2019 2020 最新 挿入歌 邦楽 メドレー ♥♥♥邦楽 10,000,000回を超えた再生回数 ランキング 名曲 メドレー",/watch?v=TkoyjEy4KbM,1,Natsu,1,,2,50
心にしみる日本の曲 感動する歌 こころに響く名曲 泣ける曲 優しい歌 号泣など Music of Japan vol 2,/watch?v=t7vlDhrkT5k,5,Natsu,1,,2,250
涙が出るほど懐かしい心に残る名曲邦楽集 90年代 ヒット メドレー【作業用BGM】,/watch?v=wpfquSQrVoI,0,Natsu,1,,2,0
【泣けるラブソング】切ないバラード、心がギューっとなる恋の歌、しっとりカラオケで歌える名曲メドレー（邦楽）【作業用BGM】,/watch?v=UNmYi1NZ_f0,0,Natsu,1,,2,0
【泣けるラブソング】切ないバラード、心がギューっとなる恋の歌、しっとりカラオケで歌える名曲メドレー（邦楽）【作業用BGM】,/watch?v=fg6eJy2tsUc,1,Natsu,1,,2,50
"ドラマ主題歌 2019 2020 最新 挿入歌 邦楽 メドレー ♥♥♥邦楽 10,000,000回を超えた再生回数 ランキング 名曲 メドレー",/watch?v=an7DhZr8DpE,0,Natsu,1,,2,0
