title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【TikTok】ねおちゃんの最新ティックトックがかかわいい Part6【ねおんつぇる】,/watch?v=E3MTe_E0uqc,2017,Sakura Kaw,47800,,19632,10
【tiktok】景井 ひなちゃんのかわいい最新ティックトック集 Part3【3月1日単独イベント】,/watch?v=2wkYjibHixo,1631,Sakura Kaw,47800,,19632,8
【TikTok】おさきちゃんのかわいすぎる最新ティックトックまとめPart5【Tiktokダンス】,/watch?v=47rB4MdIL2g,2728,Sakura Kaw,47800,,19632,14
【ファン数順】TikToker最新人気ランキング TOP20【~2020年7月31日】,/watch?v=Gv5vYb4suCM,2568,Sakura Kaw,47800,,19632,13
さくら tiktok ビデオ 2020 | Sakura tiktok video 2020,/watch?v=leY1xbp_hvI,2049,Sakura Kaw,47800,,19632,10
みなみ tiktok ビデオ 2020 | Minami tiktok video 2020 #1,/watch?v=0DL1bsxde6I,3141,Sakura Kaw,47800,,19632,16
ひなた tiktok ビデオ 2020 | Hinata tiktok video 2020 | Part 1,/watch?v=Yc21JDSJdCk,1170,Sakura Kaw,47800,,19632,6
【TikTok】ゆず🍑💗ちゃんの最新ティックトックまとめ Part4【かわいい】,/watch?v=rlxKp9CntXw,15676,Sakura Kaw,47800,,19632,80
【tiktok】桜ちゃんのかわいすぎる最新ティックトック集Part5【さーちゃん】,/watch?v=YYhCJAKiH3Q,15743,Sakura Kaw,47800,,19632,80
【Tiktok】なえなのちゃんの最新ティックトックまとめPart6【かわいい】,/watch?v=RW4ksrqaLCY,11694,Sakura Kaw,47800,,19632,60
【Tik Tok】ひなたちゃん最新ティックトックまとめ Part6【🌻 Hinata 🌻 】,/watch?v=sNzmKiMlWKI,11539,Sakura Kaw,47800,,19632,59
TikTok定番ランキング TOP10【2020年3月】,/watch?v=bhmKY4DdZOU,23562,Sakura Kaw,47800,,19632,120
【tiktok】景井 ひなちゃんのかわいい最新ティックトック集 Part2【3月1日単独イベント】,/watch?v=i2VyVjsOVlA,17829,Sakura Kaw,47800,,19632,91
【Tik Tok】かずきくん最新ティックトックまとめPart3 【暇人🚗🏁】,/watch?v=HvPft__Ndsc,2601,Sakura Kaw,47800,,19632,13
【tiktok】しずくちゃんのかわいい最新ティックトック集 Part4 【💧しずく💧】,/watch?v=VIRCLXHvP_U,10002,Sakura Kaw,47800,,19632,51
【tiktok】Junya/じゅんや最新ティックトック集 Part1【痛みを感じない男じゅんや】,/watch?v=S8iKw1faS70,11947,Sakura Kaw,47800,,19632,61
【tiktok】みなみちゃんのかわいい最新ティックトック集 Part8【MINAMI】,/watch?v=aRsswgVfj6A,30935,Sakura Kaw,47800,,19632,158
【TikTok】リコリコ（莉子ちゃん）のかわいい最新ティックトック Part4【ポップティーン】,/watch?v=rf5eG5kebzA,6984,Sakura Kaw,47800,,19632,36
【Tik Tok】ゆなたこちゃんのかわいい最新ティックトック集 Part5【♡ゆな♡たこ🐙】,/watch?v=1zoSvjiz3Sc,7237,Sakura Kaw,47800,,19632,37
【Tiktok】せりしゅんの最新イケメンティックトックまとめ Part5【芹澤瞬】,/watch?v=J59g7m-XH7Q,8674,Sakura Kaw,47800,,19632,44
【TikTok】ねおちゃんの最新ティックトックがかかわいい Part5【ねおんつぇる】,/watch?v=yWIIDjGBMX0,13461,Sakura Kaw,47800,,19632,69
【TikTok】おさきちゃんのかわいすぎる最新ティックトックまとめPart4【Tiktokダンス】,/watch?v=1mYSFBdQ15A,17670,Sakura Kaw,47800,,19632,90
【Tiktok】ひかりんちょのかわいい最新ティックトックPart4【かわいい】,/watch?v=37cC_tmYQlk,3467,Sakura Kaw,47800,,19632,18
【tiktok】桜ちゃんのかわいすぎる最新ティックトック集Part4【さーちゃん】,/watch?v=V1P2inStRUQ,63046,Sakura Kaw,47800,,19632,321
【Tiktok】なえなのちゃんの最新ティックトックまとめPart5【かわいい】,/watch?v=XoMkMit4qFY,6988,Sakura Kaw,47800,,19632,36
【Tik Tok】ひなたちゃん最新ティックトックまとめ Part5【🌻 Hinata 🌻 】,/watch?v=OrqOv9PjVAQ,6963,Sakura Kaw,47800,,19632,35
Tik Tok りおんちゃん 石田凛音 Rion のかわいい最新ティックトック集 Part5,/watch?v=6RUCHCI2E6g,9521,Sakura Kaw,47800,,19632,48
【Tiktok】かわいすぎる双子ひかはるの最新ティックトック集 Part4【双子ダンス】,/watch?v=XyDYPaKpRnE,12490,Sakura Kaw,47800,,19632,64
【tiktok】しずくちゃんのかわいい最新ティックトック集 Part3 【💧しずく💧】,/watch?v=oWB_z108_Zo,8861,Sakura Kaw,47800,,19632,45
【tiktok】みなみちゃんのかわいい最新ティックトック集 Part7【MINAMI】,/watch?v=H4qT65UYob4,97689,Sakura Kaw,47800,,19632,498
【Tik Tok】ゆなたこちゃんのかわいい最新ティックトック集 Part4【♡ゆな♡たこ🐙】,/watch?v=KztaR4bD018,16258,Sakura Kaw,47800,,19632,83
【Tiktok】せりしゅんの最新イケメンティックトックまとめ Part4【芹澤瞬】,/watch?v=6QmvOBdSCUs,27553,Sakura Kaw,47800,,19632,140
【TikTok】ねおちゃんの最新ティックトックがかかわいい Part4【ねおんつぇる】,/watch?v=BbILS_O4Az8,16473,Sakura Kaw,47800,,19632,84
【TikTok】おさきちゃんのかわいすぎる最新ティックトックまとめPart3【Tiktokダンス】,/watch?v=bkmtBxjRne8,24277,Sakura Kaw,47800,,19632,124
【Tiktok】ひかりんちょのかわいい最新ティックトックPart3【かわいい】,/watch?v=kqF4owPfIig,5620,Sakura Kaw,47800,,19632,29
【Tiktok】なえなのちゃんの最新ティックトックまとめPart4【かわいい】,/watch?v=4M7YWbFF7V4,11454,Sakura Kaw,47800,,19632,58
【tiktok】桜ちゃんのかわいすぎる最新ティックトック集Part3【さーちゃん】,/watch?v=ur9ONT-26tQ,20108,Sakura Kaw,47800,,19632,102
【Tik Tok】ひなたちゃん最新ティックトックまとめ Part4【🌻 Hinata 🌻 】,/watch?v=IwgVHjDohPE,6006,Sakura Kaw,47800,,19632,31
【tiktok】みなみちゃんのかわいい最新ティックトック集 Part1【かわいい】,/watch?v=I3k_PoXrKpo,6640,Sakura Kaw,47800,,19632,34
ティックトック絵 | 鬼滅の刃イラスト - TikTok Kimetsu no Yaiba Painting,/watch?v=4Zn60tJ-YtI,1645,Sakura Kaw,47800,,19632,8
【TikTok】ほのぼの（のえのん妹）のティックトックが始まるよPart3,/watch?v=6Cl7R9uvC38,9903,Sakura Kaw,47800,,19632,50
Tik Tok りおんちゃん 石田凛音 Rion のかわいい最新ティックトック集 Part4,/watch?v=gU7-tAXmRsI,21373,Sakura Kaw,47800,,19632,109
【Tiktok】ここねちゃんのかわいい最新ティックトック集 Part4【話題】,/watch?v=Mg6msEW4pzc,4064,Sakura Kaw,47800,,19632,21
TikTok jp japan ティックトック 面白い 動画まとめ 可愛い 🌸桜🌸&🦄💙MINAMI💙🦄最新対決！？,/watch?v=p4bPaZF0PWE,9689,Sakura Kaw,47800,,19632,49
【Tiktok】かわいすぎる双子ひかはるの最新ティックトック集 Part3【双子ダンス】,/watch?v=WmBBrSazznU,24097,Sakura Kaw,47800,,19632,123
【tiktok】しずくちゃんのかわいい最新ティックトック集 Part2 【💧しずく💧】,/watch?v=b3KAJ3iyASs,31617,Sakura Kaw,47800,,19632,161
【tiktok】みなみちゃんのかわいい最新ティックトック集 Part6【MINAMI】,/watch?v=brOvleQ8dfY,63484,Sakura Kaw,47800,,19632,323
【TikTok】リコリコ（莉子ちゃん）のかわいい最新ティックトック Part3【ポップティーン】,/watch?v=46FaLn3qHqE,23081,Sakura Kaw,47800,,19632,118
【Tik Tok】ゆなたこちゃんのかわいい最新ティックトック集 Part3【♡ゆな♡たこ🐙】,/watch?v=hy09oQ0Zlr8,38408,Sakura Kaw,47800,,19632,196
【Tiktok】せりしゅんの最新イケメンティックトックまとめ Part3【芹澤瞬】,/watch?v=KeQPijyKFtg,10903,Sakura Kaw,47800,,19632,56
【TikTok】ねおちゃんの最新ティックトックがかかわいい Part3【ねおんつぇる】,/watch?v=-a_pm_TxmAs,61141,Sakura Kaw,47800,,19632,311
TikTok定番ランキング TOP40【2020年2月】,/watch?v=27dBNjrtjtg,103880,Sakura Kaw,47800,,19632,529
【tiktok】みなみちゃんのかわいい最新ティックトック集 Part5【MINAMI】,/watch?v=_J4y8vJsd-w,40264,Sakura Kaw,47800,,19632,205
【TikTok】おさきちゃんのかわいすぎる最新ティックトックまとめPart2【Tiktokダンス】,/watch?v=czvwsQognZk,18263,Sakura Kaw,47800,,19632,93
