title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
夏の歌！夏に聴きたい曲 邦楽メドレー！定番サマーソング おすすめ人気J-POPベストヒット！【作業用BGM】 ♪ღ♫ 夏うた J-POP 夏歌 BGM メドレー 2020,/watch?v=5WMW1n2w9nU,1253,Sunday Nigh,85500,,128937,1
歌えるとかっこいい曲 邦楽 ♪ღ♫ カラオケで歌えるとかっこいい歌 女性vo 篇 ♪ღ♫ 感動する歌 泣ける曲 女性歌手 2020,/watch?v=RpyVsxzTkX0,2584,Sunday Nigh,85500,,128937,2
懐かしい曲 JPOP メドレー 邦楽 ♪ღ♫ 涙が出るほど懐かしい心に残る名曲　～邦楽集～♥♥ 泣ける曲 メドレー ♥♥ 懐かしい曲 ラブソング,/watch?v=Km8x8edB5R4,3255,Sunday Nigh,85500,,128937,3
"名曲J POPメドレー 日本の最高の歌メドレー 邦楽 10,000,000回を超えた再生回数 ランキング 名曲 メドレ",/watch?v=aWpcCIDmv5I,1423,Sunday Nigh,85500,,128937,1
秋の歌 j-pop ♪ღ♫ 秋に聴きたい曲 秋うた オータムソング 定番 メドレー ♪ღ♫ 秋の歌 メドレー 2020,/watch?v=pgqooTJEMqg,1201,Sunday Nigh,85500,,128937,1
"昭和の歌謡曲 名曲 昭和50年～ ❤❤ 昭和の名曲 歌謡曲メドレー 70,80,90年代 ❤❤ Japanese Hit Songs",/watch?v=3WJi2f6lbeA,930,Sunday Nigh,85500,,128937,1
夏の歌！夏に聴きたい曲 邦楽メドレー！定番サマーソング おすすめ人気J-POPベストヒット！【作業用BGM】 ♪ღ♫ 夏うた J-POP 夏歌 BGM メドレー 2020,/watch?v=1WmKCRR9qJ8,7110,Sunday Nigh,85500,,128937,6
ラブソング メドレー J Pop ♥♥  恋愛ソング ラブソング 名曲 メドレー ♥♥ 心にしみる日本の曲 感動する歌 心に響く♥♥ ラブソング 邦楽 2020,/watch?v=Syn1PEQdiOM,1415,Sunday Nigh,85500,,128937,1
懐かしい曲 JPOP メドレー 邦楽 ♪ღ♫ 涙が出るほど懐かしい心に残る名曲　～邦楽集～♥♥ 泣ける曲 メドレー ♥♥ 懐かしい曲 ラブソング,/watch?v=GwPQ5qRLk3s,2567,Sunday Nigh,85500,,128937,2
夏の歌！夏に聴きたい曲 邦楽メドレー！定番サマーソング おすすめ人気J-POPベストヒット！【作業用BGM】 ♪ღ♫ 夏うた J-POP 夏歌 BGM メドレー 2020,/watch?v=9jTLuZQbb7w,3282,Sunday Nigh,85500,,128937,3
