title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【TikTok】 よく使われる曲集 【 人気曲☆EDM R&B POP 洋楽 😍 K-POP 】,/watch?v=xoc0eu2yPe0,123,kidbaj,3,,26,473
【泣けるサントラ】美しく切ないピアノ曲【勉強用・作業用BGM】心にしみる癒しの音楽,/watch?v=TW2RaEAZjtk,0,kidbaj,3,,26,0
幻想的な物語が始まりそうな、癒しの音楽【リラックスBGM】,/watch?v=QFSqbSttWks,1,kidbaj,3,,26,4
やさしいオルゴール【ゆったり睡眠用BGM】心が落ち着く、ノスタルジックな癒し音楽,/watch?v=FI-q48PJYic,0,kidbaj,3,,26,0
冬の物語が始まりそうな、癒しの音楽【リラックスBGM】,/watch?v=PES8QzrBcPA,0,kidbaj,3,,26,0
小夜曲【癒しBGM】美しく切ない、ノスタルジックな音楽,/watch?v=0iJ3QjmmbAI,1,kidbaj,3,,26,4
夏の物語が始まりそうな、癒しの音楽【リラックスBGM】,/watch?v=VmfWH_Nj5Fo,8,kidbaj,3,,26,31
【泣けるサントラ】美しく悲しいピアノ音楽【作業用・睡眠用BGM】癒しの音楽,/watch?v=Fh3WwBiD8Qc,4,kidbaj,3,,26,15
静かな夜に聴く、冬の癒し曲【作業用BGM】冷たくなった心が暖まりそうな音楽,/watch?v=lWqrl5ZVaSg,5,kidbaj,3,,26,19
何度も聴きたくなる邦楽 JPOP 名曲 人気 メドレー 【作業用BGM】音楽 おすすめ 盛り上がる曲 3,/watch?v=xBhS6l9ulUg,2,kidbaj,3,,26,8
"ドラマ主題歌 2019 2020 最新 挿入歌 邦楽 メドレー ♥♥♥邦楽 10,000,000回を超えた再生回数 ランキング 名曲 メドレー",/watch?v=cD3EClenff8,4,kidbaj,3,,26,15
Tik Tok Music 2019-2020 / Best Tik Tok Songs Collection - Popular Tik Tok Songs 2019-2020,/watch?v=OI0KWobQrnM,7,kidbaj,3,,26,27
【TikTok】 よく使われる曲集 【 人気曲☆EDM R&B POP 洋楽 😍 K-POP 】 Part 15,/watch?v=j3SIEEXxOqY,182,kidbaj,3,,26,700
