title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
メドレー邦楽【50曲】1990 〜2000年代 JPOP ランキング上位曲 定番 ヒット曲音楽 90's 〜 00's #1,/watch?v=zF2OpIBVosY,565,vid J,,,225564,0
泣きたい時に聴く歌・感動する歌 JPOP 人気曲メドレー 邦楽 切なくなる曲 💙 泣いちゃう曲 J-POP,/watch?v=cSHoR58tSLw,844,vid J,,,225564,0
作業用 BGMJ POP メドレー【50曲】邦楽 ランキング 最新 2018 2019 Jポップ 名曲集,/watch?v=1n4KGNUszh0,859,vid J,,,225564,0
【作業用BGM】 落ち込んだ時に聴く曲！人生の応援ソング 応援歌 元気が出る曲！集中力 高める 音楽,/watch?v=LhV2T7fiSnM,1752,vid J,,,225564,1
"作業用BGM 名曲J POPメドレー 日本の最高の歌メドレー 邦楽 10,000,000回を超えた再生回数 ランキング 名曲",/watch?v=SjOT2S9h2vs,2752,vid J,,,225564,1
作業用BGM 懐かしい歌謡曲 高音質 年代順 1990-2000 ♪ 歌えるとかっこいい曲 邦楽,/watch?v=wIX03CZRoEg,1675,vid J,,,225564,1
90年代のヒット曲・懐かしい曲 JPOP メドレー 邦楽 90年代 〜 2000年代 を代表する,/watch?v=xYb7xT2yXKk,1642,vid J,,,225564,1
90年代 2000年代 定番 名曲 邦楽 懐かしい曲 J-POP 【作業用 BGM】集中力 高める 音楽 懐かしい曲,/watch?v=KJHVu58_kK8,1554,vid J,,,225564,1
作業用BGM 90〜2000年代を代表する邦楽ヒット曲♥ J POP 90's-00's おすすめの名曲メドレー,/watch?v=uSrfpPJ7i8Y,1358,vid J,,,225564,1
メドレー 1990〜2000年代を代表する邦楽ヒット曲 作業用BGM J POP 90's-00's おすすめの名曲,/watch?v=P3eA5Q6YC-g,990,vid J,,,225564,0
邦楽  1990〜 2000年代 名曲 ヒット曲 メドレー  作業用BGM JPOP 90's-00's おすすめの名曲,/watch?v=_yZx25O2Tq4,1317,vid J,,,225564,1
J POP 1990〜2000年代 ヒット曲メドレー 作業用BGM邦楽の懐かしい名曲 90's 00's JPOP おすすめの名曲,/watch?v=Zas8f4LnLFc,1216,vid J,,,225564,1
日本の音楽 懐メロ 90年代 2000年代 定番 名曲 作業用 BGM 邦楽 女性  懐かしい曲 JPOP 名曲ランキング メドレー,/watch?v=WFGGMpDDc_s,763,vid J,,,225564,0
1990~2000年代 盛り上がる曲 メドレー  J POP 作業用BGM 邦楽 昔の名曲 懐メロ 懐かしい名曲,/watch?v=7RUPaO175RY,1712,vid J,,,225564,1
