title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
「かもめが翔んだ日/渡辺真知子」をエレクトーンSTAGEA02Cで！,/watch?v=WCQgMbMcUhY,853,かめ,6090,4日前,10550,8
「情けねえ/とんねるず」をエレクトーンSTAGEA02Cで！,/watch?v=2lPzKljsBXE,509,かめ,6090,1週間前,10550,5
「感電/米津玄師」をエレクトーンSTAGEA02Cで！,/watch?v=paXWa-HH4EQ,2046,かめ,6090,1週間前,10550,19
「白日/King Gnu」をエレクトーンSTAGEA02Cで！,/watch?v=QVgAEGZB698,1300,かめ,6090,2週間前,10550,12
「魅せられて（エーゲ海のテーマ）/ジュディ・オング」をエレクトーンEL-57で！,/watch?v=kUvrt2nqDgM,1692,かめ,6090,1か月前,10550,16
「初代プレイステーションメドレー」をエレクトーンSTAGEA02Cで！,/watch?v=fsiMmuzG2KM,709,かめ,6090,1か月前,10550,7
「HANABI/Mr.Children」をエレクトーンSTAGEA02Cで！,/watch?v=A3RsHOYxX6c,1632,かめ,6090,2か月前,10550,15
「淋しい熱帯魚/Wink」をエレクトーンSTAGEA02Cで！,/watch?v=3ERVEGVxy-8,3604,かめ,6090,3か月前,10550,34
「時代おくれ/河島英五」をエレクトーンSTAGEA02Cで！,/watch?v=c-iOV1vR4UM,1057,かめ,6090,3か月前,10550,10
「糸/中島みゆき」をエレクトーンSTAGEA02Cで！,/watch?v=4vLMrf4zKRg,1602,かめ,6090,3か月前,10550,15
「STAYIN' ALIVE/JUJU」をエレクトーンSTAGEA02Cで！,/watch?v=FmIlcOM6B8s,1088,かめ,6090,3か月前,10550,10
「Stand By You/Official髭男dism」をエレクトーンSTAGEA02Cで！,/watch?v=fnFXiFVErNA,2021,かめ,6090,4か月前,10550,19
「さくら/森山直太朗」をエレクトーンSTAGEA02Cで！,/watch?v=IUplZXumpR4,1047,かめ,6090,4か月前,10550,10
「未完成/家入レオ」をエレクトーンSTAGEA02Cで！,/watch?v=KfKc7isJE4c,987,かめ,6090,4か月前,10550,9
「I LOVE…/Official髭男dism」をエレクトーンSTAGEA02Cで！,/watch?v=8SI-pnAIQfs,3597,かめ,6090,4か月前,10550,34
「どろん/King Gnu」をエレクトーンSTAGEA02Cで！,/watch?v=9XR_ok1kg8o,2273,かめ,6090,5か月前,10550,22
「THE KING OF FIGHTERS'96メドレー」をエレクトーンSTAGEA02Cで！,/watch?v=NDcQOc07WhU,1476,かめ,6090,7か月前,10550,14
「フレア/Superfly」をエレクトーンSTAGEA02Cで！,/watch?v=3K16Z-prwcw,1665,かめ,6090,7か月前,10550,16
「感謝カンゲキ雨嵐/嵐」をエレクトーンSTAGEA02Cで！,/watch?v=Siw5B0ghQW4,2532,かめ,6090,7か月前,10550,24
「115万キロのフィルム/Official髭男dism」をエレクトーンSTAGEA02Cで！,/watch?v=w6At_jeLFN4,3706,かめ,6090,7か月前,10550,35
「ノーダウト/Official髭男dism」をエレクトーンSTAGEA02Cで！,/watch?v=hYGZLfXQOPo,3415,かめ,6090,7か月前,10550,32
「クリスマスソング/back number」をエレクトーンSTAGEA02Cで！,/watch?v=fUmI1GPnwCs,1659,かめ,6090,8か月前,10550,16
「紅蓮華/LiSA」をエレクトーンSTAGEA02Cで！,/watch?v=RpLCg0UcGP4,12593,かめ,6090,8か月前,10550,119
「イエスタデイ/Official髭男dism」をエレクトーンSTAGEA02Cで！,/watch?v=5zaNIohHbL4,4808,かめ,6090,8か月前,10550,46
「60歳お誕生日おめでとうエレクトーン」をエレクトーンSTAGEA02Cで！,/watch?v=ZelVOzsctuM,1081,かめ,6090,8か月前,10550,10
「昭和ヒットソングメドレー」をエレクトーンSTAGEA02Cで！,/watch?v=jU2IgaNSaD8,7445,かめ,6090,8か月前,10550,71
「宿命/Official髭男dism」をエレクトーンSTAGEA02Cで！,/watch?v=vV-vs6kcdPo,4320,かめ,6090,9か月前,10550,41
「UFO/ピンクレディー」をエレクトーンSTAGEA02Cで！,/watch?v=-rJmhxruXCY,2309,かめ,6090,9か月前,10550,22
「『君の名は。』メドレー」をエレクトーンSTAGEA02Cで！,/watch?v=R4exbddeRP4,1689,かめ,6090,9か月前,10550,16
「エレクトーン聴内会2019」エンディング！,/watch?v=NNPjeZXEPD0,498,かめ,6090,9か月前,10550,5
「エレクトーン聴内会2019」オープニング！,/watch?v=kA9WodK83-k,524,かめ,6090,9か月前,10550,5
「まちがいさがし/菅田将暉」をエレクトーンEL-57で！,/watch?v=8acL4rGvaRk,2345,かめ,6090,9か月前,10550,22
「さらば恋人/堺 正章」をエレクトーンEL-57で！,/watch?v=oOFunIhwo_w,1367,かめ,6090,9か月前,10550,13
「僕達は天使だった/『ドラゴンボールZ』より」をエレクトーンSTAGEA02Cで！,/watch?v=2TEGlZPYgeA,4015,かめ,6090,10か月前,10550,38
「あれから/AI 美空ひばり」をエレクトーンSTAGEA02Cで！,/watch?v=kYryszUfl_o,16324,かめ,6090,10か月前,10550,155
「ドラゴンクエストⅤメドレー」をエレクトーンSTAGEA02Cで！,/watch?v=EJZnXXa7tKo,5815,かめ,6090,11か月前,10550,55
「Pretender/Official髭男dism」をエレクトーンSTAGEA02Cで！,/watch?v=LAk1KjScB2c,19671,かめ,6090,1年前,10550,186
「To Be Continued」をエレクトーンSTAGEA02Cで！,/watch?v=tQdLsb6gv04,1764,かめ,6090,1年前,10550,17
「広島カープメドレー」をエレクトーンSTAGEA02Cで！,/watch?v=lNOCr7IEE3I,1808,かめ,6090,1年前,10550,17
「海の幽霊/米津玄師」をエレクトーンSTAGEA02Cで！,/watch?v=UZi2iDz--KQ,4044,かめ,6090,1年前,10550,38
「マリーゴールド/あいみょん」をエレクトーンSTAGEA02Cで！,/watch?v=XX88P-FdOmY,9491,かめ,6090,1年前,10550,90
「Tik Tok人気曲メドレー9」をエレクトーンSTAGEA02Cで！,/watch?v=GS6OIj8w_UY,3579,かめ,6090,1年前,10550,34
「世界はそれを愛と呼ぶんだぜ/サンボマスター」をエレクトーンSTAGEA02Cで！,/watch?v=VW4BVru0Xc4,2547,かめ,6090,1年前,10550,24
「黒い羊/欅坂46」をエレクトーンSTAGEA02Cで！,/watch?v=-MY_SI8pt78,6446,かめ,6090,1年前,10550,61
「パプリカ/Foorin×米津玄師」をエレクトーンSTAGEA02Cで！,/watch?v=0FSt-V7DMnE,68823,かめ,6090,1年前,10550,652
「WE GOTTA POWER/『ドラゴンボールZ』より」をエレクトーンSTAGEA02Cで！,/watch?v=veeHj-6LcyE,5456,かめ,6090,1年前,10550,52
「からくりピエロ/40mP feat.初音ミク」をエレクトーンSTAGEA02Cで！,/watch?v=SrE3KcskUR4,1953,かめ,6090,1年前,10550,19
「3年A組 朝礼体操」をエレクトーンSTAGEA02Cで！～テレビドラマ「3年A組」より～,/watch?v=9UerplTvDow,5568,かめ,6090,1年前,10550,53
「卒業/斉藤由貴」をエレクトーンSTAGEA02Cで！,/watch?v=8MfPPZ8rW0M,4128,かめ,6090,1年前,10550,39
「大阪LOVER/DREAMS COME TRUE」をエレクトーンSTAGEA02Cで！,/watch?v=8SPJmt_NGQQ,4155,かめ,6090,1年前,10550,39
「『魔界村』より 平地BGM（1・2ステージ）」をエレクトーンSTAGEA02Cで！,/watch?v=a1NyVVOgWCI,2332,かめ,6090,1年前,10550,22
「エンディングムービー」をプチエレチョ動画コンテスト2019で！,/watch?v=P_Mji0cTRlc,321,かめ,6090,1年前,10550,3
「オープニングムービー」をプチエレチョ動画コンテスト2019で！,/watch?v=GfQnWcu8vfo,380,かめ,6090,1年前,10550,4
「可愛いアイシャ」をエレクトーンSTAGEA02Cとぷっぷるのきらきらピアノで！,/watch?v=FqmX9hHTgGg,799,かめ,6090,1年前,10550,8
「プロローグ/Uru」をエレクトーンSTAGEA02Cで！～テレビドラマ「中学聖日記」主題歌～,/watch?v=qF2yrd_tnEo,2752,かめ,6090,1年前,10550,26
「Tik Tok人気曲メドレー8」をエレクトーンSTAGEA02Cで！,/watch?v=mL1VbdOs4Sk,4680,かめ,6090,1年前,10550,44
「Flamingo/米津玄師」をエレクトーンSTAGEA02Cで！,/watch?v=RGOm2znSdas,7786,かめ,6090,1年前,10550,74
「セーラームーンメドレー」をエレクトーンSTAGEA02Cで！,/watch?v=Q8GqsJ7KMCg,4899,かめ,6090,1年前,10550,46
