title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【ルーティン】とある日の過ごし方！(後編) 【しほりみチャンネル】,/watch?v=aF8zGSBdb4E,1737,しほりみチャンネルShiho &amp; Rimi Channel,11500,,17453,10
【ルーティーン】夏休みお盆中の１日に密着！オプチャ潜入後の様子も♪(前編)【しほりみチャンネル】,/watch?v=N9zQmPTVcLY,5370,しほりみチャンネルShiho &amp; Rimi Channel,11500,,17453,31
【鬼滅の刃グッズ】推しを当てるぞ！！いろいろ開封します！【しほりみチャンネル】,/watch?v=86EuAikaRWg,6577,しほりみチャンネルShiho &amp; Rimi Channel,11500,,17453,38
ダイソーで１万円お買い物！購入品をいっきに紹介します！【100均・DAIDO】【１万円企画】【しほりみチャンネル】,/watch?v=pKO_9bYjX50,13312,しほりみチャンネルShiho &amp; Rimi Channel,11500,,17453,76
コストコの朝食♪,/watch?v=G6kCU8B88Is,6304,しほりみチャンネルShiho &amp; Rimi Channel,11500,,17453,36
コストコの朝食♪,/watch?v=aYHUpegVFHk,2320,しほりみチャンネルShiho &amp; Rimi Channel,11500,,17453,13
犬のバトル！おもちゃの取り合い【シロコロVlog】 【しほりみチャンネル】,/watch?v=-oBjT34KncU,2822,しほりみチャンネルShiho &amp; Rimi Channel,11500,,17453,16
え～～～‼ まさかの結末？！ママのプレゼントにいったい何が？？？ママの誕生日プレゼント大公開【しほりみチャンネル】,/watch?v=TqkxZonGk5Y,7569,しほりみチャンネルShiho &amp; Rimi Channel,11500,,17453,43
新学期！席替えをしました！どうだった？？？【しほりみチャンネル】,/watch?v=W-aW6Eq8SFA,9882,しほりみチャンネルShiho &amp; Rimi Channel,11500,,17453,57
ぼっち映画…。(夏休みのVlog)【しほりみチャンネル】,/watch?v=yuFDO0vKtQQ,13373,しほりみチャンネルShiho &amp; Rimi Channel,11500,,17453,77
【夏休みVlog】かわいい～‼がとまらないｗｗｗ【しほりみチャンネル】,/watch?v=dqnWD1Dxbok,9858,しほりみチャンネルShiho &amp; Rimi Channel,11500,,17453,56
【あつ森】どうぶつの森！amiiboカードガチャ！やってみた！えーこれってレア？！【しほりみチャンネル】,/watch?v=tA5e9tp2LeE,12598,しほりみチャンネルShiho &amp; Rimi Channel,11500,,17453,72
やばー！マンガ本のガチャがあったのでやってみた！１回1000円でなにをGETしたのかな？？？【しほりみチャンネル】,/watch?v=1Ut5ArEJ4Zw,8218,しほりみチャンネルShiho &amp; Rimi Channel,11500,,17453,47
2週間の夏休み最後の日～全部見せます14日間の思い出～【しほりみチャンネル】,/watch?v=sRbPoInjyLY,7806,しほりみチャンネルShiho &amp; Rimi Channel,11500,,17453,45
今度はりみも？パパも？？お財布がなーい…みんなで探します‼ママのイライラがとまりませんｗｗｗ【しほりみチャンネル】,/watch?v=Wffno3Tkg7g,14808,しほりみチャンネルShiho &amp; Rimi Channel,11500,,17453,85
ママの誕生日プレゼントを忘れてしまいました。。。ママブチギレ💢,/watch?v=71xXct2TsAU,8744,しほりみチャンネルShiho &amp; Rimi Channel,11500,,17453,50
お誕生日直前ライブ！！！●●歳になりましたｗｗｗ,/watch?v=vRBxEqF5qS8,6928,しほりみチャンネルShiho &amp; Rimi Channel,11500,,17453,40
ファンの LINEオープンチャットに家族４人で潜入してみた！りみとパパが大暴走ｗｗｗ(ほぼカットなしでお送りします)【しほりみチャンネル】,/watch?v=5Hu3w-KJqdI,16219,しほりみチャンネルShiho &amp; Rimi Channel,11500,,17453,93
【ルーティーン】とある夏休みの１日に密着【しほりみチャンネル】,/watch?v=QdIp7na9dBQ,18473,しほりみチャンネルShiho &amp; Rimi Channel,11500,,17453,106
やっと会いに行けました…。【しほりみチャンネル】,/watch?v=xYkMTTIvZbQ,14370,しほりみチャンネルShiho &amp; Rimi Channel,11500,,17453,82
謝罪させてください…。。。本当にごめんなさい…。。。【しほりみチャンネル】,/watch?v=yJEic3FruVk,11137,しほりみチャンネルShiho &amp; Rimi Channel,11500,,17453,64
【やりたくない…】小学３年生！りみの夏休みの宿題をする１日に密着…工作はなにが出来たかな？？？【しほりみチャンネル】,/watch?v=ac43wKz_XQw,11920,しほりみチャンネルShiho &amp; Rimi Channel,11500,,17453,68
いっしょに食べよう朝ごはん,/watch?v=TGOKYWdQG24,9944,しほりみチャンネルShiho &amp; Rimi Channel,11500,,17453,57
しほりみの友達が顔出しで初登場！リア友と遊んだ１日に密着【しほりみチャンネル】,/watch?v=LwmBd9IAeZk,31955,しほりみチャンネルShiho &amp; Rimi Channel,11500,,17453,183
鬼滅の刃風呂行ってみた！【しほりみチャンネル】,/watch?v=Ii1Q1B66-Jc,18037,しほりみチャンネルShiho &amp; Rimi Channel,11500,,17453,103
りみにサプライズプレゼント♡全１４点！！ゲーム中に呼ばれて怒りながら登場ｗｗｗ【しほりみチャンネル】,/watch?v=Ik8Ir05yri0,15748,しほりみチャンネルShiho &amp; Rimi Channel,11500,,17453,90
夏休み！！ショッピングモールでお買い物！！バック(リュック)も購入！！【しほりみチャンネル】,/watch?v=ADQ2df2ume0,21548,しほりみチャンネルShiho &amp; Rimi Channel,11500,,17453,123
千葉県最大のガチャガチャ専門店『ガチャマニア』行ってみた！久しぶりのガチャが楽しすぎてママも堪能ｗｗｗ鬼滅の刃もたくさん♪【しほりみチャンネル】,/watch?v=HLJPkasoXjY,21935,しほりみチャンネルShiho &amp; Rimi Channel,11500,,17453,126
今年の夏休みの宿題を大公開！夏休みの目標に先生＆友達からダメ出し…?!でもりみは…【終始1.5倍速でお送りしますｗ】【しほりみチャンネル】,/watch?v=jLlX8xyTRhg,17791,しほりみチャンネルShiho &amp; Rimi Channel,11500,,17453,102
【生放送】あつまれ動物の森で花火大会【しほりみチャンネル】,/watch?v=CMjcaFchvQc,5142,しほりみチャンネルShiho &amp; Rimi Channel,11500,,17453,29
YouTubeからついに…【しほりみチャンネル】,/watch?v=aynau3z7UIQ,10446,しほりみチャンネルShiho &amp; Rimi Channel,11500,,17453,60
決意表明！！【しほりみチャンネル】,/watch?v=lG0NwlRTPro,13225,しほりみチャンネルShiho &amp; Rimi Channel,11500,,17453,76
りみがまたやらかした？？？？【しほりみチャンネル】,/watch?v=Hmp8a2tYP8g,17710,しほりみチャンネルShiho &amp; Rimi Channel,11500,,17453,101
！,/watch?v=-u5L8lWCOdU,5739,しほりみチャンネルShiho &amp; Rimi Channel,11500,,17453,33
【ルーティーン】４連休中の3日目の過ごし方に密着！いろいろ悩んで出かけたところは…？！【しほりみチャンネル】,/watch?v=WItjlk04LDU,13865,しほりみチャンネルShiho &amp; Rimi Channel,11500,,17453,79
【GRWM】しほと一緒にお出かけの準備をしよう！カバンの中身も紹介しながら詰めていきます！【しほりみチャンネル】,/watch?v=Yd7vYRHPorw,14771,しほりみチャンネルShiho &amp; Rimi Channel,11500,,17453,85
パパママコーデ対決！しほが気に入るのはどっちのコーデ？？INGNIで5000円全身コーデ対決してみた【しほりみチャンネル】,/watch?v=NQrMcqUl52U,11582,しほりみチャンネルShiho &amp; Rimi Channel,11500,,17453,66
奇跡の引きの強さ?! 鬼滅の刃グッズ開封！(色紙・ふわコロりん・缶バッジ・ラバースタンドコレクション・扇子)【しほりみチャンネル】,/watch?v=ISD8Y1PCsKI,26520,しほりみチャンネルShiho &amp; Rimi Channel,11500,,17453,152
しほが財布をなくしたお話…【しほりみチャンネル】,/watch?v=ic5xe_4VW3E,22799,しほりみチャンネルShiho &amp; Rimi Channel,11500,,17453,131
"【100均】Seria で2,000円購入品紹介‼収納・片付けやコスメ等いろいろ紹介します【しほりみチャンネル】",/watch?v=LPPlKiFNWR0,13935,しほりみチャンネルShiho &amp; Rimi Channel,11500,,17453,80
シロコロのルーティーン！ある休日の１日の過ごし方★大興奮な日【愛犬の暮らし】【しほりみチャンネル】,/watch?v=b7j__RNtzJA,17471,しほりみチャンネルShiho &amp; Rimi Channel,11500,,17453,100
どうしたの？？？【しほりみチャンネル】,/watch?v=lHMcq_FxFuQ,22180,しほりみチャンネルShiho &amp; Rimi Channel,11500,,17453,127
4連休前の雑談【しほりみチャンネル】,/watch?v=mC_l5T0tIxA,7171,しほりみチャンネルShiho &amp; Rimi Channel,11500,,17453,41
こだわりの並べ方でオシャレに本を収納していきます‼【しほりみチャンネル】,/watch?v=6sm_dvDC7fQ,11614,しほりみチャンネルShiho &amp; Rimi Channel,11500,,17453,67
【ドッキリ】帰ってきたら部屋に本棚があるドッキリしてみた‼しほの反応が……？？？【モニタリング】【しほりみチャンネル】,/watch?v=kb_K834vqds,14561,しほりみチャンネルShiho &amp; Rimi Channel,11500,,17453,83
妹の前髪を薄くします！【しほりみチャンネル】,/watch?v=EpIZHjHDtro,15781,しほりみチャンネルShiho &amp; Rimi Channel,11500,,17453,90
1週間スープダイエットで何キロ痩せたの？？結果報告【しほりみチャンネル】,/watch?v=TM6kIimwASc,16628,しほりみチャンネルShiho &amp; Rimi Channel,11500,,17453,95
【ルーティーン】家で過ごす１日の休日ルーティン★しほ編【しほりみチャンネル】,/watch?v=-NvO5tsZ_04,21613,しほりみチャンネルShiho &amp; Rimi Channel,11500,,17453,124
部屋の大規模な模様替えしてみたら…まさかの…【しほりみチャンネル】,/watch?v=dQDpw4mB7Ww,19051,しほりみチャンネルShiho &amp; Rimi Channel,11500,,17453,109
【筆箱の中身＆文房具紹介】家で毎日使う筆箱＆お気に入りの文房具紹介【小学生】【しほりみチャンネル】,/watch?v=5edwyjs9-KY,16944,しほりみチャンネルShiho &amp; Rimi Channel,11500,,17453,97
学校をお休みしました…元気なんだけどね。【しほりみチャンネル】,/watch?v=1cXEAMgzWUY,47848,しほりみチャンネルShiho &amp; Rimi Channel,11500,,17453,274
あの人の声がききたくて…女三人で大食い！【しほりみチャンネル】,/watch?v=YKyb4syQOwc,13977,しほりみチャンネルShiho &amp; Rimi Channel,11500,,17453,80
みんなーー！！,/watch?v=wHmyYZk5UeY,8658,しほりみチャンネルShiho &amp; Rimi Channel,11500,,17453,50
再テストの結果を報告！【しほりみチャンネル】,/watch?v=I-oYqh1CtDU,25206,しほりみチャンネルShiho &amp; Rimi Channel,11500,,17453,144
【筆箱紹介】一部閲覧注意あり！抜き打ち筆箱チェックしたら汚すぎたので掃除&鉛筆入れ替え【しほりみチャンネル】,/watch?v=mc1WafSdNzY,22935,しほりみチャンネルShiho &amp; Rimi Channel,11500,,17453,131
ママ激怒でりみが思わず涙…【しほりみチャンネル】,/watch?v=TeiSUPlUij4,63744,しほりみチャンネルShiho &amp; Rimi Channel,11500,,17453,365
【IKEA購入品】超大量！IKEAの人気商品から定番アイテム！かわいい雑貨&キッチン用品等いろいろ購入してきました！合計〇万円越え！！！【インテリア&収納】【しほりみチャンネル】,/watch?v=6sBUYOewYIo,14344,しほりみチャンネルShiho &amp; Rimi Channel,11500,,17453,82
ついに悪化…。【しほりみチャンネル】,/watch?v=oaVyaMxANPw,35523,しほりみチャンネルShiho &amp; Rimi Channel,11500,,17453,204
【あつ森】みんなで海で泳ごう！【しほりみチャンネル】,/watch?v=as1IxF0SHtE,5224,しほりみチャンネルShiho &amp; Rimi Channel,11500,,17453,30
【お祭りスペシャル】屋台の店員さんから強制退場命令…。縁日で金魚すくい、射的、スーパーボールすくい、くじ引きを楽しんでいただけなのに😱【しほりみチャンネル】,/watch?v=Jtm0R-ztQGQ,16579,しほりみチャンネルShiho &amp; Rimi Channel,11500,,17453,95
大感激！視聴者様から(誕生日)プレゼントいただいたので紹介します！本当にありがとうございます(´；ω；`)【しほりみチャンネル】,/watch?v=0TOP9SRXCZQ,9531,しほりみチャンネルShiho &amp; Rimi Channel,11500,,17453,55
皆さん元気ですか…？,/watch?v=MMuYDERX8z0,7178,しほりみチャンネルShiho &amp; Rimi Channel,11500,,17453,41
【購入品紹介】かわいい雑貨&文房具を１万円購入したので紹介します【しほりみチャンネル】,/watch?v=Z3WfaaCNtjI,10688,しほりみチャンネルShiho &amp; Rimi Channel,11500,,17453,61
【Night Routine】ダイエット中の平日金曜日・ナイトルーティーン！ダイエット中だからストレッチしてます！金曜夜の過ごし方に密着【しほりみチャンネル】,/watch?v=OpkWf1n_IiE,16061,しほりみチャンネルShiho &amp; Rimi Channel,11500,,17453,92
赤点？！テストの点数大公開！姉妹対決！点数悪かったらゲーム(スイッチ)禁止だよ【しほりみチャンネル】,/watch?v=35tQA2p-eMw,27653,しほりみチャンネルShiho &amp; Rimi Channel,11500,,17453,158
【髪質改善級】クセ毛女子が初めてのストレートパーマ！店で使ってるヘアオイルで毎日サロン帰りの仕上がりに！【しほりみチャンネル】,/watch?v=_xHKQyQmezQ,43788,しほりみチャンネルShiho &amp; Rimi Channel,11500,,17453,251
ダイエット生活スタート！まずは３日間の食事を紹介【しほりみチャンネル】,/watch?v=fjx8fX9za4s,13732,しほりみチャンネルShiho &amp; Rimi Channel,11500,,17453,79
ちょっと話そう！！,/watch?v=cA_l8Fg4dVE,7664,しほりみチャンネルShiho &amp; Rimi Channel,11500,,17453,44
