title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
「やっぱり天然美人に限る」全員参戦!! 【全員参戦】【縦動画】,/watch?v=Hnrb--7WFUo,12577,たくてぃぬす / takutinu,,,65285,19
「疲れた人に向けた」全員参戦!! 【縦動画】,/watch?v=ajZR0RmHjF0,252221,たくてぃぬす / takutinu,,,65285,386
【TikTok】サッカーのカッコイイ動画まとめ,/watch?v=lJrz2I_absU,1284,たくてぃぬす / takutinu,,,65285,2
「えちえちな夏の思い出」全員参戦!! 【TikTok】【縦動画】,/watch?v=r4gWeXcDyQQ,10139,たくてぃぬす / takutinu,,,65285,16
「これだから TikTok はやめられない」全員参戦!!  【縦動画】,/watch?v=BTNBiVDF_iY,119593,たくてぃぬす / takutinu,,,65285,183
Tik Tokの美女をただ集めただけの「全員参戦!!」 【縦動画】,/watch?v=prxdKidnm7U,186424,たくてぃぬす / takutinu,,,65285,286
「は？ JK 可愛すぎだろ」全員参戦!! 【縦動画】,/watch?v=1l1o6ErZdgg,96463,たくてぃぬす / takutinu,,,65285,148
「TikTokのto be continued」全員参戦!! 【縦動画】,/watch?v=S4o3F07mL48,45610,たくてぃぬす / takutinu,,,65285,70
「TikTokのガチなえちえち」全員参戦!! 【縦動画】,/watch?v=f9HS0A_PtcM,46257,たくてぃぬす / takutinu,,,65285,71
完全勝利する「吉田沙保里」スイカ割り!!,/watch?v=6YRan9ZhSVs,14596,たくてぃぬす / takutinu,,,65285,22
「ヒカキンの逆襲」シロナ戦!!,/watch?v=bA_YsVl0U9k,1515,たくてぃぬす / takutinu,,,65285,2
「TikTokのクレイジー人間」全員参戦!! 【縦動画】,/watch?v=WG6hFEJ9LEY,107834,たくてぃぬす / takutinu,,,65285,165
「本当に可愛い人たち（えちえち？）」全員参戦!! 【縦動画】,/watch?v=SlMy0NP42Bo,265176,たくてぃぬす / takutinu,,,65285,406
「Tik Tokの面白い人達」全員参戦!! 【縦動画】,/watch?v=kuNXIG5Mplc,326650,たくてぃぬす / takutinu,,,65285,500
「Tik Tokの面白い人達」全員参戦!!,/watch?v=p52hy4O3eQs,13725,たくてぃぬす / takutinu,,,65285,21
「男が喜ぶTikTokの女」全員参戦!!,/watch?v=j5wcTcrA2Mw,10560,たくてぃぬす / takutinu,,,65285,16
「Tik Tokに住む女」全員参戦!!,/watch?v=NBsjbFD0cyY,7836,たくてぃぬす / takutinu,,,65285,12
「素晴らしきJK」全員参戦!!,/watch?v=xn20CbdwuqQ,32961,たくてぃぬす / takutinu,,,65285,50
「陽気な海外勢」全員参戦!!,/watch?v=L_nahALkYJ8,30533,たくてぃぬす / takutinu,,,65285,47
「狙いすぎなティックトッカー」全員参戦!!,/watch?v=IIXb0qMspMA,7841,たくてぃぬす / takutinu,,,65285,12
「スゴ技海外勢」全員参戦!!,/watch?v=40IrKvtgl3E,263649,たくてぃぬす / takutinu,,,65285,404
「みんなが大好きなJK」全員参戦!!,/watch?v=8CltjtxjYLU,91902,たくてぃぬす / takutinu,,,65285,141
「調子に乗ってしまった人たち」全員参戦!!,/watch?v=DbyB_W8zKNU,29000,たくてぃぬす / takutinu,,,65285,44
「ふざけた海外勢」全員参戦!!,/watch?v=E3J-T-Nes6A,12109,たくてぃぬす / takutinu,,,65285,19
「Tik Tokの女神」全員参戦!!,/watch?v=vg2GnvsmsxM,298756,たくてぃぬす / takutinu,,,65285,458
「制御不能な人たち」全員参戦!!,/watch?v=VLSTgnjXtIc,13685,たくてぃぬす / takutinu,,,65285,21
「韓国の最強美人」全員参戦!!,/watch?v=KOLA2mltFOQ,1040,たくてぃぬす / takutinu,,,65285,2
「自業自得」全員参戦!!,/watch?v=No3DPftuoDQ,2138,たくてぃぬす / takutinu,,,65285,3
「世界の姉貴」全員参戦!!,/watch?v=p2oWswbI1-w,71504,たくてぃぬす / takutinu,,,65285,110
「伝説の放送事故」全員参戦!!,/watch?v=ozEkQYTG97g,1804,たくてぃぬす / takutinu,,,65285,3
「伝説の記者会見」全員参戦!!,/watch?v=pR9yW8aFt6M,4521,たくてぃぬす / takutinu,,,65285,7
「海外勢」全員参戦!!,/watch?v=yl_Qu607nLo,43082,たくてぃぬす / takutinu,,,65285,66
「政権放送」全員参戦!!!,/watch?v=w7YqfGlBtSA,14053,たくてぃぬす / takutinu,,,65285,22
面白いサッカー全員参戦!!,/watch?v=zIZdIKLxUG0,43489,たくてぃぬす / takutinu,,,65285,67
【DBD】#2 初心者でも逃げ切りたい！！【デッドバイデイライト】,/watch?v=CvtaYBalou0,54,たくてぃぬす / takutinu,,,65285,0
【DBD】#1 初心者でも逃げ切りたい！！【デッドバイデイライト】,/watch?v=vdPxxvFIypA,65,たくてぃぬす / takutinu,,,65285,0
たくてぃぬすのED,/watch?v=qbmnbLB4tc8,117,たくてぃぬす / takutinu,,,65285,0
たくてぃぬすのOP,/watch?v=MMnzwQWA9uw,85,たくてぃぬす / takutinu,,,65285,0
