title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
外出先でも簡単にできる！らくらくヘアアレンジ紹介するよ！,/watch?v=-29sb2t5v3w,352700,ねおチャンネル,94600,3週間前,485264,73
ラジオも出てるYouTuberなら噛まずに言えるはず！？早口言葉20連発！,/watch?v=5cauWVs7ngM,89766,ねおチャンネル,94600,3週間前,485264,18
【謎企画】前代未聞！？カニカマ好きYouTuberなら全問正解できる？,/watch?v=_hZjrdeG378,93923,ねおチャンネル,94600,4週間前,485264,19
【新ゲーム】ゲテモノだらけ！？穴の中を探して食べ物を見つけ出せ！！,/watch?v=n947GH1Ghhs,98870,ねおチャンネル,94600,1か月前,485264,20
めちゃくちゃ難しいクイズ正解するまで帰れま10,/watch?v=NwVUHAFPclA,81307,ねおチャンネル,94600,1か月前,485264,17
【TikTok】ねおなら最近流行ってる曲を突然流しても踊れるよね   ？【新企画】,/watch?v=Lo3l4gopqfk,672593,ねおチャンネル,94600,1か月前,485264,139
地雷メイクやってみた！！,/watch?v=8ouMetoY-wc,217425,ねおチャンネル,94600,1か月前,485264,45
くみっきーさんと念願のUberEatsでゆるゆる女子会！,/watch?v=kroK1B1c4EM,144985,ねおチャンネル,94600,1か月前,485264,30
YouTuber大好きユーチューバー！2020年上半期で面白かった動画TOP5を大発表します！,/watch?v=2IrwOMoz4BY,157540,ねおチャンネル,94600,1か月前,485264,32
【恐怖】ぶら下がってるものを目隠しで当てるゲームで大絶叫！！,/watch?v=ZySuEiDpNLk,85363,ねおチャンネル,94600,1か月前,485264,18
夏に向けて美肌キープ！ねおの日やけ対策を教えちゃいます！,/watch?v=0efsTrS1GHM,158607,ねおチャンネル,94600,1か月前,485264,33
「うるつや肌を1日キープ！ねおのヨレないメイク術を紹介します！」,/watch?v=yUpi7LlBnCE,106020,ねおチャンネル,94600,2か月前,485264,22
【睡眠用】暗い場所で癒しの耳かき音！,/watch?v=0rVJb3lzkqI,216439,ねおチャンネル,94600,2か月前,485264,45
芸人さんたちと「はい」と言ってはいけない面接をやってみたら全然進まなかったwww【こうもトシんごコラボ】,/watch?v=MCxtAH5Y8uQ,228457,ねおチャンネル,94600,2か月前,485264,47
ねおと一緒にダイエットしよう！お腹回りがスッキリする耐久プランク！,/watch?v=8e6liJN9Z7k,130584,ねおチャンネル,94600,2か月前,485264,27
１年ぶりの暴露だらけの質問コーナー！【スカイピースさんコラボ】,/watch?v=ZrBgCpRK9mU,674013,ねおチャンネル,94600,2か月前,485264,139
ねおもリモートワークしてます！！自宅待機中の1日の様子を大公開！,/watch?v=t_mYlpItdHs,361419,ねおチャンネル,94600,2か月前,485264,74
【夏服】こんなに趣味が違うとは思わなかった…姉妹で私服紹介！,/watch?v=kqcGicFgzP8,497838,ねおチャンネル,94600,2か月前,485264,103
【挑戦】量産型メイクやってみた,/watch?v=HxcOjh7q59I,253898,ねおチャンネル,94600,2か月前,485264,52
【韓国コスメ】CLIOのコスメだけで夏メイク！,/watch?v=zO7qg7n_2XU,237545,ねおチャンネル,94600,2か月前,485264,49
予想外の回答連発！？ねおのことを一番知っているのは誰！！【じんじんさん＆ジュキヤくん＆せりしゅんくんコラボ】,/watch?v=eKncon2ru64,685164,ねおチャンネル,94600,2か月前,485264,141
ステイホームでも朝の準備を一緒にしよう！おうち時間のGRWM！,/watch?v=BkLRkfxnans,397592,ねおチャンネル,94600,3か月前,485264,82
妹と料理リレー！交代で料理したら完成する？【ねおみゆ】,/watch?v=kbDCBl94M5c,607984,ねおチャンネル,94600,3か月前,485264,125
【衝撃】有名YouTuberに突然電話して「今何してる？」と聞いてみたら意外とちゃんとしてたww,/watch?v=iMXh-gmOZLs,622252,ねおチャンネル,94600,3か月前,485264,128
【最新】ねおの毎日スキンケア【ルーティン】,/watch?v=Rfv3TQ7eQ5w,283613,ねおチャンネル,94600,3か月前,485264,58
ねおの恋愛観語ります！みんなの恋の質問にたくさん答えるよ！,/watch?v=EIKYOwTNzds,268441,ねおチャンネル,94600,3か月前,485264,55
【最新】ねおの毎日のダイエットメニューを大公開！【筋トレ】,/watch?v=drImH4ELXes,447003,ねおチャンネル,94600,3か月前,485264,92
【最新版】ねおのスマホの中身を紹介します！【大公開】,/watch?v=x_PDuAriAs4,455112,ねおチャンネル,94600,3か月前,485264,94
【大量】お家にあるコスメ全部から選んでフルメイクしてみた！,/watch?v=4B9wOqrivFc,322792,ねおチャンネル,94600,3か月前,485264,67
【大変身】妹をフルメイクで大人っぽくしてみた！,/watch?v=eM12zKguxXA,525293,ねおチャンネル,94600,3か月前,485264,108
【新学期】妹の筆箱の中身を一緒に紹介します！【ねおみゆ】,/watch?v=QVaieDzLX4Q,626346,ねおチャンネル,94600,3か月前,485264,129
【総額４万円】デパコスだけでメイクしてみた,/watch?v=UyyHHFBQRso,236600,ねおチャンネル,94600,3か月前,485264,49
【初公開】ねおのセルフネイル紹介します！,/watch?v=0eo_afnbxAs,254761,ねおチャンネル,94600,3か月前,485264,52
【１年ぶり】妹ちゃんと質問コーナー【ねおみゆ】,/watch?v=9exuroohvXs,927487,ねおチャンネル,94600,3か月前,485264,191
あまーい悪魔のトーストつくったよ,/watch?v=7_xd56cmC4w,279885,ねおチャンネル,94600,4か月前,485264,58
