title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【ブロスタ】最近流行りのあれやってみた笑,/watch?v=PY7waanuW-0,256,まこち,1210,1年前,43264,1
【ブロスタ】ボウのスターパワーをレオンに付ける,/watch?v=9NAQjsVJxfw,138,まこち,1210,1年前,43264,0
【ブロスタ】YAPIMALU_YTに遭遇しました！！,/watch?v=oHZXu0GOwd4,85,まこち,1210,1年前,43264,0
【ブロスタ】敵キャラのボスロボットを使ってみたw,/watch?v=MXUpJgivzNA,421,まこち,1210,1年前,43264,1
【ブロスタ】レオンはこうやって使って欲しい！,/watch?v=nQyTANrAjLo,117,まこち,1210,1年前,43264,0
【ブロスタ】じゅりまつさんと遭遇,/watch?v=fEh9vTqFrBo,219,まこち,1210,1年前,43264,1
［フォートナイト］参加型,/watch?v=k5-fvwGHR10,28,まこち,1210,1年前,43264,0
【炎上】くら寿司守口市の問題動画,/watch?v=9d3ROwWI54E,2169,まこち,1210,1年前,43264,5
【ブロスタ】誰でも出来るロボットファイト裏技,/watch?v=iSOLzfqxi2k,73,まこち,1210,1年前,43264,0
【ブロスタ】レオン強すぎぎぃ,/watch?v=f3eb-6rY8Fo,82,まこち,1210,1年前,43264,0
【ブロスタ】ウィザードバーリー入手方法！,/watch?v=aaUjO7WDM1k,1752,まこち,1210,1年前,43264,4
ばいお5,/watch?v=MC_GIofepvY,20,まこち,1210,1年前,43264,0
あけましておめでとうビクロイ,/watch?v=fAa3eyYw4dk,41,まこち,1210,1年前,43264,0
【クラロワ】ブロスタコラボ対戦,/watch?v=e1P6Q3VwSGQ,197,まこち,1210,1年前,43264,0
【謝罪】プレゼント企画の件について！,/watch?v=8xv6aF6VtnM,153,まこち,1210,1年前,43264,0
【スプラトゥーン2】チャーキル集100！,/watch?v=esZRGjU_ORA,234,まこち,1210,2年前,43264,1
【TikTok】full Part1,/watch?v=NRL8Zcw7ivk,45392,まこち,1210,2年前,43264,105
【荒野行動】最初の島に行ってみた！,/watch?v=QgWHR-_tPlQ,151,まこち,1210,2年前,43264,0
【荒野行動】スナイパーキル集,/watch?v=Q4wYsCMyM5s,119,まこち,1210,2年前,43264,0
【荒野行動】イモリも大切,/watch?v=Z0lE4pKOIfU,79,まこち,1210,2年前,43264,0
【TikTok】始めたばかりの人必見！人気曲集Part2,/watch?v=zMzx51LajLE,293014,まこち,1210,2年前,43264,677
超簡単！携帯単体でゲームlive配信をする方法！,/watch?v=yE3F5jJlm7Y,617,まこち,1210,2年前,43264,1
まこちー CHANNEL,/watch?v=jnlWq0UicAI,121,まこち,1210,2年前,43264,0
【荒野行動】俺が成敗された😭（泣）,/watch?v=sNzOhLs2E4Q,33,まこち,1210,2年前,43264,0
【クラロワ】友達と対戦！,/watch?v=e8KxYl_e5sg,120,まこち,1210,2年前,43264,0
【荒野行動】喧嘩を止めただけだよ,/watch?v=EfLEvq3Ki4Q,273,まこち,1210,2年前,43264,1
【荒野行動】ゲームプレイ動画part2,/watch?v=Tlfk9QN1xl4,21,まこち,1210,2年前,43264,0
【TikTok】始めたばかりの人必見！人気曲集,/watch?v=eO3M374lJ3Y,921691,まこち,1210,2年前,43264,2130
【荒野行動】ゲームプレイ動画part1,/watch?v=cW2-b0Rv1Vo,54,まこち,1210,2年前,43264,0
Tob sid,/watch?v=la5YghMPNf8,106,まこち,1210,2年前,43264,0
【TikTok】自分の動画の消し方！,/watch?v=b2QgJQW6NEc,116431,まこち,1210,2年前,43264,269
拳で！！面白喧嘩,/watch?v=cpqnQnOdNxw,257,まこち,1210,2年前,43264,1
