title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
ホールジーの最高の歌 Greatest Hits Full Album 2020 - Best Song Of Halsey Playlist 2020,/watch?v=vwxOtRJCMKU,3,ポップソング,,5日前,10,30
ショーン・メンデス人気の曲,/watch?v=D4CeoEDZ2ZY,0,ポップソング,,5日前,10,0
セレーナ・ゴメス 人気曲 メドレー,/watch?v=_Fc46zxURKU,0,ポップソング,,5日前,10,0
ビリー・アイリッシュメドレー【高音質320kbps】,/watch?v=sCDPPafOL_k,1,ポップソング,,5日前,10,10
ポスト・マローンのベストソング - Post Malone Greatest Hits Full Album 2020,/watch?v=fau5-5MNz0c,0,ポップソング,,5日前,10,0
マイリー・サイラス 人気の曲 - Best Songs of Miley Cyrus 2020,/watch?v=5D3c9cP0oJI,2,ポップソング,,5日前,10,20
セレーナ・ゴメス 人気曲 メドレー,/watch?v=uF-4GTraiLs,2,ポップソング,,5日前,10,20
ショーン・メンデスBESTソングメドレー,/watch?v=Gb9vOhOVlYY,1,ポップソング,,5日前,10,10
ザ・ウィークエンドのベストソング❤️ The Weeknd Best Songs ❉ The Weeknd Greatest Hits Album 2020,/watch?v=w2V7s5bVESU,0,ポップソング,,5日前,10,0
ザ・ウィークエンドのベストソング❤️ Best Songs of The Weeknd 2020,/watch?v=zc452iA0_qE,1,ポップソング,,5日前,10,10
ビリー・アイリッシュのベストソング,/watch?v=jw9dhs5Xp3s,0,ポップソング,,5日前,10,0
セレーナ・ゴメス 人気曲 メドレー,/watch?v=Bpr80eHQbKY,0,ポップソング,,5日前,10,0
セレーナ・ゴメス 人気曲 メドレー,/watch?v=7Q8CBTl4s6o,0,ポップソング,,5日前,10,0
セレーナ・ゴメス 人気曲 メドレー,/watch?v=a1u-ozGEPkY,0,ポップソング,,5日前,10,0
セレーナ・ゴメス 人気曲 メドレー,/watch?v=UWGVy9gYAFs,0,ポップソング,,5日前,10,0
トーンズ・アンド・アイメドレー【高音質320kbps】,/watch?v=h8TxSEtvQBE,1,ポップソング,,5日前,10,10
ビリー・アイリッシュのベストソング,/watch?v=5mPk3SyNHGc,0,ポップソング,,5日前,10,0
ビリー・アイリッシュのベストソング,/watch?v=IqnKAogDjB8,0,ポップソング,,5日前,10,0
ビリー・アイリッシュのベストソング,/watch?v=XA9__FYDmBI,0,ポップソング,,5日前,10,0
ビリー・アイリッシュのベストソング,/watch?v=lEAsXRG8qLI,0,ポップソング,,5日前,10,0
ビリー・アイリッシュのベストソング,/watch?v=jDTWTjwEuq0,5,ポップソング,,5日前,10,50
Alan Walker And Marshmello Mix 2020 - アラン・ウォーカー & マシュメロ 人気の曲,/watch?v=KjGEN48S_lo,0,ポップソング,,5日前,10,0
アラン・ウォーカー 人気の曲,/watch?v=RzjRKinH6bE,0,ポップソング,,5日前,10,0
Doja Catのベストソング - Doja Cat Top 1 Billboard 2020,/watch?v=rOBIkWcakWY,0,ポップソング,,5日前,10,0
ビリー・アイリッシュのベストソング,/watch?v=pSVRI1RbCuQ,0,ポップソング,,5日前,10,0
ビリー・アイリッシュのベストソング,/watch?v=amI-mkdsRHc,0,ポップソング,,5日前,10,0
ビリー・アイリッシュのベストソング,/watch?v=orMvCe1VZ2o,0,ポップソング,,5日前,10,0
Doja Catのベストソング - Doja Cat Top 1 Billboard 2020,/watch?v=Y5WS-QnUTos,0,ポップソング,,5日前,10,0
セレーナ・ゴメスの最高の歌,/watch?v=hDzJ_PuWNkg,0,ポップソング,,5日前,10,0
セレーナ・ゴメスの最高の歌,/watch?v=hVJlVqPmsUA,0,ポップソング,,6日前,10,0
セレーナ・ゴメスの最高の歌,/watch?v=R-52ExxTCGQ,0,ポップソング,,6日前,10,0
セレーナ・ゴメスの最高の歌,/watch?v=jJiAXPglcYA,2,ポップソング,,6日前,10,20
ショーン・メンデスBESTソングメドレー,/watch?v=_re7AsZPGNE,0,ポップソング,,6日前,10,0
ショーン・メンデスBESTソングメドレー,/watch?v=6WF7_Kj5ufo,0,ポップソング,,6日前,10,0
ショーン・メンデスBESTソングメドレー,/watch?v=u-oAmHRFxac,0,ポップソング,,6日前,10,0
【TikTok】 よく使われる曲集 【 人気曲☆EDM R B POP 洋楽 😍 K POP 】 past#11,/watch?v=OhWvUr6bc1Y,94,ポップソング,,5か月前,10,940
【TikTok】 よく使われる曲集 【 人気曲☆EDM R B POP 洋楽 😍 K POP 】 past#11,/watch?v=fVf_8WnbZyA,88,ポップソング,,5か月前,10,880
【TikTok】 よく使われる曲集 【 人気曲☆EDM R B POP 洋楽 😍 K POP 】 past#11,/watch?v=O_ODacvUP98,50,ポップソング,,5か月前,10,500
【TikTok】 よく使われる曲集 【 人気曲☆EDM R B POP 洋楽 😍 K POP 】 past#11,/watch?v=aL8LtHaaZJY,64,ポップソング,,5か月前,10,640
TikTok】 よく使われる曲集 【 人気曲☆EDM R & B POP 洋楽 😍 K POP 】 past 12,/watch?v=1JT2eoijZcI,10,ポップソング,,5か月前,10,100
Nightcore   【TikTok】 よく使われる曲集 【 人気曲☆EDM R B POP 洋楽 😍 K POP 】 past#11,/watch?v=ECH3FlQNUFs,18,ポップソング,,5か月前,10,180
【TikTok】 よく使われる曲集 【 人気曲☆EDM R  B POP 洋楽 😍 K POP 】 past9,/watch?v=oCjEsuZYDe8,10,ポップソング,,5か月前,10,100
「Legend vs. Music」は病みつきになるis BGM◆世界で最も病みつきになる電子音楽,/watch?v=SFg19XqNGTQ,4,ポップソング,,5か月前,10,40
NCS神曲超定番!!テンション跳ね上げEDM!BEST OF NCS Vol1!!!作業用BGM,/watch?v=08zp4AKAvjY,27,ポップソング,,5か月前,10,270
【TikTok】 よく使われる曲集 【 人気曲☆EDM R & B POP 洋楽 😍 K POP 】,/watch?v=ctDmcC9XwRI,7,ポップソング,,6か月前,10,70
【TikTok】 よく使われる曲集 【 人気曲☆EDM R & B POP 洋楽 😍 K POP 】 past 4,/watch?v=aFV42p1hoKQ,0,ポップソング,,6か月前,10,0
【TikTok】 よく使われる曲集 【 人気曲☆EDM R & B POP 洋楽 😍 K POP 】 past 8,/watch?v=HGOGZZky1J4,15,ポップソング,,6か月前,10,150
【TikTok】 よく使われる曲集 【 人気曲☆EDM R & B POP 洋楽 😍 K POP 】 past3,/watch?v=AuM8CQ-0Lm8,108,ポップソング,,6か月前,10,1080
【TikTok】 よく使われる曲集 【 人気曲☆EDM R & B POP 洋楽 😍 K POP 】 past 5,/watch?v=HaWwUUOS-yA,0,ポップソング,,6か月前,10,0
【TikTok】 よく使われる曲集 【 人気曲☆EDM R & B POP 洋楽 😍 K POP 】 past2,/watch?v=Hk7eeH9ldaA,6,ポップソング,,6か月前,10,60
【TikTok】 よく使われる曲集 【 人気曲☆EDM R & B POP 洋楽 😍 K POP 】 past1,/watch?v=wt3iGctv9zQ,8,ポップソング,,6か月前,10,80
