title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【メドレー】TikTok 2020 流行の全8曲メドレー！！３,/watch?v=-Q7LlGFgPzY,30163,ラビットハーモニー,1140,3週間前,12699,238
【リリックビデオ】至福の時を/moon drop (Unofficial),/watch?v=Lclnx-ZuMTs,179,ラビットハーモニー,1140,3週間前,12699,1
【メドレー】朝ドラ主題歌５曲メドレー２！！,/watch?v=ylOr-PyLsTg,824,ラビットハーモニー,1140,4週間前,12699,6
【合わせてみた】たぶん (YOASOBI) × 花に亡霊 (ヨルシカ),/watch?v=Of8NQnSxVnM,280,ラビットハーモニー,1140,4週間前,12699,2
【和訳】Story English Version/AI を逆に和訳してみた,/watch?v=Uh06YJegUIY,74,ラビットハーモニー,1140,4週間前,12699,1
【メドレー】TikTok 2020 流行りの全7曲メドレー！！２,/watch?v=w_V3sQMOgVY,47265,ラビットハーモニー,1140,4週間前,12699,372
【メドレー】朝ドラ主題歌５曲メドレー！！,/watch?v=lPy_59BHfJg,2500,ラビットハーモニー,1140,1か月前,12699,20
【作業用BGM】Novelbright ヒット曲メドレー,/watch?v=7jNoAiBt0ho,881,ラビットハーモニー,1140,1か月前,12699,7
【リリックビデオ】YOASOBI/たぶん (Unofficial),/watch?v=zy_z7XMOWes,125,ラビットハーモニー,1140,1か月前,12699,1
【Easy Chords】ギター歌詞コード: 夏空/アイビーカラー,/watch?v=gi3RCWkjtPs,75,ラビットハーモニー,1140,1か月前,12699,1
【リリックビデオ】アイビーカラー/シロ (Unofficial),/watch?v=sGt1S32Czmc,669,ラビットハーモニー,1140,1か月前,12699,5
【メドレー】TikTok 2020 流行りの全１０曲メドレー！！,/watch?v=EAnzR4xMELE,113493,ラビットハーモニー,1140,1か月前,12699,894
【リリックビデオ】春を告げる/yama（Unofficial）,/watch?v=7wwY6kztKAY,160,ラビットハーモニー,1140,2か月前,12699,1
【作業用BGM】高橋優全10曲メドレー！！,/watch?v=CmalziAbJ30,1054,ラビットハーモニー,1140,2か月前,12699,8
【リリックビデオ】プロローグ/Uru (Unofficial),/watch?v=ifYhB5apg3w,69,ラビットハーモニー,1140,2か月前,12699,1
【リリックビデオ】帰り花火/SUNs (Unofficial),/watch?v=PIbXAondy-s,25,ラビットハーモニー,1140,2か月前,12699,0
【リリックビデオ】さよならまたね/Coelacanth (Unofficial),/watch?v=9-NKsmzB6vg,30,ラビットハーモニー,1140,2か月前,12699,0
【リリックビデオ】ビッケブランカ/まっしろ (Unofficial),/watch?v=3kfZYgI84bk,40,ラビットハーモニー,1140,2か月前,12699,0
【リリックビデオ】moon drop/西大寺より（Unofficial）,/watch?v=_AJVhZollBQ,25,ラビットハーモニー,1140,2か月前,12699,0
【メドレー】YOASOBI 夜に駆ける/あの夢をなぞって/ハルジオン,/watch?v=DMAmaISCLag,52496,ラビットハーモニー,1140,2か月前,12699,413
【リリックビデオ】アイビーカラー/君が思い出になる頃 (Unofficial),/watch?v=KuJfVSWUb2w,426,ラビットハーモニー,1140,2か月前,12699,3
