title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
坂口有望「2020」MV short ver.,/watch?v=tdqJUOgyWmY,8589,坂口有望 Official YouTube Channel,62200,2週間前,634635,1
坂口有望 『あっけない』リモートバンド演奏Ver.,/watch?v=7nX4rkiieCY,18487,坂口有望 Official YouTube Channel,62200,2か月前,634635,3
坂口有望 『あっけない』Music Video,/watch?v=WqHac1K_iNY,161765,坂口有望 Official YouTube Channel,62200,3か月前,634635,25
坂口有望  2nd Album「shiny land」収録曲ダイジェスト,/watch?v=Gwsh09_r0eI,17669,坂口有望 Official YouTube Channel,62200,6か月前,634635,3
坂口有望 『東京-Studio Live Ver.-』(Short),/watch?v=65h2J8rEw7A,16927,坂口有望 Official YouTube Channel,62200,6か月前,634635,3
坂口有望 『LION』MV(Short),/watch?v=1F7oi7KsET8,280074,坂口有望 Official YouTube Channel,62200,7か月前,634635,44
坂口有望 『ワンピース』MV(Short),/watch?v=mAL9HSHvySA,157737,坂口有望 Official YouTube Channel,62200,1年前,634635,25
坂口有望 1st Mini Album「放課後ジャーニー」ティザー映像,/watch?v=lC2yDn5Ns8k,15541,坂口有望 Official YouTube Channel,62200,1年前,634635,2
坂口有望 『musician』MV(Short),/watch?v=M30L9kNAIa8,126773,坂口有望 Official YouTube Channel,62200,1年前,634635,20
坂口有望 『青春』MV(Short③),/watch?v=2u2vsfw4Cxw,25693,坂口有望 Official YouTube Channel,62200,1年前,634635,4
坂口有望 『青春』MV(Short②),/watch?v=JcCRFIhWql4,31232,坂口有望 Official YouTube Channel,62200,1年前,634635,5
坂口有望 『青春』MV(Short),/watch?v=QdSLB38Aie0,127124,坂口有望 Official YouTube Channel,62200,1年前,634635,20
坂口有望 『3 3 4 1』MV(Short),/watch?v=i7T8C_pIU3U,137869,坂口有望 Official YouTube Channel,62200,1年前,634635,22
坂口有望 『fruits』MV(Short),/watch?v=s08EuregR0g,118772,坂口有望 Official YouTube Channel,62200,2年前,634635,19
坂口有望 1st Album「blue signs」収録曲ダイジェスト,/watch?v=u_heBe8cNas,64779,坂口有望 Official YouTube Channel,62200,2年前,634635,10
坂口有望 1st Album「blue signs」収録シングルダイジェスト,/watch?v=WB03xCeDXZE,27242,坂口有望 Official YouTube Channel,62200,2年前,634635,4
坂口有望 『お別れをする時は』Music Video,/watch?v=B1Jd4nvOQ1Y,1272980,坂口有望 Official YouTube Channel,62200,2年前,634635,201
坂口有望 『空っぽの空が僕はきらいだ』Music Video,/watch?v=4ApBbfHe2WE,763813,坂口有望 Official YouTube Channel,62200,2年前,634635,120
坂口有望 『ガタゴト-Studio Live Ver.-』ティザー映像,/watch?v=QcLRI71x05M,68613,坂口有望 Official YouTube Channel,62200,2年前,634635,11
坂口有望 『空っぽの空が僕はきらいだ』MV撮影オフショット,/watch?v=lpWSkCwlYRw,10947,坂口有望 Official YouTube Channel,62200,2年前,634635,2
坂口有望 『空っぽの空が僕はきらいだ』MV(Short),/watch?v=3E00PC-UgXw,118999,坂口有望 Official YouTube Channel,62200,2年前,634635,19
坂口有望 「空っぽの空が僕はきらいだ」ジャケ・アー写撮影オフショット,/watch?v=HcJjdNfxh1M,16792,坂口有望 Official YouTube Channel,62200,2年前,634635,3
坂口有望 初のバンド編成ワンマンライブ映像 Vol.1,/watch?v=j-byZdl3Gus,42631,坂口有望 Official YouTube Channel,62200,2年前,634635,7
坂口有望 『ばかやろう』ティザー映像,/watch?v=Q0mrtyJ2x4k,100552,坂口有望 Official YouTube Channel,62200,2年前,634635,16
坂口有望 『空っぽの空が僕はきらいだ』ティザー映像,/watch?v=hYaVEQmdhjQ,76296,坂口有望 Official YouTube Channel,62200,2年前,634635,12
坂口有望 『好-じょし-』Music Video,/watch?v=hAAx7rAJUVg,13289425,坂口有望 Official YouTube Channel,62200,2年前,634635,2094
坂口有望 『16さいのうた』ティザー映像,/watch?v=SXpVC1yiKaY,70155,坂口有望 Official YouTube Channel,62200,3年前,634635,11
坂口有望 『好-じょし-』MV(Short),/watch?v=qe-RrI6gU2E,602302,坂口有望 Official YouTube Channel,62200,3年前,634635,95
