title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
平井 堅 『ノンフィクション』MUSIC VIDEO (Short Ver.),/watch?v=ihMPLCNykZI,29804596,平井 堅 YouTube Official Channel,26200,3年前,4886343,610
平井 堅 『怪物さん feat.あいみょん』MUSIC VIDEO,/watch?v=k9VOuzOXAVo,17070671,平井 堅 YouTube Official Channel,26200,4か月前,4886343,349
平井 堅 『魔法って言っていいかな？』MUSIC VIDEO(Short Ver.),/watch?v=L-u1dcjpaGc,16522677,平井 堅 YouTube Official Channel,26200,4年前,4886343,338
平井 堅　『グロテスク feat. 安室奈美恵 (MUSIC VIDEO YouTube ver.)』,/watch?v=YZHYDNb4rY4,13199669,平井 堅 YouTube Official Channel,26200,6年前,4886343,270
平井 堅　『ソレデモシタイ MUSIC VIDEO (YouTube ver.)』,/watch?v=1krJijKL384,12204214,平井 堅 YouTube Official Channel,26200,5年前,4886343,250
平井 堅 『トドカナイカラ』MUSIC VIDEO(Short Ver.),/watch?v=bPLWTdCYyKs,9531819,平井 堅 YouTube Official Channel,26200,2年前,4886343,195
ヒライケンジ 【振り付けビデオ】皆で踊ろう！ソレデモシタイ,/watch?v=eaB8of1caQU,181378,平井 堅 YouTube Official Channel,26200,5年前,4886343,4
平井 堅　『KEN HIRAI TV Vol.2 トレーラー映像』,/watch?v=LFqZ5aNKoHU,88484,平井 堅 YouTube Official Channel,26200,6年前,4886343,2
平井 堅　『Ken's BarⅢ TV-SPOT YouTube ver.』,/watch?v=rB3mlDHoRss,82302,平井 堅 YouTube Official Channel,26200,6年前,4886343,2
KEN HIRAI TV Vol.5「歌バカ けん散歩 in 伊勢志摩」 ダイジェスト,/watch?v=oRqEGjDLIAU,63987,平井 堅 YouTube Official Channel,26200,4年前,4886343,1
[LIVE映像]『Ken Hirai 15th Anniversary Special!! Vol.4』@京セラドーム大阪,/watch?v=WU-lP3yn9bc,149282,平井 堅 YouTube Official Channel,26200,2か月前,4886343,3
平井 堅 『Missin' you ～It will break my heart～』MUSIC VIDEO,/watch?v=x9gkPZEtdSQ,112739,平井 堅 YouTube Official Channel,26200,3か月前,4886343,2
平井 堅 『思いがかさなるその前に・・・』MUSIC VIDEO,/watch?v=n2zqrJMuJvM,594698,平井 堅 YouTube Official Channel,26200,3か月前,4886343,12
平井 堅 『LOVE OR LUST』MUSIC VIDEO,/watch?v=nvhCcDOZc-c,114175,平井 堅 YouTube Official Channel,26200,3か月前,4886343,2
平井 堅 『Ring』MUSIC VIDEO,/watch?v=z1KCHnJnAQI,156688,平井 堅 YouTube Official Channel,26200,3か月前,4886343,3
平井 堅 『君はス・テ・キ♡ 』MUSIC VIDEO,/watch?v=wE-lkUHby6Y,69288,平井 堅 YouTube Official Channel,26200,3か月前,4886343,1
平井 堅 『KISS OF LIFE』MUSIC VIDEO,/watch?v=v9ev705igrM,217140,平井 堅 YouTube Official Channel,26200,3か月前,4886343,4
平井 堅 『Sing Forever』MUSIC VIDEO,/watch?v=ZTFX5DRqSmw,44610,平井 堅 YouTube Official Channel,26200,3か月前,4886343,1
[LIVE映像]『Ken Hirai 20th Anniversary Special !! Live Tour 2016』@国立代々木競技場 第一体育館,/watch?v=hGEp2WojozI,889121,平井 堅 YouTube Official Channel,26200,3か月前,4886343,18
平井 堅 『いつか離れる日が来ても 』MUSIC VIDEO,/watch?v=ZQTg_whhgIs,853473,平井 堅 YouTube Official Channel,26200,3か月前,4886343,17
平井 堅 『僕は君に恋をする』MUSIC VIDEO,/watch?v=pdrKth95Lh8,662200,平井 堅 YouTube Official Channel,26200,3か月前,4886343,14
