title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
良い睡眠のための音楽 - 音楽リラックススリープ,/watch?v=qQ115XXZ3_4,41,眠っている音楽 -Sleeping Music,7760,5日前,37752,0
🌙【眠くなるピアノ音楽】心が落ち着く優しいピアノで深い眠りに導く癒しの睡眠向け ⭐️#3,/watch?v=CXYq8GzgLN0,71,眠っている音楽 -Sleeping Music,7760,6日前,37752,0
🌙睡眠専用 - 優しい音楽 ⭐️  夜眠れないとき聴く癒し リラックス快眠音楽 短い睡眠でも朝スッキリ！ 睡眠の質を高める睡眠音楽,/watch?v=xezNqCUoN90,267,眠っている音楽 -Sleeping Music,7760,2週間前,37752,1
【眠くなるピアノ音楽】心が落ち着く優しいピアノで深い眠りに導く癒しの睡眠向け #2,/watch?v=o5EMH2QvQjU,283,眠っている音楽 -Sleeping Music,7760,2週間前,37752,1
【眠くなるピアノ音楽】心が落ち着く優しいピアノで深い眠りに導く癒しの睡眠向け,/watch?v=4aoQaRZDRyY,68,眠っている音楽 -Sleeping Music,7760,2週間前,37752,0
🌙【眠くなるピアノ音楽】心が落ち着く優しいピアノで深い眠りに導く癒しの睡眠向け ⭐️#3,/watch?v=NByJDvmjOiI,106,眠っている音楽 -Sleeping Music,7760,2週間前,37752,0
🌙【眠くなるピアノ音楽】心が落ち着く優しいピアノで深い眠りに導く癒しの睡眠向け ⭐️#2,/watch?v=6QPIBpKCdlk,109,眠っている音楽 -Sleeping Music,7760,2週間前,37752,0
🌙【眠くなるピアノ音楽】心が落ち着く優しいピアノで深い眠りに導く癒しの睡眠向け ⭐️#3,/watch?v=kbhzfOpEECg,74,眠っている音楽 -Sleeping Music,7760,2週間前,37752,0
🌙睡眠専用 - 優しい音楽 ⭐️ おやすみジブリ・ピアノメドレーDeep Sleep Piano Collection,/watch?v=tWNs4G1sg40,227,眠っている音楽 -Sleeping Music,7760,3週間前,37752,1
🌙【眠くなるピアノ音楽】🌙美しい夢の物語-眠りとリラックスのためのリラックスできる音楽,/watch?v=b2VDCZjhl9o,153,眠っている音楽 -Sleeping Music,7760,3週間前,37752,0
🌙【眠くなるピアノ音楽】心が落ち着く優しいピアノで深い眠りに導く癒しの睡眠向け ⭐️,/watch?v=5dVGN2mMooU,183,眠っている音楽 -Sleeping Music,7760,1か月前,37752,0
🌙睡眠専用 - 優しい音楽 ⭐️【眠れる 曲】優しい音楽３,/watch?v=yWn1W6vdm94,156,眠っている音楽 -Sleeping Music,7760,1か月前,37752,0
Inuyasha OSTs Sad Emotional Anime 1Hour,/watch?v=jsLEOx1VlzY,162,眠っている音楽 -Sleeping Music,7760,2か月前,37752,0
"2 Hour ANIME Music Piano for Sleeping, Gaming and Working - 睡眠、ゲーム、仕事のための2時間のアニメ音楽ピアノ",/watch?v=W48bD-BcU0s,232,眠っている音楽 -Sleeping Music,7760,2か月前,37752,1
良い睡眠のための音楽 - 音楽リラックススリープ,/watch?v=P4Zkrgqg_U0,301,眠っている音楽 -Sleeping Music,7760,3か月前,37752,1
Ayumi Hamasaki Greatest Hits - Ayumi Hamasaki Best Songs,/watch?v=Sz4bIomdSeE,14497,眠っている音楽 -Sleeping Music,7760,3か月前,37752,38
魅惑のムード歌謡ベスト - ３時間,/watch?v=lX783HuVTxE,1016,眠っている音楽 -Sleeping Music,7760,9か月前,37752,3
魅惑のムード歌謡ベスト - ３時間,/watch?v=7K9OxUQibRk,4656,眠っている音楽 -Sleeping Music,7760,10か月前,37752,12
この延長）／リラックスのロマンティック音楽Peder B.Helland,/watch?v=x_1zUqV0xIc,42,眠っている音楽 -Sleeping Music,7760,10か月前,37752,0
寛ぎの眠りの音楽に深い眠りの音楽、音楽、ストレス、瞑想音楽★68,/watch?v=R1f1jVLD8iI,59,眠っている音楽 -Sleeping Music,7760,10か月前,37752,0
なだめるような暖かい心、癒しの音楽,/watch?v=QTR9_YhKIwQ,101,眠っている音楽 -Sleeping Music,7760,10か月前,37752,0
美しく切ない、ノスタルジックな音楽,/watch?v=RjfZnSU1vPM,126,眠っている音楽 -Sleeping Music,7760,10か月前,37752,0
Ayumi Hamasaki Best Song 2019 - 浜崎あゆみ 名曲 人気曲 ヒット曲メドレー 連続再生！,/watch?v=oeJrhgVjDbM,14161,眠っている音楽 -Sleeping Music,7760,10か月前,37752,38
Ayumi Hamasaki Best Song 2019 - 浜崎あゆみ 名曲 人気曲 ヒット曲メドレー 連続再生！,/watch?v=Uuc-VFejb-o,3421,眠っている音楽 -Sleeping Music,7760,11か月前,37752,9
ブロークンハートコレクションオブラブソング-Sad Songs May Make You Cry,/watch?v=r1VFLzIIHjY,149,眠っている音楽 -Sleeping Music,7760,11か月前,37752,0
邦楽 90年代 〜 2000年代 ランキング 懐メロ 名曲 メドレー 作業用BGM - J-Pop 90s 2000s jpop 邦楽人気曲 top 100,/watch?v=yXr0TStVlQY,206,眠っている音楽 -Sleeping Music,7760,11か月前,37752,1
JPOP 秋の歌 【50曲】 秋に聴きたい曲【秋うた・秋ソング・バラード邦】J POPメドレー邦楽 2019,/watch?v=hZweRJJ7t2s,257,眠っている音楽 -Sleeping Music,7760,11か月前,37752,1
切ないバラード、心がギューっとなる恋の歌、しっとりカラオケで歌える名曲メドレー,/watch?v=cPRmxLn6gzc,245,眠っている音楽 -Sleeping Music,7760,11か月前,37752,1
【男性】リラクゼーション＆スリーピングのためのアコースティック和歌集＃24,/watch?v=bf_olJuH8nA,62,眠っている音楽 -Sleeping Music,7760,11か月前,37752,0
J-POP メドレー 最新 2019 名曲。2018 2019年ヒット曲 名曲 【作業用BGM 邦楽】,/watch?v=PnpYmqAiNuY,521,眠っている音楽 -Sleeping Music,7760,11か月前,37752,1
癒しJ-POPオルゴールメドレー - 勉強用BGM - 作業用BGM - ゆったりオルゴール - 睡眠用BGM,/watch?v=6ar-TxRLtMY,173,眠っている音楽 -Sleeping Music,7760,11か月前,37752,0
"メドレー邦楽 10,000,000回を超えた再生回数 ランキング 名曲 JPOP 現代音楽",/watch?v=uyN39NAVHEg,430,眠っている音楽 -Sleeping Music,7760,11か月前,37752,1
Harutya春茶Best Songs of All Time-Harutya春茶Beautiful Songs Full Album Playlist 2019,/watch?v=3lweq7AqeBI,152,眠っている音楽 -Sleeping Music,7760,11か月前,37752,0
AIMYONの新曲 2019 - AIMYONの人気曲 あいみょん ♪ ヒットメドレー あいみょん あいみょん ベストヒットメドレー 2019,/watch?v=_FCY0IY7QSk,10630,眠っている音楽 -Sleeping Music,7760,11か月前,37752,28
Ayumi Hamasaki Best Song 2019 - 浜崎あゆみ 名曲 人気曲 ヒット曲メドレー 連続再生！,/watch?v=OIUXdXvklvw,10582,眠っている音楽 -Sleeping Music,7760,11か月前,37752,28
メドレー邦楽 泣ける ♥♥ 邦楽 泣ける バラード 名曲 感動 メドレー ♥♥ J Pop メドレー 泣ける,/watch?v=OlRYMccCVPQ,489,眠っている音楽 -Sleeping Music,7760,11か月前,37752,1
"J POP メドレー 邦楽 最新 2019 名曲。2019年ヒット曲, 名曲メドレー",/watch?v=WirIyPEOzzk,491,眠っている音楽 -Sleeping Music,7760,1年前,37752,1
【TikTok】 よく使われる曲集 【 人気曲☆EDM R&B POP 洋楽 😍 K POP 】 Part 11 EDM,/watch?v=LXdH19juhRw,1646,眠っている音楽 -Sleeping Music,7760,1年前,37752,4
1  落ち込んだ時に聴く曲！元気が出る歌 邦楽 J POP 名曲 やる気の出る曲 メドレー♪元気が出る曲！前向きになれる歌！,/watch?v=dSunkODKEMo,675,眠っている音楽 -Sleeping Music,7760,1年前,37752,2
Ayumi Hamasaki Best Song 2019 - 浜崎あゆみ 名曲 人気曲 ヒット曲メドレー 連続再生！,/watch?v=hfCVV5zubWk,16786,眠っている音楽 -Sleeping Music,7760,1年前,37752,44
Ayumi Hamasaki Best Song 2019 - 浜崎あゆみ 名曲 人気曲 ヒット曲メドレー 連続再生！,/watch?v=q4lxRPapoNY,11393,眠っている音楽 -Sleeping Music,7760,1年前,37752,30
4  Hamasaki Ayumi Greatest hits New Album 2018   浜崎あゆみグレイテスト・ヒット・ニュー・アルバム2018,/watch?v=EWBrA2KKvoA,9400,眠っている音楽 -Sleeping Music,7760,1年前,37752,25
Ayumi Hamasaki Best Song 2019 - 浜崎あゆみ 名曲 人気曲 ヒット曲メドレー 連続再生！,/watch?v=zYLmeWFGBMc,78079,眠っている音楽 -Sleeping Music,7760,1年前,37752,207
Hamasaki Ayumi Greatest hits New Album 2019 - 浜崎あゆみグレイテスト・ヒット・ニュー・アルバム2019,/watch?v=9eG6mZ48F7Q,316764,眠っている音楽 -Sleeping Music,7760,1年前,37752,839
浜崎あゆみの名前を作った曲 | 浜崎あゆみベストソング2018,/watch?v=VVnt3piBcBI,72404,眠っている音楽 -Sleeping Music,7760,1年前,37752,192
浜崎あゆみ の人気曲 浜崎あゆみ || ヒットメドレー || 浜崎あゆみ 最新ベストヒットメドレー 2018 || Ayumi Hamasaki,/watch?v=HyEPDoPHN8A,109756,眠っている音楽 -Sleeping Music,7760,1年前,37752,291
浜崎あゆみ 名曲 人気曲 ヒット曲メドレー 連続再生 || Ayumi Hamasaki Best Song 2018,/watch?v=6AKb86SMt40,1092555,眠っている音楽 -Sleeping Music,7760,2年前,37752,2894
