title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
もしも EXILE NAOTOが現役高校生だったら…,/watch?v=QTKLmyK0d74,90389,EXILE NAOTO オネストTV,41900,1日前,489910,18
あの優しかったNAOTOがついにガチギレしました・・・,/watch?v=WS7TPjuH-hE,173491,EXILE NAOTO オネストTV,41900,5日前,489910,35
ご報告があります。,/watch?v=TC8_6uWW-dk,416724,EXILE NAOTO オネストTV,41900,6日前,489910,85
【踊ってみた】「Myra」が急に流れたらEXILE NAOTOは踊れるのか？【ドッキリ】,/watch?v=bmzOV_54WJE,235086,EXILE NAOTO オネストTV,41900,1週間前,489910,48
【GU新作】EXILE NAOTO流！着回しコーデ大公開【GU × STUDIO SEVEN】,/watch?v=UE8Z-FQL3LM,62130,EXILE NAOTO オネストTV,41900,1週間前,489910,13
【超豪華米沢牛！】巨大牛タンを七輪で焼いたらなりたかった大人になれました【牛チューブ】,/watch?v=CgM9XRSGEhc,60132,EXILE NAOTO オネストTV,41900,1週間前,489910,12
【GU × STUDIO SEVEN】新曲MV「YUM YUM」初公開！,/watch?v=URElLDlbJ7U,50924,EXILE NAOTO オネストTV,41900,2週間前,489910,10
【緊急事態】突然のハプニング発生・・・！,/watch?v=P5R-eNLkdo8,115685,EXILE NAOTO オネストTV,41900,2週間前,489910,24
夜に駆ける／EXILE NAOTO　ガチで踊ってみた【オリジナル振り付け】,/watch?v=IT-AX6zXmcY,814750,EXILE NAOTO オネストTV,41900,2週間前,489910,166
もしもNAOTOが〇〇だったら・・・？【GU×HONEST DELIコーデ】,/watch?v=yKh1xdqVZgY,91642,EXILE NAOTO オネストTV,41900,3週間前,489910,19
撮影中の無茶振り大量発生をEXILE NAOTOが全力でこなしていく動画,/watch?v=3Dq0D9YUfw0,97666,EXILE NAOTO オネストTV,41900,3週間前,489910,20
【緊急企画】ダチョウ倶楽部 寺門ジモンさんとメディア初のお店に突撃！？,/watch?v=Z77PKX4ZSrk,31508,EXILE NAOTO オネストTV,41900,3週間前,489910,6
【新作紹介】GU×STUDIO SEVEN発売記念！Honest Deliの最新アイテムを紹介！,/watch?v=6VKWUh_Ncfc,137058,EXILE NAOTO オネストTV,41900,4週間前,489910,28
【ドッキリ】EXILE NAOTOに「ハレ晴レユカイ」踊らせるはずがまさかの展開にｗｗｗｗ,/watch?v=GXFk4o19-8A,243877,EXILE NAOTO オネストTV,41900,1か月前,489910,50
EXILEと三代目JSBの思い出語ってみた！,/watch?v=FcTKhEJo8vI,123147,EXILE NAOTO オネストTV,41900,1か月前,489910,25
【ドッキリ】いくおの白Tシャツ勝手にタイダイに染めた結果ww,/watch?v=czvW29Izcrk,88847,EXILE NAOTO オネストTV,41900,1か月前,489910,18
【ルームツアー】LDH apparel オフィス公開！ステージ衣装や裏話も・・・!!,/watch?v=9X-CocYr0io,143450,EXILE NAOTO オネストTV,41900,1か月前,489910,29
【大食い】1品2万超えの高級ウーバーイーツ食べながら思い出語ってみた！,/watch?v=Fy9oDHOAeCk,171902,EXILE NAOTO オネストTV,41900,1か月前,489910,35
【漫画】大好きな「ジョジョの奇妙な冒険」語ってみた！,/watch?v=DfV96OgnxMI,44500,EXILE NAOTO オネストTV,41900,1か月前,489910,9
【香水】ガチダンス踊ってみた、裏側でこんな感じでした！【メイキング】,/watch?v=paUnOHE-YUs,121352,EXILE NAOTO オネストTV,41900,1か月前,489910,25
