title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
YouTubeの伝説のコメント達を一緒に見ていこうぜww  (Ⅲ),/watch?v=DCid18hbMGg,393,Naga【雑学&amp;コメント】,3050,,19081,2
チャンネル登録者3000人突破！ 【感謝と今後について】,/watch?v=FE8Q2zAKppY,157,Naga【雑学&amp;コメント】,3050,,19081,1
【緊急事態】本物のsyamu_grey様が再び現れた!!! 「もう赤ちゃん作れそうな体だね」,/watch?v=EaqLjDtZtwo,1384,Naga【雑学&amp;コメント】,3050,,19081,7
もしもTOEICにHey guys we have a gift for youが出題されたら【TOEIC part4形式の問題付き】,/watch?v=qmOioxYc3LU,1309,Naga【雑学&amp;コメント】,3050,,19081,7
【日本一面白いコメ欄】スネ夫のEDMフェスのコメント欄が面白すぎww　スネ夫が自慢話をするときに流れている曲,/watch?v=OfCCbVp2QMw,635,Naga【雑学&amp;コメント】,3050,,19081,3
【みんなのトラウマ】本当に怖い曲5選!,/watch?v=NAUQkgpQHO4,265,Naga【雑学&amp;コメント】,3050,,19081,1
上智大学チアダンスサークルのコメント欄が地獄ww,/watch?v=S-6cbMXqVNI,4638,Naga【雑学&amp;コメント】,3050,,19081,24
YouTubeの伝説のコメント達を一緒に見ていこうぜww（Ⅱ）,/watch?v=vFfXkxRkvVU,3602,Naga【雑学&amp;コメント】,3050,,19081,19
鬼滅の刃のキャラクターの名字は全国に何人いるか調べた結果..Part2,/watch?v=Jl2BrBMjEC8,43218,Naga【雑学&amp;コメント】,3050,,19081,226
syamu_grey様のテーマソング【勝手に作るテーマソングシリーズの真似】もう赤ちゃん作れそうな体だね,/watch?v=xfHFS1t6Dvw,11306,Naga【雑学&amp;コメント】,3050,,19081,59
プリキュアの出産シーンのコメント欄が面白いwww,/watch?v=Je6vEoqcqp4,3400,Naga【雑学&amp;コメント】,3050,,19081,18
各年代のジャンプ三大看板を見ていこう！【1970年代~2010年代】,/watch?v=AK-XrQ9-osA,4270,Naga【雑学&amp;コメント】,3050,,19081,22
【クイズ】ロゴ1文字で人気ゲームタイトル当てクイズ！全10問！,/watch?v=rik5HkB-0lY,436,Naga【雑学&amp;コメント】,3050,,19081,2
YouTubeの伝説のコメント達を一緒に見ていこうぜww,/watch?v=FRgavQDVNcY,155784,Naga【雑学&amp;コメント】,3050,,19081,816
【クイズ】緑の髪の毛でキャラクター当てクイズ！全10問！,/watch?v=U7bfdxEuId8,483,Naga【雑学&amp;コメント】,3050,,19081,3
【エヴァンゲリオン】だんだん難しくなるクイズ20問！,/watch?v=eIqcgAETDu4,828,Naga【雑学&amp;コメント】,3050,,19081,4
投稿した動画がYouTube検索エンジンに表示されない不具合に悩んでいる方へ【私の検証、考察、対処法について】,/watch?v=1r6zMZCakeo,1459,Naga【雑学&amp;コメント】,3050,,19081,8
日本三大クズ男を解説！【伊藤誠、連ちゃんパパ、やったねたえちゃんの伯父さん】,/watch?v=r0oFCXtmw-k,7017,Naga【雑学&amp;コメント】,3050,,19081,37
