title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
ジョジョの奇妙な冒険 変動画2,/watch?v=QrRdoMXN16g,297,jojoHFTFsq,1080,1週間前,14330,2
Stand separation glitch,/watch?v=tEFb7rRlYE8,1463,jojoHFTFsq,1080,10か月前,14330,10
ジョジョの奇妙な冒険 変動画4,/watch?v=5oVm5aU0CO4,2150,jojoHFTFsq,1080,10か月前,14330,15
ジョジョの奇妙な冒険未来への遺産コーハツ対戦会モンタージュ,/watch?v=R8-BKVJnXvk,1093,jojoHFTFsq,1080,1年前,14330,8
【2016 1 10】ジョジョの奇妙な冒険未来への遺産対戦＠南浦和【4】,/watch?v=FsJOAkP0vWw,4560,jojoHFTFsq,1080,4年前,14330,32
【2016 1 10】ジョジョの奇妙な冒険未来への遺産対戦＠南浦和【3】,/watch?v=mPpHvyEDUNo,11011,jojoHFTFsq,1080,4年前,14330,77
【2016 1 10】ジョジョの奇妙な冒険未来への遺産対戦＠南浦和【2】,/watch?v=J1eM_RC4ZpI,22848,jojoHFTFsq,1080,4年前,14330,159
【2016 1 10】ジョジョの奇妙な冒険未来への遺産対戦＠南浦和【1】,/watch?v=e1UCWPTd8zg,2750,jojoHFTFsq,1080,4年前,14330,19
（2015 4）ジョジョの奇妙な冒険未来への遺産対戦＠南浦和【4】終,/watch?v=bv1_Ei9Mf2Y,2136,jojoHFTFsq,1080,5年前,14330,15
（2015 4）ジョジョの奇妙な冒険未来への遺産対戦＠南浦和【3】,/watch?v=idSpuXBXSaI,3112,jojoHFTFsq,1080,5年前,14330,22
（2015 4）ジョジョの奇妙な冒険未来への遺産対戦＠南浦和【2】,/watch?v=TngXWWNN4q0,4866,jojoHFTFsq,1080,5年前,14330,34
（2015 4）ジョジョの奇妙な冒険未来への遺産対戦＠南浦和【１】,/watch?v=3BYEMcuCga8,2765,jojoHFTFsq,1080,5年前,14330,19
【ジョジョ】未来への遺産HD対戦動画　マルコvs国松,/watch?v=zVpgU2lS_OY,3575,jojoHFTFsq,1080,5年前,14330,25
ジョジョの奇妙な冒険 未来への遺産   タンデム入力法,/watch?v=ASrhM3n7okg,14015,jojoHFTFsq,1080,6年前,14330,98
【ジョジョ】未来への遺産HD対戦動画　SQvsマルコ,/watch?v=XDhz3GnhMTI,12285,jojoHFTFsq,1080,6年前,14330,86
2013年4月29日 ジョジョの奇妙な冒険未来への遺産 対戦会06,/watch?v=wC1Jra6VTP4,21789,jojoHFTFsq,1080,6年前,14330,152
2013年4月29日 ジョジョの奇妙な冒険未来への遺産 対戦会05,/watch?v=jbQuXg5Oomc,12740,jojoHFTFsq,1080,7年前,14330,89
2013年4月29日 ジョジョの奇妙な冒険未来への遺産 対戦会04,/watch?v=LdEawGCbYoc,5721,jojoHFTFsq,1080,7年前,14330,40
2013年4月29日 ジョジョの奇妙な冒険未来への遺産 対戦会03,/watch?v=5f4rJ1_jYyM,2377,jojoHFTFsq,1080,7年前,14330,17
2013年4月29日 ジョジョの奇妙な冒険未来への遺産 対戦会02,/watch?v=G5BpSaNZi2o,5931,jojoHFTFsq,1080,7年前,14330,41
