title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
太空戰士三/最終幻想3/Final Fantasy III 試玩片段,/watch?v=jZOi1Q-Cnzg,47,urel,20600,,156133,0
金書群俠傳1.06 戰鬥畫面展示 東方不敗 VS 風清揚,/watch?v=yVAOjM3MtVE,129,urel,20600,,156133,0
【東方仙劍夢】當東方Project遇見仙劍奇俠傳,/watch?v=WNZhefD_HD8,202,urel,20600,,156133,0
軒轅劍三雲和山的彼端 試玩片段,/watch?v=ecYHMnz0hvo,111,urel,20600,,156133,0
軒轅劍三外傳天之痕 試玩片段,/watch?v=41f7bfLQRQI,199,urel,20600,,156133,0
仙劍奇俠傳圓夢版1.1.1 試玩片段,/watch?v=o1zhx1IiCW0,554,urel,20600,,156133,0
金庸群俠傳X紳士武俠無雙版V20 試玩片段,/watch?v=SMJtPkTcKc4,4565,urel,20600,,156133,3
"Michele Auclair played Bach, Schubert, Stravinsky and Brahms",/watch?v=93hZOCNkKAA,423,urel,20600,,156133,0
黑木崖大戰東方不敗及五嶽劍派,/watch?v=cgNC7lYoDyU,503,urel,20600,,156133,0
金庸群俠傳原版C++復刻 試玩片段,/watch?v=BkLWKusNVaw,527,urel,20600,,156133,0
金書群俠傳1.04 劇情攻略 書劍恩仇錄 (李沅芷線),/watch?v=JEAu0-61gdQ,42,urel,20600,,156133,0
金書群俠傳1.04 劇情攻略 俠客行 (邪線),/watch?v=amXWzwYznIw,38,urel,20600,,156133,0
金書群俠傳1.04 劇情攻略 碧血劍 (邪線),/watch?v=Yb3-zFtdbHY,22,urel,20600,,156133,0
金書群俠傳1.04 劇情攻略 連城訣 (邪線),/watch?v=o7W9of7XBYg,60,urel,20600,,156133,0
金書群俠傳1.04 劇情攻略 笑傲江湖 (邪線),/watch?v=9Ney_2UypQU,30,urel,20600,,156133,0
金書群俠傳1.04 劇情攻略 書劍恩仇錄 (霍青桐線),/watch?v=VcTs4C5aAQA,48,urel,20600,,156133,0
金書群俠傳1.04 劇情攻略 俠客行 (正線),/watch?v=Cgbtes9YpXk,35,urel,20600,,156133,0
金書群俠傳1.04 劇情攻略 碧血劍 (正線),/watch?v=W-hwvNlpfMM,22,urel,20600,,156133,0
金書群俠傳1.04 劇情攻略 飛狐外傳 + 雪山飛狐,/watch?v=-Y5fhXfol60,423,urel,20600,,156133,0
金書群俠傳1.04 劇情攻略 連城訣 (正線),/watch?v=ux567wSveks,83,urel,20600,,156133,0
金書群俠傳1.04 劇情攻略 白馬嘯西風,/watch?v=IXu7FNbpZk0,49,urel,20600,,156133,0
金書群俠傳1.04 劇情攻略 天龍八部 (支線),/watch?v=bWjLRoTYIbk,40,urel,20600,,156133,0
金書群俠傳1.04 劇情攻略 笑傲江湖 (正線),/watch?v=bKXv_7ZACsQ,106,urel,20600,,156133,0
金書群俠傳1.04 劇情攻略 天龍八部 (邪線),/watch?v=VGL0-RuT2uc,31,urel,20600,,156133,0
金書群俠傳1.04 劇情攻略 神鵰俠侶 (正線),/watch?v=KcLohZjvcK4,80,urel,20600,,156133,0
金書群俠傳1.04 劇情攻略 倚天屠龍記 (正線),/watch?v=rQE5Bt0rr68,29,urel,20600,,156133,0
金書群俠傳1.04 劇情攻略 鴛鴦刀,/watch?v=WKEaBCyZcqo,29,urel,20600,,156133,0
金書群俠傳1.04 劇情攻略 鹿鼎記,/watch?v=vFYfITzM-FE,43,urel,20600,,156133,0
金書群俠傳1.04 劇情攻略 倚天屠龍記 (邪線),/watch?v=XiG754-4ytM,180,urel,20600,,156133,0
金書群俠傳1.04 劇情攻略 神鵰俠侶 (邪線),/watch?v=YcygyiDhIDg,56,urel,20600,,156133,0
金書群俠傳1.04 劇情攻略 天龍八部 (正線),/watch?v=oP0G_Esjlw0,49,urel,20600,,156133,0
黃念祖老居士講解《佛教的大光明與大安樂》全集中字,/watch?v=P_lcfUcNLfg,199,urel,20600,,156133,0
黑山群俠傳 少林寺BGM 大悲咒,/watch?v=pd32USFnKVg,156,urel,20600,,156133,0
黑山群俠傳v1.98X 臥底線結局流程,/watch?v=bHzPBiDYbew,795,urel,20600,,156133,1
黑山群俠傳v1.98X 程靈素 單挑 天外來客,/watch?v=Ucpb7TF95jc,520,urel,20600,,156133,0
吉良吉影の奇妙冒險 (Kira's Bizarre Adventure),/watch?v=-t7cg3bCdGs,825,urel,20600,,156133,1
五分鐘看完JOJO的奇妙冒險 (5 Minutes about JoJo's Bizarre Adventure),/watch?v=lKOaW2OFxVE,3188,urel,20600,,156133,2
乔碧萝殿下。20190806直播實錄。奶奶本色出演,/watch?v=HStBl_dILZ4,7013,urel,20600,,156133,4
《還願 Devotion》MOD【宅願】一位天才漫畫家的故事 (The story of a genius cartoonist),/watch?v=1XoDRc6PCx0,1934,urel,20600,,156133,1
姻緣•金庸紅顏錄 (每句歌詞都代表了金庸筆下的一位奇女子),/watch?v=_Z3w9P3YLoQ,544,urel,20600,,156133,0
黃念祖老居士講解《淨修捷要報恩談》全集中字,/watch?v=GMCIVT39SU4,2014,urel,20600,,156133,1
【青青】仙剑奇侠传98柔情篇解说 13 拜月水魔兽你俩好污（终）,/watch?v=ZchyuAhAs5E,403,urel,20600,,156133,0
【青青】仙剑奇侠传98柔情篇解说 12 手把手教你找女娲遗迹,/watch?v=c9GwtR8LbdM,1465,urel,20600,,156133,1
【青青】仙剑奇侠传98柔情篇解说 11 丈母娘我来啦,/watch?v=BxEcWYs-pIg,228,urel,20600,,156133,0
【青青】仙剑奇侠传98柔情篇解说 10 一世英名，毁于一蛋,/watch?v=q8EZIpUstyA,228,urel,20600,,156133,0
【青青】仙剑奇侠传98柔情篇解说 09 磐龙镇柱,/watch?v=svIZ9dgbF5Q,281,urel,20600,,156133,0
【青青】仙剑奇侠传98柔情篇解说 08 拆塔小分队展开行动,/watch?v=CCToieUfUSU,205,urel,20600,,156133,0
【青青】仙剑奇侠传98柔情篇解说 07 蝶恋,/watch?v=t1WKDWozhUk,219,urel,20600,,156133,0
【青青】仙剑奇侠传98柔情篇解说 06 嘿嘿嘿,/watch?v=S9Y-pXsuZGs,181,urel,20600,,156133,0
【青青】仙剑奇侠传98柔情篇解说 05 深山养蛤厂,/watch?v=7Xw-yr3G1fY,207,urel,20600,,156133,0
【青青】仙剑奇侠传98柔情篇解说 04 春风十里扬州路,/watch?v=5G-3O-DSWL0,262,urel,20600,,156133,0
