title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
最近の音楽はグルーヴがない！？【賛否両論4】,/watch?v=Ysq-VPUMV4Y,28218,みのミュージック,25800,2日前,73965,38
楽器やってた方が音楽聴く時楽しい！？,/watch?v=uJJej10F2wo,22692,みのミュージック,25800,3日前,73965,31
【閲覧注意】過激すぎて発禁になったアルバム・ジャケット,/watch?v=wmSo47hJiUo,38543,みのミュージック,25800,6日前,73965,52
2020年上半期マジで良かった新譜紹介！,/watch?v=h7T88AX4PRM,38961,みのミュージック,25800,1週間前,73965,53
世界最高のベーシストは誰だ！？,/watch?v=d8qaqyaHcEw,100492,みのミュージック,25800,1週間前,73965,136
レディオヘッド入門！いまさら聞けない疑問に答えます,/watch?v=i3f84_mLAVo,45606,みのミュージック,25800,1週間前,73965,62
【神回】超レアなエフェクターを弾きまくる！！,/watch?v=PB6ZFW6wOvk,56854,みのミュージック,25800,2週間前,73965,77
世界最強個体のエフェクター,/watch?v=rAlzeAgpqVk,43179,みのミュージック,25800,2週間前,73965,58
日本一のエフェクターコレクターがヤバすぎた,/watch?v=3PtM9mWzwns,48072,みのミュージック,25800,2週間前,73965,65
最高すぎる映画のサントラTOP5!!,/watch?v=BMXlLcnJsHo,29065,みのミュージック,25800,3週間前,73965,39
ジミー・ペイジはギターが下手！？【賛否両論3】,/watch?v=tDKbIbVQwcc,29023,みのミュージック,25800,3週間前,73965,39
世界最高のアーティストが決定しました（？）,/watch?v=UsM8ZH_u0Hs,26982,みのミュージック,25800,3週間前,73965,36
バンドのロゴクイズに挑戦【激ムズ】,/watch?v=ZUT3Lo1P0ng,30283,みのミュージック,25800,3週間前,73965,41
みんなが選ぶ最高のアルバムを教えてほしい！,/watch?v=fxEGhQRFFrs,40445,みのミュージック,25800,4週間前,73965,55
ザ・フー入門！いまさら聞けない疑問に答えます,/watch?v=deIYPD5C5dk,49730,みのミュージック,25800,1か月前,73965,67
絶対におすすめしたい音楽マンガTOP5！！,/watch?v=ss0-EwTZp4c,36391,みのミュージック,25800,1か月前,73965,49
ロックファンに絶対聴いてほしいヒップホップ！,/watch?v=G8bNgXQgQPo,36359,みのミュージック,25800,1か月前,73965,49
日本最高のギタリストは誰！？！？,/watch?v=P_gCoIZ4ryE,152029,みのミュージック,25800,1か月前,73965,206
アイドルはアーティストじゃない！？【賛否両論2】,/watch?v=JjCMib6Me40,37974,みのミュージック,25800,1か月前,73965,51
邦楽の名ジャケを見たい！！！,/watch?v=4_KT8byzJI8,44197,みのミュージック,25800,1か月前,73965,60
夏服を通販でリモート爆買しちまった！！！【古着】,/watch?v=9kwBD2YNlsg,24377,みのミュージック,25800,1か月前,73965,33
また謎のギターが届いたので開封します,/watch?v=dHsoMtW4WbA,107870,みのミュージック,25800,1か月前,73965,146
セックス・ピストルズ入門！今更聞けない疑問に答えます！,/watch?v=Fr-p0h9v2tY,42913,みのミュージック,25800,1か月前,73965,58
今までで一番売れたアルバムって何！？,/watch?v=uXz4mfQ5BWg,68205,みのミュージック,25800,1か月前,73965,92
絶対に観てほしい音楽映画TOP5！！！,/watch?v=YXOrXjXz6IA,43219,みのミュージック,25800,1か月前,73965,58
最近の曲は未来に残らない！？【賛否両論】,/watch?v=UhmCTkRK1Pw,80464,みのミュージック,25800,1か月前,73965,109
一番ギターがカッコいい邦楽って何！？,/watch?v=hEyrqEbAwRo,120070,みのミュージック,25800,1か月前,73965,162
２ヶ月伸ばしたヒゲを剃って遊ぶ,/watch?v=Ydd7-3F4DKw,22954,みのミュージック,25800,1か月前,73965,31
ピンク・フロイド入門！いまさら聞けない疑問に答えます,/watch?v=I5luqd1gDAY,59318,みのミュージック,25800,2か月前,73965,80
ファックファックファックファーック！！！！,/watch?v=akuvkRyjEbM,31988,みのミュージック,25800,2か月前,73965,43
お前ら本当にニルヴァーナのこと知ってんの？,/watch?v=15Ep-dLlv8c,41131,みのミュージック,25800,2か月前,73965,56
「ジョジョの奇妙な冒険」の元ネタ洋楽を紹介しまくる【1&2部】,/watch?v=QG1BtLWY74g,36319,みのミュージック,25800,2か月前,73965,49
ファンが嫌いだからアーティストも嫌いになる人,/watch?v=LBCuFX7Alj4,36174,みのミュージック,25800,2か月前,73965,49
エリック・クラプトン入門！いまさら聞けない疑問に答えます,/watch?v=GNPhzRpYQTQ,70798,みのミュージック,25800,2か月前,73965,96
第一回！ダサすぎるアルバムジャケット選手権,/watch?v=P58BCdeTB2Y,48399,みのミュージック,25800,2か月前,73965,65
