title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【maimai milk】ダンスロボットダンス AP,/watch?v=SSrvPLpO-ac,155,ゆっくりまりん,240,2年前,384,40
maimai パーフェクト生命 鳥&100%シンク,/watch?v=EiwuHZlt6DU,31,ゆっくりまりん,240,2年前,384,8
H29 千葉県野球大会決勝 習志野応援 エルクンバンチェロ,/watch?v=DLPSEE421ic,690,ゆっくりまりん,240,3年前,384,180
バフォメット確定サーチ型出でる者デッキ！,/watch?v=ZjwC40Q_I00,51,ゆっくりまりん,240,3年前,384,13
太鼓の達人 イエローver 段位道場 10段 赤合格,/watch?v=tZRFpPLPvFA,507,ゆっくりまりん,240,3年前,384,132
Oshama Scranble! SS,/watch?v=VqUCh9AG1SI,53,ゆっくりまりん,240,3年前,384,14
圧倒的力で勝利せよ！新環境ランプドラゴン！,/watch?v=7fx_09zEAh4,60,ゆっくりまりん,240,3年前,384,16
シャドバ実況！ライズオブバハムートの環境の感想を語る,/watch?v=ZmtW2Xc-4D4,33,ゆっくりまりん,240,3年前,384,9
オマエラ久しぶり！(jumping鳥S),/watch?v=4QttTCZRRLs,28,ゆっくりまりん,240,3年前,384,7
【maimai】＋♂ master S,/watch?v=V-SEjqft6Mg,93,ゆっくりまりん,240,4年前,384,24
極上スマイル 紫鳥S,/watch?v=ftJfY74D3SM,55,ゆっくりまりん,240,4年前,384,14
名人合格！,/watch?v=7DIJKhHzZu0,239,ゆっくりまりん,240,4年前,384,62
打倒！名人！,/watch?v=4hb16QXbkd0,267,ゆっくりまりん,240,4年前,384,70
はたらけ2000,/watch?v=AaDbUQRnZW4,341,ゆっくりまりん,240,4年前,384,89
【そういえばでやってみる】幽玄ノ乱,/watch?v=6LJTAb7Rg_A,349,ゆっくりまりん,240,4年前,384,91
太鼓の達人 ホワイト 友情ぽっぷ 全良,/watch?v=BXNk9yrQkT4,98,ゆっくりまりん,240,4年前,384,26
太鼓の達人 ホワイト Thank you! 全良,/watch?v=wrpKwy2smk4,119,ゆっくりまりん,240,4年前,384,31
太鼓の達人 ホワイト 10段 赤合格,/watch?v=FGc8QYpo710,3327,ゆっくりまりん,240,4年前,384,866
【maimai始めました】かくしん 的☆めたまるふぉ～ぜ！紫AAA,/watch?v=VZchCIWC6fs,117,ゆっくりまりん,240,4年前,384,30
テスト,/watch?v=9ddtsR1y_nI,90,ゆっくりまりん,240,4年前,384,23
あ,/watch?v=F70U31WIi2Q,100,ゆっくりまりん,240,4年前,384,26
モブマリンの消失裏,/watch?v=dQHWkPZ2Tis,105,ゆっくりまりん,240,4年前,384,27
太鼓の達人 ホワイトVer. Snow halation 全良,/watch?v=Awn80DuvL7s,81,ゆっくりまりん,240,4年前,384,21
太鼓の達人 ホワイトVer. ギガンティックO.T.N 全良,/watch?v=umdGMkD4rCo,587,ゆっくりまりん,240,4年前,384,153
ありがとう、ムラサキVer.【ムラサキ叩き収め】,/watch?v=MfmpFYO9E3o,59,ゆっくりまりん,240,4年前,384,15
太鼓の達人 ムラサキ !!!カオスタイム!!! ローテ115万,/watch?v=lHbXlhhkJgs,139,ゆっくりまりん,240,4年前,384,36
太鼓の達人 ムラサキ ！！！カオスタイム！！！ ツインノルマ,/watch?v=WA3lOmTbYm4,138,ゆっくりまりん,240,4年前,384,36
なよたけのDAISUKE,/watch?v=1iP71d2KXtc,447,ゆっくりまりん,240,4年前,384,116
【イヤホン推奨】蒼の旋律　朱の旋律同時再生,/watch?v=37oCOT-VbwE,1129,ゆっくりまりん,240,4年前,384,294
太鼓の達人 ムラサキ 僕らは今のなかで 全良,/watch?v=XG6C6GvDCSA,88,ゆっくりまりん,240,4年前,384,23
太鼓の達人 ムラサキ ルカルカ★ナイトフィーバー(裏) 110万,/watch?v=zdpwipl4-8A,61,ゆっくりまりん,240,4年前,384,16
太鼓の達人 ムラサキ タベルナ2000 120万,/watch?v=_zWi8MfUpAU,62,ゆっくりまりん,240,4年前,384,16
チルノのパーフェクト算数教室 ツインフル,/watch?v=IoBYVzorV4w,137,ゆっくりまりん,240,5年前,384,36
青春♂ＣＭ　ＨＯＭＯＴＣＨ,/watch?v=FhuaDO9fkvY,593,ゆっくりまりん,240,5年前,384,154
東方永夜抄　EXTRA　クリア【クリア参考動画】,/watch?v=LqMhB3A7Q4g,107,ゆっくりまりん,240,5年前,384,28
太鼓の達人ムラサキ ウルトラマンX裏 フルコン,/watch?v=o6cvGbmx75s,275,ゆっくりまりん,240,5年前,384,72
御坂久の必殺ツモ,/watch?v=tYdMt_cme_w,853,ゆっくりまりん,240,5年前,384,222
太鼓の達人 ムラサキ ピコピコルイン(裏)120万,/watch?v=PZyM_nUOx7Q,183,ゆっくりまりん,240,5年前,384,48
ゲッタバンバン ツインフル,/watch?v=0Ht_ULACAL4,129,ゆっくりまりん,240,5年前,384,34
金名人の失態【マリンさんのサービスシーンあり】,/watch?v=-WqK0BuzZ0M,184,ゆっくりまりん,240,5年前,384,48
太鼓の達人 ムラサキ コネクト 全良,/watch?v=XEgYPpjsx2U,78,ゆっくりまりん,240,5年前,384,20
太鼓の達人 ムラサキ READY!! 全良,/watch?v=_84mwy6kCec,56,ゆっくりまりん,240,5年前,384,15
太鼓の達人 ムラサキ 〆ドレー2000 ローテーションフルコンボ！,/watch?v=ktLpXhbLcq0,1130,ゆっくりまりん,240,5年前,384,294
これが最強の幽玄ノ乱だ！！！！,/watch?v=EaqPsO3nvxk,691,ゆっくりまりん,240,5年前,384,180
ゴミ玄人って誰のこと？…俺だよ,/watch?v=hMIxFnooUBg,128,ゆっくりまりん,240,5年前,384,33
太鼓の達人ムラサキ マジで…！？初見,/watch?v=p5Li4gDJdYk,486,ゆっくりまりん,240,5年前,384,127
無駄オラ合戦,/watch?v=7C7XhObo0pw,2634,ゆっくりまりん,240,5年前,384,686
無駄無駄無駄無駄無駄無駄アァァァァ！！！,/watch?v=xanxYVz6Rvw,3751,ゆっくりまりん,240,5年前,384,977
太鼓の達人 ムラサキ Daydream cafe 全良,/watch?v=IdbpN8zwofs,79,ゆっくりまりん,240,5年前,384,21
95連,/watch?v=hTrLnQVZCJ4,335,ゆっくりまりん,240,5年前,384,87
太鼓の達人 ムラサキ Daydream cafe フルコンボ 画質向上版,/watch?v=mVogx1b0UTs,46,ゆっくりまりん,240,5年前,384,12
太鼓の達人 ムラサキ Daydream cafe 初日フルコンボ,/watch?v=AKaj8qkBRN8,314,ゆっくりまりん,240,5年前,384,82
太鼓の達人ムラサキ そつおめしき フルコンボ,/watch?v=yreJw2xjrfg,74,ゆっくりまりん,240,5年前,384,19
太鼓の達人ムラサキ ネクロファンタジア 122万,/watch?v=okwIkZaOnt0,112,ゆっくりまりん,240,5年前,384,29
太鼓の達人ムラサキ ダイヤモンドハッピー(裏) フルコンボ,/watch?v=2Ol-sLmb8VA,59,ゆっくりまりん,240,5年前,384,15
工ｴｴｪｪ(´д｀)ｪｪｴｴ工,/watch?v=Kb6RNG52Mj8,344,ゆっくりまりん,240,5年前,384,90
【ひろとセッション！】初音ミクの消失(裏),/watch?v=icKVhj3duQ4,89,ゆっくりまりん,240,5年前,384,23
【のってぃとセッション！】白鳥の湖(裏),/watch?v=uBVHd46ozkE,36,ゆっくりまりん,240,5年前,384,9
【きゃぷとセッション！】Black Rose Apostle(裏),/watch?v=YGJvWojGq7c,52,ゆっくりまりん,240,5年前,384,14
