title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
打者復帰した大谷の二刀流再開はいつ？,/watch?v=C48yjfaVswA,6,カラｈ１,16,2年前,3473,0
大迫まだまだ半端ないやん！！  吉田ツイート,/watch?v=-WGZERYVYec,62,カラｈ１,16,2年前,3473,2
大谷復活！！代打７号ソロホームラン　Major League 飛距離１３５メートルの豪快な一発,/watch?v=GLkJgCiOdo4,58,カラｈ１,16,2年前,3473,2
イングランド応援歌　Three Lions　歌って応援しよう,/watch?v=pWYYBeCxsBc,8061,カラｈ１,16,2年前,3473,232
イングランドが２ゴールでベスト４進出　England will make the best of four with two goals,/watch?v=NCxbd8zsCvU,12,カラｈ１,16,2年前,3473,0
準決勝でフランスとベルギーが激突！事実上の決勝戦か…,/watch?v=HRIkOBMQkzA,8,カラｈ１,16,2年前,3473,0
ベルギー、ブラジルの夢破り32年ぶり準決勝進出！,/watch?v=iDkIXFwMyGA,29,カラｈ１,16,2年前,3473,1
日本代表　次期監督　クリンスマン氏内定！？,/watch?v=Q5HxZYAitmw,5,カラｈ１,16,2年前,3473,0
ついに、アニメ『ジョジョの奇妙な冒険 黄金の風』のキャスト解禁！,/watch?v=xgZdzWuv0cc,40569,カラｈ１,16,2年前,3473,1168
仲間由紀恵、双子男児出産　Yukie Nakama,/watch?v=fXorwHVNjnQ,151,カラｈ１,16,2年前,3473,4
サッカー日本代表　帰国　成田空港,/watch?v=AFCHFsHfAWg,82,カラｈ１,16,2年前,3473,2
ロシアW杯　本田語録　きよきよしい？？,/watch?v=PUQIXfkwlvY,898,カラｈ１,16,2年前,3473,26
本田に異変 ロシアW杯中に本田に何が？？,/watch?v=Gtt_u_BrDXo,4,カラｈ１,16,2年前,3473,0
ワールドカップ日本代表 ベスト16で散る！！　試合後選手インタビュー,/watch?v=9MEXqssT4BM,5,カラｈ１,16,2年前,3473,0
試合後直後の放心状態の西野朗監督 日本代表　ベルギー戦 試合後インタビュー【2018 FIFAワールドカップ】,/watch?v=-D3WdgBZgmw,142,カラｈ１,16,2年前,3473,4
酒井 宏樹　日本代表　ベルギー戦 試合後インタビュー【2018 FIFAワールドカップ】,/watch?v=kg-8oyzbyKI,7318,カラｈ１,16,2年前,3473,211
西野朗　日本代表　ベルギー戦 試合後インタビュー【2018 FIFAワールドカップ】,/watch?v=8axgJ2sv8ck,9348,カラｈ１,16,2年前,3473,269
柴崎 岳　日本代表　ベルギー戦 試合後インタビュー【2018 FIFAワールドカップ】,/watch?v=64M3Bp-Atpw,8746,カラｈ１,16,2年前,3473,252
長友佑都　日本代表　ベルギー戦 試合後インタビュー【2018 FIFAワールドカップ】,/watch?v=iEBP-lTpgDY,1454,カラｈ１,16,2年前,3473,42
日本代表　川島永嗣　ベルギー戦 試合後インタビュー【2018 FIFAワールドカップ】,/watch?v=B8eLnjNFP_0,328,カラｈ１,16,2年前,3473,9
原口元気　日本代表　ベルギー戦 試合後インタビュー【2018 FIFAワールドカップ】,/watch?v=CoXA1YnQ9oc,761,カラｈ１,16,2年前,3473,22
大迫勇也　日本代表　ベルギー戦 試合後インタビュー【2018 FIFAワールドカップ】,/watch?v=QlDhwfEAI9s,673,カラｈ１,16,2年前,3473,19
香川 真司 ベルギー戦 試合後インタビュー【2018 FIFAワールドカップ】,/watch?v=BhVmguLBNY4,1154,カラｈ１,16,2年前,3473,33
