title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
PS2 ペルソナ３フェス ペルソナ全書,/watch?v=SrDlF0Fv8J4,224,ゲーム CHぶろんくす,5060,1か月前,5820,4
PS2 ペルソナ３フェス ペルソナ全書 ショート ver. Persona 3 FES Compendium,/watch?v=azPQrSbXIvU,340,ゲーム CHぶろんくす,5060,1か月前,5820,6
PS2 ペルソナ３フェス 順平とチドリ,/watch?v=C9GyPO5K6V0,263,ゲーム CHぶろんくす,5060,1か月前,5820,5
PS2 ペルソナ３フェス エリザベスと出かける,/watch?v=t1EA7tXsWs0,298,ゲーム CHぶろんくす,5060,1か月前,5820,5
PS2 ペルソナ３フェス 監視カメラ集,/watch?v=p5WXujfhzIs,344,ゲーム CHぶろんくす,5060,1か月前,5820,6
FC ファイナルファンタジーⅢ バトルメドレー NES Final Fantasy Ⅲ Battle Medley,/watch?v=NURzBuToZ4Y,564,ゲーム CHぶろんくす,5060,1か月前,5820,10
GB Sa・Ga２ 秘宝伝説 BGM集 Final Fantasy Legend Ⅱ BGM Collection,/watch?v=-cDyQHYC0LE,174,ゲーム CHぶろんくす,5060,1か月前,5820,3
GB 魔界塔士 Sa・Ga BGM集 Final Fantasy Legend BGM Collection,/watch?v=4Z0aO6Yc7gI,324,ゲーム CHぶろんくす,5060,1か月前,5820,6
PS3 ニーア レプリカント カイネ/救済 Nier Replicant Kaine/Salvation,/watch?v=PAd2QJwTBgw,211,ゲーム CHぶろんくす,5060,1か月前,5820,4
PS3 Nier Replicant BGM Collection,/watch?v=EQQt3lnV4es,2543,ゲーム CHぶろんくす,5060,1か月前,5820,44
PS3 バイオハザード コードベロニカ 完全版 ムービー集 Resident Evil CODE:Veronica X All Cutscenes,/watch?v=hQWqAArDSZk,1250,ゲーム CHぶろんくす,5060,1か月前,5820,21
PS4 ブラッドボーン 初見独り言プレイ 後編,/watch?v=4B0Nf5lixDs,10,ゲーム CHぶろんくす,5060,1か月前,5820,0
PS4 ブラッドボーン 初見独り言プレイ 前編,/watch?v=Fdj-OtmFDbw,16,ゲーム CHぶろんくす,5060,1か月前,5820,0
PS3 バイオハザード コードベロニカ 完全版 初見実況プレイ,/watch?v=0LUXpf87y-o,46,ゲーム CHぶろんくす,5060,1か月前,5820,1
PS3 デモンズソウル BGM 乙女アストラエア Demon's Souls BGM Maiden Astraea,/watch?v=QukCYeWX540,2804,ゲーム CHぶろんくす,5060,8か月前,5820,48
GB 聖剣伝説 マナの使命+エンディングメドレー Final Fantasy Adventure Mana's Mission+Ending Medley,/watch?v=zVneUHjKqoE,522,ゲーム CHぶろんくす,5060,9か月前,5820,9
GB Sa・Ga２ 秘宝伝説 バトルメドレー Final Fantasy Legend Ⅱ Battle Medley,/watch?v=Va1slF0bKwY,1556,ゲーム CHぶろんくす,5060,9か月前,5820,27
GB Sa・Ga２ 秘宝伝説 オリビアとアントニー Final Fantasy Legend Ⅱ Flora ＆ Leon,/watch?v=oqL-OiKRLcM,354,ゲーム CHぶろんくす,5060,9か月前,5820,6
SFC ファイナルファンタジー４ 愛のテーマ SNES Final Fantasy Ⅳ Theme of Love,/watch?v=Lxy_mYzq6QU,422,ゲーム CHぶろんくす,5060,9か月前,5820,7
FC ファイナルファンタジー３ ラスボス ＆ エンディング NES Final Fantasy Ⅲ Last Boss ＆ Ending,/watch?v=QnUjiJ9ow58,523,ゲーム CHぶろんくす,5060,9か月前,5820,9
"FC ファイナルファンタジー３ BGM 水の巫女エリア NES Final Fantasy Ⅲ BGM Eria, the Maiden of Water",/watch?v=LpTisWa9JBE,391,ゲーム CHぶろんくす,5060,10か月前,5820,7
"FC ファイナルファンタジー３ 水の巫女エリア NES Final Fantasy Ⅲ Eria, the Maiden of Water",/watch?v=Eq5_Ge0iYD4,227,ゲーム CHぶろんくす,5060,10か月前,5820,4
FC ナイトガンダム物語Ⅰ ボス戦 ＆ エンディング NES Knight Gundam Story Boss Rush ＆ Ending,/watch?v=AgjMrIoFacg,605,ゲーム CHぶろんくす,5060,10か月前,5820,10
FC ナイトガンダム物語Ⅰ BGM バトルメドレー NES Knight Gundam Story BGM Battle Medley,/watch?v=GFvDXQHLDU0,2666,ゲーム CHぶろんくす,5060,10か月前,5820,46
FC ナイトガンダム物語Ⅰ イベントデモ集 NES Knight Gundam Story All Cutscenes,/watch?v=PQgyoT_2FcI,298,ゲーム CHぶろんくす,5060,10か月前,5820,5
FC ナイトガンダム物語Ⅰ 全カードダス NES Knight Gundam Story,/watch?v=w6Nq80QOPvc,311,ゲーム CHぶろんくす,5060,10か月前,5820,5
FC ナイトガンダム物語Ⅰ 全ての敵 NES Knight Gundam Story All Monsters,/watch?v=9wjQtq5eAwA,636,ゲーム CHぶろんくす,5060,10か月前,5820,11
FC ファイナルファンタジー３ レクイエム NES Final Fantasy Ⅲ The Requiem,/watch?v=t1ET0q_MaqI,550,ゲーム CHぶろんくす,5060,11か月前,5820,9
FC ファイナルファンタジー３ 全モンスター Final Fantasy Ⅲ All Monsters,/watch?v=oJHwZp5cPFM,1080,ゲーム CHぶろんくす,5060,11か月前,5820,19
"PS3 デモンズソウル 沈黙の長ユルト Demon's Souls Yurt, the Silent Chief Quest",/watch?v=pHRDUlzngko,1356,ゲーム CHぶろんくす,5060,11か月前,5820,23
PS4 エンド オブ エタニティ ムービー集 Resonance of Fate All Cutscenes,/watch?v=KAibVnBLsNk,656,ゲーム CHぶろんくす,5060,11か月前,5820,11
FC ファイナルファンタジー１ マトーヤの洞窟 NES Final Fantasy Ⅰ Matoya's Cave,/watch?v=wcJnbBB9zHI,2642,ゲーム CHぶろんくす,5060,1年前,5820,45
うふふっ！ あたし おどりこよ！,/watch?v=ZW_JNP1ACQs,366,ゲーム CHぶろんくす,5060,1年前,5820,6
FC ファイナルファンタジー１ 全モンスター Final Fantasy Ⅰ All Monsters,/watch?v=ch9z3PGvlzA,858,ゲーム CHぶろんくす,5060,1年前,5820,15
FC ファイナルファンタジー１ ボス戦 ＆ エンディング NES Final Fantasy Ⅰ Boss Rush ＆ Ending,/watch?v=lDwIynONqJM,1486,ゲーム CHぶろんくす,5060,1年前,5820,26
PS3 龍が如く 見参！ ムービー集 序章～十一章＋依頼,/watch?v=14cTWmgNSW4,2746,ゲーム CHぶろんくす,5060,1年前,5820,47
PS3 龍が如く 見参！ 回想ムービー 最終章 巌流島〜エンディング,/watch?v=OPhBw8QYbp4,569,ゲーム CHぶろんくす,5060,1年前,5820,10
PS3 ニーア レプリカント 全ムービー Nier Replicant All Cutscenes,/watch?v=C7_7C3RRQ0Y,832,ゲーム CHぶろんくす,5060,1年前,5820,14
PS4 サムライスピリッツ 体験版 普通にプレイ Samurai Shodown Trial version,/watch?v=SwIZSl2QWF8,186,ゲーム CHぶろんくす,5060,1年前,5820,3
PS4 エンド オブ エタニティ ボス＆エンディング Resonance of Fate Boss Rush ＆ Ending,/watch?v=9tPXBJLy-F8,397,ゲーム CHぶろんくす,5060,1年前,5820,7
PS ファイナルファンタジー１ 全モンスター Final Fantasy Ⅰ All Monsters,/watch?v=NmKBTNfjihA,522,ゲーム CHぶろんくす,5060,1年前,5820,9
PS ファイナルファンタジー１ エンディング Final Fantasy Ⅰ Ending,/watch?v=c_7sMvF121A,519,ゲーム CHぶろんくす,5060,1年前,5820,9
GB 機動警察 パトレイバー BGM ボス戦 Mobile Police Patlabor BGM Boss Battle,/watch?v=0ShrAZOhrFc,405,ゲーム CHぶろんくす,5060,1年前,5820,7
PS3 デモンズソウル セレン・ヴィンランド Demon's Souls Selen Vinland Quest,/watch?v=CAbVGZuPRis,1350,ゲーム CHぶろんくす,5060,1年前,5820,23
PS4 ダークソウル２ ミラのルカティエル Dark Souls Ⅱ Lucatiel of Mirrah Quest,/watch?v=kw4z6UmVVKs,3491,ゲーム CHぶろんくす,5060,1年前,5820,60
PS ポリスノーツ アニメムービー集 POLICE NAUTS All Anime Cutscenes,/watch?v=TgeNvQ7h0is,3070,ゲーム CHぶろんくす,5060,1年前,5820,53
FC 忍者龍剣伝ⅡBGM CHAOSIUM SWORD NES Ninja Gaiden Ⅱ BGM Chaosium Sword,/watch?v=Lhr3oEdvCOY,381,ゲーム CHぶろんくす,5060,1年前,5820,7
PS ポリスノーツ PROLOGUE HOME,/watch?v=NJmQTZO6giA,319,ゲーム CHぶろんくす,5060,1年前,5820,5
GB ゴルフ エンディング集 GOLF All Endings,/watch?v=fz7BphjABto,572,ゲーム CHぶろんくす,5060,1年前,5820,10
GB ゴルフ プレイ動画 GOLF Gameplay,/watch?v=oZ3d1g6wLEk,876,ゲーム CHぶろんくす,5060,1年前,5820,15
"PS4 ダークソウル２ 原罪の探究者 Dark SoulsⅡ Alda, Scholar of the First Sin",/watch?v=MIARcjU2gbs,508,ゲーム CHぶろんくす,5060,1年前,5820,9
PS4 ダークソウル２ リンデルトのリーシュ Dark SoulsⅡ licia of lindeldt Quest,/watch?v=ppeMIdkT8R0,906,ゲーム CHぶろんくす,5060,1年前,5820,16
