title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
無断転載について,/watch?v=gtRqjFEe90E,976,ムービーフレンズ/VideoF,1110,,83548,1
【MAD】五等分の花嫁(一花メイン)×イエスタデイ,/watch?v=Zyg6zOCK8jI,81803,ムービーフレンズ/VideoF,1110,,83548,98
【MAD】ALL OUT×敗北の少年,/watch?v=A37EzH6FLjM,453,ムービーフレンズ/VideoF,1110,,83548,1
【MAD】鬼滅の刃×ダンシング,/watch?v=uF_DbjZqgUU,171787,ムービーフレンズ/VideoF,1110,,83548,206
【MAD】ジョジョ×バット・ダンス・ホール,/watch?v=5MGG1z9VfqA,298718,ムービーフレンズ/VideoF,1110,,83548,358
【MAD】五等分の花嫁×Pretender,/watch?v=ZnKrcuxhHn0,229532,ムービーフレンズ/VideoF,1110,,83548,275
【MAD】五等分の花嫁×夜もすがら君想う,/watch?v=anhkoVK_5NE,35705,ムービーフレンズ/VideoF,1110,,83548,43
【MAD】ジョジョ3部×ロキ,/watch?v=SdYbuChpl6o,3129,ムービーフレンズ/VideoF,1110,,83548,4
【MAD】ロキ×進撃の巨人,/watch?v=uPQcn5lGtqc,41407,ムービーフレンズ/VideoF,1110,,83548,50
【MAD】弱虫ペダル×ロキ,/watch?v=OcklmhgilqU,97069,ムービーフレンズ/VideoF,1110,,83548,116
【MAD】幽遊白書×ロキ,/watch?v=stXPIZh2Qfs,12127,ムービーフレンズ/VideoF,1110,,83548,15
【MAD】シャルル×ジョジョの奇妙な冒険,/watch?v=Zml3gANFX2Q,113154,ムービーフレンズ/VideoF,1110,,83548,135
ムービーフレンズの始まり,/watch?v=kusKh7RL75g,258,ムービーフレンズ/VideoF,1110,,83548,0
