title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
G.F. Händel - Rinaldo - Battaglia,/watch?v=EsfaKMNM7e0,3588,,4360,Händel-Rinaldo-Battaglia作成者:legendaryclassics4年前,4473,80
Und der Vater mit frohem Blick - Das Lied von der Glocke - Andreas Romberg,/watch?v=NA9gwiqPVNo,1240,,4360,derVatermitfrohemBlick-DasLiedvonderGlocke-AndreasRomberg作成者:legendaryclassics4年前,4473,28
François-Joseph Gossec - Marche des combattants (I) - Thésée,/watch?v=VEjCNiJeb4c,1556,,4360,Gossec-Marchedescombattants(I)-Thésée作成者:legendaryclassics4年前,4473,35
Jean-Baptiste Lully - Plaisirs venez sans crainte - Phaëton,/watch?v=J3gLyDdAVmU,1202,,4360,Lully-Plaisirsvenezsanscrainte-Phaëton作成者:legendaryclassics4年前,4473,27
Franz Sterkel - Overture à Grand Orchestre,/watch?v=KfK5KXovRKk,1070,,4360,Sterkel-OvertureàGrandOrchestre作成者:legendaryclassics4年前,4473,24
Telemann - Concerto pour trompette & violon en r majeur  - III.,/watch?v=uZsG4LLTScQ,368,,4360,-Concertopourtrompette&violonenrmajeur-III.作成者:legendaryclassics4年前,4473,8
L.v. Beethoven - Symphony No. 2 I,/watch?v=jUB7K4sl9OQ,392,,4360,Beethoven-SymphonyNo.2I作成者:legendaryclassics4年前,4473,9
Drum Team Bonten 和太鼓梵天 - Poseidon,/watch?v=LlZvhsKW7A8,2940,,4360,TeamBonten和太鼓梵天-Poseidon作成者:legendaryclassics4年前,4473,66
Johann Hummel - Mathilde von Guise - Overtüre,/watch?v=m99bh6RhkoQ,1067,,4360,Hummel-MathildevonGuise-Overtüre作成者:legendaryclassics4年前,4473,24
Ferdinand Ries - Tanrantelle Vivace - Die Räuberbraut Appendix,/watch?v=ulBFYTN9W2I,968,,4360,Ries-TanrantelleVivace-DieRäuberbrautAppendix作成者:legendaryclassics4年前,4473,22
Wojciech Dankowski - Symphony in E flat major IV,/watch?v=hCAf3FNG6k0,705,,4360,Dankowski-SymphonyinEflatmajorIV作成者:legendaryclassics4年前,4473,16
Jean-Baptiste Lully - Grande Musique - Chœur Des Quatre Parties Du Monde,/watch?v=HBqxU9OZ5jY,1538,,4360,Lully-GrandeMusique-ChœurDesQuatrePartiesDuMonde作成者:legendaryclassics4年前,4473,34
Wilhelm Peterson-Berger - Tingsmarschen - Arnljot,/watch?v=bmXbQkOQTkg,1716,,4360,Peterson-Berger-Tingsmarschen-Arnljot作成者:legendaryclassics4年前,4473,38
Joseph Kraus - Danse Persanne - Amphitryon,/watch?v=o-OZ_-pjp-Q,221,,4360,Kraus-DansePersanne-Amphitryon作成者:legendaryclassics4年前,4473,5
"Joseph Raff - Overtüre ""Die Parole""",/watch?v=oPRCpf0WAuU,495,,4360,"Raff-Overtüre""DieParole""作成者:legendaryclassics4年前",4473,11
Franz Danzi - Symphony in D IV,/watch?v=8grcqn0Revw,1043,,4360,Danzi-SymphonyinDIV作成者:legendaryclassics4年前,4473,23
