title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
Konayuki | Remioromen | Violin Instrumental 粉雪 1リットルの涙 | バイオリン オーケストラ,/watch?v=QdGjc-qlHyE,53,Akuya Music,449,6日前,2262,2
[Re:Zero 2] Realize | Violin Instrumental Re:ゼロから始める異世界生活 OP オーケストラ Konomi Suzuki 鈴木このみ,/watch?v=BQFLrPumh-E,252,Akuya Music,449,2週間前,2262,11
[Rent a Girlfriend OP] Centimeter | Violin Instrumental Cover 彼女お借りしますセンチメートル the peggies,/watch?v=7fAYJ8-2SIY,500,Akuya Music,449,3週間前,2262,22
[My Teen Romantic Comedy] Diamond no Jundo | Violin Instrumental Cover 俺ガイル ダイヤモンドの純度,/watch?v=qeuh-CPKnR0,276,Akuya Music,449,4週間前,2262,12
Dearest | Inuyasha | Violin Orchestra 犬夜叉 オーケストラ 浜崎あゆみ Ayumi Hamasaki,/watch?v=o3ReCdsWC_A,850,Akuya Music,449,1か月前,2262,38
SAO Alicization OP | ANIMA | Instrumental Violin | War of Underworld | ReoNa,/watch?v=0oJpZWyjcCU,2608,Akuya Music,449,1か月前,2262,115
Lemon 米津玄師 | Violin Duet Cover ヴァイオリン二重奏 Kenshi Yonezu,/watch?v=yU2RMU8YEns,172,Akuya Music,449,1か月前,2262,8
[Fire Force 2] Spark Again | Aimer | Instrumental Violin Cover 炎炎ノ消防隊 弐ノ章 OP,/watch?v=8WdJlxTtO6k,992,Akuya Music,449,1か月前,2262,44
[Shironeko Project Zero Chronicle] Through the Dark | Instrumental Violin 白猫プロジェクト 安田レイ,/watch?v=dZWbLxsbIWg,185,Akuya Music,449,1か月前,2262,8
[A Whisker Away ED] Usotsuki | Instrumental Orchestra 泣き猫 嘘月 ヨルシカ Yorushika,/watch?v=IAx2RMdWvDY,13462,Akuya Music,449,2か月前,2262,595
[Spirited Away] One Summer's Day | Violin Cello Piano 千と千尋の神隠し あの夏へ 弦楽三重奏,/watch?v=TphPBdTqLvQ,484,Akuya Music,449,2か月前,2262,21
[A Whisker Away] Ghost in a Flower | Instrumental Orchestra 泣き猫 花に亡霊 ヨルシカ Yorushika,/watch?v=q6Jv-32zUDc,3266,Akuya Music,449,2か月前,2262,144
[Weathering With You] Voice of Wind | Violin Guitar Piano 天気の子 風たちの声 バイオリン Radwimps,/watch?v=ZDSgcbLIjtA,658,Akuya Music,449,2か月前,2262,29
I LOVE... | Violin Orchestra | Official髭男dism 恋はつづくよどこまでも オーケストラ,/watch?v=ToJr2F3PzTU,355,Akuya Music,449,3か月前,2262,16
HELLO WORLD Lost Game | Violin Orchestra 弦楽オーケストラ Nulbarich,/watch?v=JrGrZu4XHpA,941,Akuya Music,449,3か月前,2262,42
Kakushigoto | Chiisana Hibi | Violin Orchestra かくしごと- ちいさな日々 オーケストラ flumpool,/watch?v=W1gNm6pee3A,549,Akuya Music,449,3か月前,2262,24
Sparkle | Violin Orchestra [Your Name | Kimi no Na wa OST] 君の名は スパークルオーケストラ Radwimps,/watch?v=ePe0EVYxK9Q,1374,Akuya Music,449,3か月前,2262,61
HELLO WORLD | Yesterday | Violin Orchestra イエスタデイ オーケストラ Official髭男dism,/watch?v=UNuC2o-Lsxc,3108,Akuya Music,449,3か月前,2262,137
Final Fantasy 7 | Tifa's Theme | Violin Cello Piano,/watch?v=KXnQBQsRDu8,403,Akuya Music,449,4か月前,2262,18
[Weathering With You] Celebration | Violin Orchestra 天気の子 祝祭 オーケストラ Radwimps,/watch?v=xopEA6Z_b6k,1125,Akuya Music,449,4か月前,2262,50
Final Fantasy 7 Remake | Main Theme | Violin Orchestra,/watch?v=474zTeljp9g,793,Akuya Music,449,4か月前,2262,35
