title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
If God Shattering Star Had Actual Lyrics - Fire Emblem Video (MAJOR SPOILERS),/watch?v=Qls5jLAvzw0,617,Alex Hugh,9290,,185768,0
Sangeshitsu Amv | English & Japanese Lyrics,/watch?v=zyOlBHys00c,1154,Alex Hugh,9290,,185768,1
ID (Purpose) Premium Arrange - Lyric Video,/watch?v=H82a5Ekq7zA,23639,Alex Hugh,9290,,185768,13
Fire Emblem Theme Amv,/watch?v=3MXRUY7F15s,1720,Alex Hugh,9290,,185768,1
Despacito Amv,/watch?v=pnhxECPgdX8,777224,Alex Hugh,9290,,185768,418
Yona is Still Standing,/watch?v=fJ5oQzqFSxM,14022,Alex Hugh,9290,,185768,8
SAO: End of Me Amv,/watch?v=Og4I-R2KZ20,1887,Alex Hugh,9290,,185768,1
If Fire Emblem Echoes: Shadows of Valentia Had Anime Opening || With Lyrics,/watch?v=IetE9aN7zyg,5423,Alex Hugh,9290,,185768,3
If Fire Emblem Echoes: Shadows of Valentia Had Anime Opening,/watch?v=RsFj28eQUn4,12376,Alex Hugh,9290,,185768,7
♪♪Fire Emblem Theme English Lyric Video♪♪,/watch?v=xfTuQmE35JM,79981,Alex Hugh,9290,,185768,43
Fire Emblem Theme Amv,/watch?v=ycN177qJSOQ,982,Alex Hugh,9290,,185768,1
Tears: Clean Bandit Amv,/watch?v=n9EpUiLVvO4,26339,Alex Hugh,9290,,185768,14
Yona x Hak Amv,/watch?v=kjK008O0MyY,1513,Alex Hugh,9290,,185768,1
We Are Number One But It's An Amv,/watch?v=1Nvwwv4L9qA,4398,Alex Hugh,9290,,185768,2
Rockabye Baby Amv,/watch?v=p2gkXnFLJ2Q,2257474,Alex Hugh,9290,,185768,1215
Happy Mother's Day || Amv || Mom Like Mine|| Meghan Trainor,/watch?v=vO5a07qWFFo,5890,Alex Hugh,9290,,185768,3
Grip! Inuyasha Amv || Opening 4 || With Lyrics,/watch?v=AAXv5fdjn1Q,2393709,Alex Hugh,9290,,185768,1289
Better When I'm Dancing Amv || Anime Dance || Meghan Trainor,/watch?v=Td57zQyvp-Q,273621,Alex Hugh,9290,,185768,147
One Punch Man Ending|| English Lyrics || Nightcore,/watch?v=caZ6uimXM5s,2971,Alex Hugh,9290,,185768,2
One Punch Man Ending || English Lyrics,/watch?v=QZPvx0SDQnw,9673,Alex Hugh,9290,,185768,5
Renegade Runaway Amv,/watch?v=PzgYTunHrIo,2337,Alex Hugh,9290,,185768,1
Nanatsu no Taizai-Gravity,/watch?v=LUtiwaD_TXo,486,Alex Hugh,9290,,185768,0
Hello|| Adele Amv,/watch?v=PAZGOkHyZro,65987,Alex Hugh,9290,,185768,36
Locked Away Amv,/watch?v=l_Gf4bKJklQ,60710,Alex Hugh,9290,,185768,33
Rachel Platten || Fight Song Amv,/watch?v=ltIRB9XnX6s,70278,Alex Hugh,9290,,185768,38
Killer Queen || Fairy Tail Amv,/watch?v=yDJ4UgVPilM,12354,Alex Hugh,9290,,185768,7
Title Amv|| Fairy Tail || Nanatsu no Taizai,/watch?v=F8C3LMgrJ0Q,6159,Alex Hugh,9290,,185768,3
Attack on Titan Amv || Guren no Yumiya || Opening 1,/watch?v=9j1LFZTX7JE,2320,Alex Hugh,9290,,185768,1
Dear Future Husband Amv,/watch?v=n9cyDUcTawc,238220,Alex Hugh,9290,,185768,128
Don't Amv || Nanatsu no Taizai || Ed Sheeran,/watch?v=tNpkzBfLFjs,93835,Alex Hugh,9290,,185768,51
Dernière Danse Amv,/watch?v=7u50_0p03dU,14011,Alex Hugh,9290,,185768,8
Nanatsu no Taizai Amv|| Fireball,/watch?v=1YEC8Sbc2_0,53350,Alex Hugh,9290,,185768,29
Shake it Off Amv||Fairy Tail,/watch?v=6DicQIpjhEY,146170,Alex Hugh,9290,,185768,79
Melissa AMV (Portuguese Dub),/watch?v=QhMV270WmGA,787,Alex Hugh,9290,,185768,0
Melissa Amv(English Dub),/watch?v=uf9wDxkQ_Uw,6778,Alex Hugh,9290,,185768,4
Love You Like a Love Song amv,/watch?v=m1UB2YOazGw,12352,Alex Hugh,9290,,185768,7
Mr. Saxobeat amv,/watch?v=keP35JSV-9g,2373479,Alex Hugh,9290,,185768,1278
Break is the candyman,/watch?v=SHv2K4XLCxQ,1015,Alex Hugh,9290,,185768,1
Nightcore- Crazy All My Life,/watch?v=R7R6TVNU3OM,1557,Alex Hugh,9290,,185768,1
Nalu Amv - Crazy All My Life,/watch?v=JX05cMSQ8iY,5233,Alex Hugh,9290,,185768,3
Just Give Louise a Reason Nightcore,/watch?v=dw-C_MP0Zes,260,Alex Hugh,9290,,185768,0
Saito x Louise Just Give Me A Reason,/watch?v=5e9wl6g1ZAg,149672,Alex Hugh,9290,,185768,81
Bienvenue à Halloween amv,/watch?v=0p-WH-PAWRI,843,Alex Hugh,9290,,185768,0
anime guys-one more night,/watch?v=2EENdhQvBI0,446,Alex Hugh,9290,,185768,0
Blazblue Continum Shift II Opening,/watch?v=Wusmz7ksrVo,293,Alex Hugh,9290,,185768,0
Ravers in the UK Anime mv,/watch?v=mb2n1rpDCMk,6238,Alex Hugh,9290,,185768,3
Fionna's Life Would Suck Without Marshall Lee,/watch?v=AcNKwK9VD5k,2241,Alex Hugh,9290,,185768,1
Troublemaker amv,/watch?v=8iOTrTzPwqc,13477,Alex Hugh,9290,,185768,7
Internation Love Amv~,/watch?v=H-tgexU4cWg,870,Alex Hugh,9290,,185768,0
Maze-Pandora Hearts(lyrics),/watch?v=LfBfoPlH1e4,52028,Alex Hugh,9290,,185768,28
