title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
星王歸來！Ashhh帶你看爭議最大的《刀劍神域第三季/愛麗絲計畫alicization》part4最終章上,/watch?v=dOhJyq1lme0,15294,AshhhTV/阿修,15900,1日前,256188,6
看完笑瘋了！男主殺了女主父親女主竟然想要上男主？Ashhh帶你看紳士熱血戰鬥動畫《星掠者/掠奪者》下,/watch?v=TjgSmco4n7Q,48826,AshhhTV/阿修,15900,1週間前,256188,19
車速太快！Ashhh帶你看紳士熱血戰鬥動畫《星掠者/掠奪者》上,/watch?v=fs54kS2XqYs,54919,AshhhTV/阿修,15900,1週間前,256188,21
雙線操作！時間管理？Ashhh帶你看新一代胃痛神作《昨日之歌》,/watch?v=aJuJ7Dpjo2g,31250,AshhhTV/阿修,15900,3週間前,256188,12
我開副頻道竟然被粉絲質疑我不是我！？AshhhTV,/watch?v=SoQ8G9uL6TI,9389,AshhhTV/阿修,15900,4週間前,256188,4
轉生成為反派大小姐，為了求生竟然把所有人都攻略了？Ashhh帶你看《轉生成女性向遊戲只有毀滅END的壞人大小姐》,/watch?v=lcVgHJ-AXuk,42543,AshhhTV/阿修,15900,1か月前,256188,17
尺度極大！妹妹在姐姐男友的身體里進進出出？Ashhh帶你看阻止憤青毀滅世界的《格萊普尼爾Gleipnir》,/watch?v=_-_1WuXHsUc,112609,AshhhTV/阿修,15900,1か月前,256188,44
吃餃子！玩嫂子？Ashhh帶你看神奇異世界穿越動畫《八男？別鬧了！》,/watch?v=xSvIJVs7KB8,153053,AshhhTV/阿修,15900,1か月前,256188,60
2020夏《7月新番推薦》丨Ashhh TV,/watch?v=c_bS4JjwZYg,123193,AshhhTV/阿修,15900,2か月前,256188,48
這才叫神仙打架！Ashhh帶你看《JOJO的奇妙冒險第五部 黃金之風》下,/watch?v=FMXJ6FPYwlI,157376,AshhhTV/阿修,15900,2か月前,256188,61
jo里jo氣！Ashhh帶你看《JOJO的奇妙冒險第五部 黃金之風》（上）,/watch?v=a9OY8stONT0,122137,AshhhTV/阿修,15900,3か月前,256188,48
我真的是嗨到不行！Ashhh帶你看四月最強劇場版《為美好的世界獻上祝福 紅傳說》,/watch?v=F23mydYPk80,184116,AshhhTV/阿修,15900,3か月前,256188,72
開局送妹子，之後送孩子！？Ashhh帶你看日本高中生玩《達爾文遊戲》,/watch?v=HTUrfD3IN8I,135495,AshhhTV/阿修,15900,4か月前,256188,53
看完我哭了，原來是我不配玩遊戲啊！Ashhh帶你看《因為太怕痛就全點防禦力了》,/watch?v=VcZiNFKTBlg,330239,AshhhTV/阿修,15900,4か月前,256188,129
吉良吉影Boki是什麼梗！？Ashhh帶你看《JOJO的奇妙冒險 第四部》不滅鑽石（下）,/watch?v=xxZE4ul9x6U,193855,AshhhTV/阿修,15900,4か月前,256188,76
