title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
ช่องสปอยไม่ได้ดีอย่างที่คุณคิด...(บ่นไปเรื่อยถึงเหตุผลที่ผมเลิกเป็นช่องสปอย),/watch?v=QH3EIcn3duo,20172,Diamond D,86900,,487770,4
Royal Crown - อันดับ 1 หรอ? ง่ายมาก,/watch?v=UtEcm30j2Cc,3321,Diamond D,86900,,487770,1
Dead by Daylight - ความซวยนี้มันอะไรกัน (ทองแดงหล่น),/watch?v=y6_409IbLqc,5905,Diamond D,86900,,487770,1
Dead by daylight - จู๊คจนร้อน,/watch?v=JYRWbb4poaw,5028,Diamond D,86900,,487770,1
World Warz - ผมหมดไฟครับ...(เล่นเกมคลายเครียดช่วงกักตัว)(ระดับ:Extreme),/watch?v=5qNT2wjBUqM,16577,Diamond D,86900,,487770,3
นางฟ้าซามูไร/สปอยจบใน 10 นาที,/watch?v=u3PZfaLxJuI,48699,Diamond D,86900,,487770,10
โจโจ้ล่าข้ามศตวรรษ:เรื่องราวในอดีตเหล่าแก๊งเตอร์ของโจรูโน่,/watch?v=men8_9IMLd8,567356,Diamond D,86900,,487770,116
สรุปเนื้อเรื่อง-ฤทธิ์หมัดดาวเหนือเส้นทางของผู้กอบกู้โลก (สปอยฉบับเร็วแบบจริงจัง)(เฉพาะภาครีเมค),/watch?v=0YuAkFVvWcM,907135,Diamond D,86900,,487770,186
โจโจ้ล่าข้ามศตวรรษภาค 7 ตอนที่6(อวสาน)(Steel Ball Run)(พากย์ไทยมังงะ) Ft.Comic World,/watch?v=cPkNEV6jUi8,323465,Diamond D,86900,,487770,66
โจโจ้ล่าข้ามศตวรรษภาค 7 ตอนที่5 (ลาก่อนไจโร)(Steel Ball Run) (พากย์ไทยมังงะ+สปอยฉบับเร็ว),/watch?v=_YWk3DSJT-g,213406,Diamond D,86900,,487770,44
4 องค์ประกอบหลักในการทำคลิปลงยูทูปให้มีคุณภาพ,/watch?v=meJyRbe1XOI,58992,Diamond D,86900,,487770,12
โจโจ้ล่าข้ามศตวรรษภาค 7 ตอนที่4(Steel Ball Run) (พากย์ไทยมังงะ+สปอยฉบับเร็ว),/watch?v=ZdmrWPfV8ao,190238,Diamond D,86900,,487770,39
โจโจ้ล่าข้ามศตวรรษภาค 7 ตอนที่3 (Steel Ball Run) (พากย์ไทยมังงะ+สปอยฉบับเร็ว),/watch?v=HWtAEqg9zxs,218460,Diamond D,86900,,487770,45
โจโจ้ล่าข้ามศตวรรษภาค 7 ตอนที่2(Steel Ball Run) (พากย์ไทยมังงะ+สปอยฉบับเร็ว),/watch?v=NsF0BjPzNT4,210635,Diamond D,86900,,487770,43
โจโจ้ล่าข้ามศตวรรษภาค 7 ตอนที่1(Steel Ball Run) (พากย์ไทยมังงะ+สปอยฉบับเร็ว),/watch?v=Zhxe-8fGoqM,245831,Diamond D,86900,,487770,50
บ่นแบบเล็กน้อยก่อนลงสปอย : ภาค 7 โจโจ้ Steel ball run (มีสปอย+บ่นเรื่องส่วนตัว),/watch?v=cW76mICCAsw,136054,Diamond D,86900,,487770,28
โจโจ้ล่าข้ามศตวรรษ:ข้อมูลคร่าวๆเกี่ยวกับลูกของดีโอทั้ง 4 คน (มีสปอย)(เล่นมุขแบบสุภาพ),/watch?v=gYZ2ebZNjLc,286301,Diamond D,86900,,487770,59
เมื่อผมเล่น VRChat (ตอน-ปูไทย),/watch?v=GLNsO2Itsvo,21684,Diamond D,86900,,487770,4
โจโจ้ ล่าข้ามศตวรรษ ภาค 6 ตอนที่2 พากย์ไทยมังงะ/สปอยฉบับเร็ว (ปิดตำนานโจสตาร์)(ตอนจบ),/watch?v=T6U1UaAkPS4,577537,Diamond D,86900,,487770,118
เมื่อผมเล่น VRChat (ตอน-ลุงแถวบ้าน),/watch?v=Tabohk97Th8,57451,Diamond D,86900,,487770,12
โจโจ้ ล่าข้ามศตวรรษ ภาค 6 ตอนที่1 (พากย์ไทยมังงะ+สปอย),/watch?v=QvAyjQEfWNM,539540,Diamond D,86900,,487770,111
โจโจ้ตอนพิเศษ(หินแห่งความตายของบูจาราตี้)(อธิบายแบบสุภาพ),/watch?v=b4pPQ67uC0A,199570,Diamond D,86900,,487770,41
โจโจ้ล่าข้ามศตวรรษภาค 5 (สปอยฉบับเร็ว)(ชายผู้มีเปียนโน)-วิธีการเป็นมาเฟียใน 7 วัน,/watch?v=Ccq8wlKP4Kg,1890607,Diamond D,86900,,487770,388
โจโจ้ล่าข้ามศตวรรษภาค 4 (สปอยฉบับเร็ว),/watch?v=1JVTF8Zq9uw,2043043,Diamond D,86900,,487770,419
โจโจ้ล่าข้ามศตวรรษภาค 3 (สปอยฉบับเร็ว),/watch?v=ipMf8RzG--Q,1727311,Diamond D,86900,,487770,354
โจโจ้ล่าข้ามศตวรรษภาค 1 (ต้นกำเนิดโจสตาร์) (สปอยฉบับโครตเร็ว),/watch?v=pDBUzjOvOi4,1313104,Diamond D,86900,,487770,269
โจโจ้ล่าข้ามศตวรรษภาค 2 (สปอยฉบับเร็ว),/watch?v=2LouHhXUEh4,1342368,Diamond D,86900,,487770,275
