title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【Naxus】聽說少女前線要和神槍少女聯動了，那我們就先來看看第一季吧,/watch?v=_-RCmGgABhA,2063,Na xu,2730,,16622,12
【Naxus】動畫感想推薦－怪醫黑傑克,/watch?v=QGLO6ZNpsUg,154,Na xu,2730,,16622,1
【Naxus】武打片的經典之作 － 異邦人:無皇刃譚,/watch?v=T_8ryLqq_RU,670,Na xu,2730,,16622,4
【Naxus】被埋沒的黑暗之作 －地球防衛少年,/watch?v=xfzG1TSfDwo,3286,Na xu,2730,,16622,20
【Naxus】電影隨聊推薦 －狼的孩子雨和雪,/watch?v=aw34zpqiWVk,2037,Na xu,2730,,16622,12
【Naxus】我們在十年後等著你—Orange (有雷),/watch?v=XQYV1_jZ5t8,249,Na xu,2730,,16622,1
【Naxus】暑假不可不補的經典神作—JOJO的奇妙冒險,/watch?v=SweO3vhGIPk,13999,Na xu,2730,,16622,84
【Naxus】你有被老師當成玩具過嗎？—家族遊戲,/watch?v=pEMimBBBUuw,1873,Na xu,2730,,16622,11
【Naxus】電影隨聊推薦 －遊戲人生:Zero,/watch?v=oV-Lxmsd8YA,744,Na xu,2730,,16622,4
【Naxus】電影隨聊推薦 －好想大聲說出心底的話,/watch?v=N947Rt7bsSw,2561,Na xu,2730,,16622,15
【Naxus】來聊聊童年的遊戲吧  Hiyo衝天跑,/watch?v=UiytNL8GMgE,1276,Na xu,2730,,16622,8
【Naxus】聽說大家都很萌月薪嬌妻，那你有聽過戀空嗎？,/watch?v=hN0pY22IVWE,190665,Na xu,2730,,16622,1147
【Naxus】完結閒聊－槍彈辯駁3,/watch?v=R0YV8h1u9Yw,25907,Na xu,2730,,16622,156
【Naxus】漫畫感想推薦 － 即使如此我還是喜歡你,/watch?v=OFSQcKg7p3U,1567,Na xu,2730,,16622,9
【Naxus】電影隨聊推薦 － 你的名字,/watch?v=JYYcr12pH8A,3560,Na xu,2730,,16622,21
【Naxus】動畫感想推薦－我的狐仙女友,/watch?v=VZ5UWH1S84s,59311,Na xu,2730,,16622,357
【Naxus】影片開頭動畫,/watch?v=fGuVMTAX3Ck,3238,Na xu,2730,,16622,19
【Naxus】動畫感想推薦－偽戀,/watch?v=Ee9q3HRHnpA,19061,Na xu,2730,,16622,115
【Naxus】動畫感想推薦－中二病也要談戀愛,/watch?v=VA7e-FKI9WE,7260,Na xu,2730,,16622,44
【Naxus】動畫感想推薦－櫻花莊的寵物女孩,/watch?v=7hh94IgLWmA,10104,Na xu,2730,,16622,61
【Naxus】動畫感想推薦－灰與幻想的格林姆迦爾 (重新上傳高清),/watch?v=OAiZB2thaqc,751,Na xu,2730,,16622,5
【Naxus】動畫感想推薦－灰與幻想的格林姆迦爾,/watch?v=Lpwt23HxkuA,15348,Na xu,2730,,16622,92
