title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【FGO】水着イリヤ、キアラ狙いガチャ！前回に引き続き神引きなるか？.....！！ブリュンヒルデ、ピックアップ召喚！サーヴァント･サマーキャンプ！ 【フェイトグランドオーダー】【攻略】【REN】,/watch?v=VAh32yfpMXU,2054,REN GAMES,5920,1週間前,2829,73
【FGO】福袋とアルトリアキャスターガチャ！神引き過ぎるので閲覧注意！！5周年記念ピックアップ召喚！アルジュナオルタ狙い！キャストリア【フェイトグランドオーダー】【攻略】【REN】,/watch?v=LQ0AuLNC5o0,6376,REN GAMES,5920,2週間前,2829,225
【PUBGモバイル】ローランド狙いで122連ガチャ！！ROLANDボイスカードTravelerクレート！水瀬いのり【PUBG MOBILE】【REN】,/watch?v=e2e6JCbk2Tk,4586,REN GAMES,5920,3週間前,2829,162
【PUBGモバイル】参加型マルチスクワッド！誰でも参加どうぞ！！この後、REN TVでパブジー放送します！！初見初心者歓迎♪✨【PUBG MOBILE】【REN】,/watch?v=sIPSy5uQyiQ,776,REN GAMES,5920,2か月前,2829,27
【ご報告】今後について！22日～のキングダムハーツはREN TVでやります！大手はREN GAMESで【REN】,/watch?v=fkkHXcPLryA,840,REN GAMES,5920,2か月前,2829,30
【FGO】マーリンガチャ100連！！結果はどうなる？......絶対に欲しい鯖！！✨ピックアップ召喚！日曜限定【フェイトグランドオーダー】【攻略】【REN】,/watch?v=3iLVTlE5vHM,4884,REN GAMES,5920,2か月前,2829,173
【FGO】マーリンガチャ！今一番欲しい鯖！！✨ピックアップ召喚！日曜限定【フェイトグランドオーダー】【攻略】【REN】,/watch?v=8PL4DeghHSg,2184,REN GAMES,5920,2か月前,2829,77
【FGO】遂にマーリンが3日だけ来るぞ！！復刻:見参！ ラスベガス御前試合～水着剣豪七色勝負！ ライト版情報も【フェイトグランドオーダー】ガチャ【Fate/Grand Order】【攻略】【REN】,/watch?v=wMgpZgKgl4A,686,REN GAMES,5920,2か月前,2829,24
【FGO】オール信長総進撃 ぐだぐだファイナル本能寺2019 ライト版【フェイトグランドオーダー】【攻略】【REN】,/watch?v=a3QtRB44DV0,786,REN GAMES,5920,3か月前,2829,28
【ご報告】すぐ見て！,/watch?v=GIkfFYLdQBA,806,REN GAMES,5920,3か月前,2829,28
【TRAHA トラハ】超おすすめ武器弓について！スキルや武器特性振り方など説明します！【MMO】【攻略】【REN】,/watch?v=hG3rGGVWqL8,8061,REN GAMES,5920,3か月前,2829,285
【MHR】竜騎祭ガチャ50連！マガツキとスミカは絶対欲しい！ケチャワチャも【モンハンライダーズ】【モンスターハンターライダーズ】【モンハン】【攻略】【REN】,/watch?v=xn2JfMVALOQ,790,REN GAMES,5920,3か月前,2829,28
【MHR】色々倒します！！初見さん常連さん大歓迎✨【モンハンライダーズ】【モンスターハンターライダーズ】【モンハン】【攻略】【REN】,/watch?v=S2atOjMH3wM,638,REN GAMES,5920,4か月前,2829,23
"【MHR】21連ガチャ！確定２回あるぞ！まさかまさかピックアップ,,,きちゃう【モンハンライダーズ】【モンスターハンターライダーズ】【モンハン】【攻略】【REN】",/watch?v=KF33v6LwKLo,589,REN GAMES,5920,4か月前,2829,21
【MHR】大爆死115連ガチャ！500万ダウンロード突破記念!!オーブが...【モンハンライダーズ】【モンスターハンターライダーズ】【モンハン】【攻略】【REN】,/watch?v=nmwau57-EHE,2549,REN GAMES,5920,4か月前,2829,90
【FGO】おススメPT編成を紹介します！このPTさえ組めればFGO何とかなります！！✨【フェイトグランドオーダー】初心者向け【Fate/Grand Order】【攻略】【REN】,/watch?v=jHR6okfaZIg,689,REN GAMES,5920,4か月前,2829,24
【MHR】竜騎選抜クエスト4戦！ベリオロス攻略！！5戦は強すぎて、、、【モンハンライダーズ】【モンスターハンターライダーズ】【モンハン】【攻略】【REN】,/watch?v=HZF3lTgm-aI,1689,REN GAMES,5920,4か月前,2829,60
【FGO】BOX(ボックス)紹介！始めて200日！課金額55万円！！【フェイトグランドオーダー】【Fate/Grand Order】【攻略】【REN】,/watch?v=ZRgzCj7QEVY,1414,REN GAMES,5920,4か月前,2829,50
【FAITH フェイス】サービス終了します！有償ダイヤの返金についても！これまでを振り返る【MMO】【REN】,/watch?v=ZcIGmRZIHJk,1357,REN GAMES,5920,4か月前,2829,48
【MHR】ガーディ狙いで運命のガチャ！ゴルド、シエルの評価も！試練の祠【モンハンライダーズ】【モンスターハンターライダーズ】【モンハン】【攻略】【REN】,/watch?v=lUFPFLLYHG0,1252,REN GAMES,5920,4か月前,2829,44
【MHR】上級３ディノバルド攻略！討伐戦！こいつ結構.....【モンハンライダーズ】【モンスターハンターライダーズ】【モンハン】ナルガテール、クウゴ、ライラ、灼熱の刃【攻略】【REN】,/watch?v=GUmIVvO0jmc,4275,REN GAMES,5920,4か月前,2829,151
【MHR】リセマラ最強ランキング！なんと1位はベリオじゃない！？........【モンハンライダーズ】【モンスターハンターライダーズ】【モンハン】【攻略】ベルガー、ナルガテール【REN】,/watch?v=q2xTyXq0-dU,2989,REN GAMES,5920,4か月前,2829,106
【MHR】竜騎祭！74連ガチャ！！俺は絶対に限定キャラをGetする！！！【モンハンライダーズ】【モンスターハンターライダーズ】ベルガー、ナルガテール【モンハン】【攻略】【REN】Nekoポイント,/watch?v=I-a7ShgrU6E,5507,REN GAMES,5920,5か月前,2829,195
【FGO】ガチャも！イベント攻略！復刻版!!Apocrypha/Inheritance of Glory -Triumphal-【フェイトグランドオーダー】【攻略】【REN】,/watch?v=gmMIviqXZTQ,651,REN GAMES,5920,5か月前,2829,23
【Re:ゼロから始める異世界生活】初のスマホゲームが登場！リリース日も予測する！！【リゼロ】【攻略】【REN】,/watch?v=JU0B_tfB8mU,1727,REN GAMES,5920,5か月前,2829,61
【MHR】22連ガチャ！ほら見な2枚抜きしたぜ？......有償イベントガチャも！森の奥の友情【モンハンライダーズ】ジョヴァンニ！ディーノ【モンスターハンターライダーズ】【モンハン】【攻略】【REN】,/watch?v=NhyV8UGvtv4,2817,REN GAMES,5920,5か月前,2829,100
【MHR】ドスイーオス上級！2体同時に倒すクリア攻略！！襲来クエスト【モンハンライダーズ】【モンスターハンターライダーズ】【モンハン】【攻略】【REN】,/watch?v=UT93Rq9HQf4,4037,REN GAMES,5920,5か月前,2829,143
【MHR】今後のアップデートについて考察！フレンド機能、マルチは？....【モンハンライダーズ】【モンスターハンターライダーズ】【モンハン】【攻略】【REN】,/watch?v=K3GDbXV41a0,838,REN GAMES,5920,5か月前,2829,30
【MHR】装飾品の効率的な強化の仕方と！RENのドキドキ強化＞＜【モンハンライダーズ】【モンスターハンターライダーズ】【モンハン】【攻略】【REN】,/watch?v=MPa08RTVy_Y,388,REN GAMES,5920,5か月前,2829,14
【MHR】装飾品について！全て教えます！これを見ればおｋ！闘技大会✨【モンハンライダーズ】【モンスターハンターライダーズ】【モンハン】【攻略】【REN】,/watch?v=1SLoRAPxaJU,696,REN GAMES,5920,5か月前,2829,25
【MHR】ウルクスス上級！2体同時に倒すクリア攻略！！襲来クエスト【モンハンライダーズ】【モンスターハンターライダーズ】【モンハン】【攻略】【REN】,/watch?v=lHg4Sgsq2vQ,1429,REN GAMES,5920,5か月前,2829,51
【MHR】ウルクスス上級！ダウンせずにクリア攻略！！襲来クエスト【モンハンライダーズ】【モンスターハンターライダーズ】【モンハン】【攻略】【REN】,/watch?v=8Ztk7ES_6is,5033,REN GAMES,5920,5か月前,2829,178
【MHR】闘技大会！上級3で10万出し方！徹底攻略！！装飾品Get！【モンハンライダーズ】【モンスターハンターライダーズ】【モンハン】【攻略】【REN】,/watch?v=_2TMLd0eD-4,1090,REN GAMES,5920,5か月前,2829,39
【MHR】闘技大会で装飾品Get！攻略行くぜ！！✨【モンハンライダーズ】【モンスターハンターライダーズ】【モンハン】【攻略】【REN】,/watch?v=6tzKQ1wE1nc,858,REN GAMES,5920,5か月前,2829,30
【MHR】闘技大会どこ周回すればいい？.....効率良いぞ！！【モンハンライダーズ】【モンスターハンターライダーズ】【モンハン】【攻略】【REN】,/watch?v=vyJNgQvQ8WU,1039,REN GAMES,5920,5か月前,2829,37
【このファン】運営どうした！？不具合のお詫びでダイヤ10000配布！ログインで★4確定ガチャチケット！【このすば】【この素晴らしい世界に祝福を！】【ファンタスティックデイズ】【攻略】【REN】,/watch?v=UXBM7UCMDG4,545,REN GAMES,5920,5か月前,2829,19
【鬼滅の刃】遂にスマホアプリ、PS4でゲーム化決定！！✨【血風剣戟ロワイアル】【ヒノカミ血風譚】【キメロワ】【攻略】【REN】,/watch?v=6Xo8CZQoWu4,2500,REN GAMES,5920,5か月前,2829,88
【犬夜叉 よみがえる物語】絶対に勝てる！対戦PVPの勝利方法！！【犬よみ】【攻略】【REN】,/watch?v=yyrcP5mKzgU,764,REN GAMES,5920,5か月前,2829,27
【MHR】決戦5！ティガレックス攻略！睡眠アリシア！！最大ダメ28175【モンハンライダーズ】【モンスターハンターライダーズ】【モンハン】【攻略】【REN】,/watch?v=ynNRmuYuAZc,549,REN GAMES,5920,5か月前,2829,19
【犬夜叉 よみがえる物語】このゲームはどんなゲームか？コマンドバトル？アクションRPG?.....解説します！！【犬よみ】【攻略】【REN】,/watch?v=JoI6U4QzLZM,427,REN GAMES,5920,5か月前,2829,15
【犬夜叉 よみがえる物語】経験値を大量に稼ぐ方法！！！✨【犬よみ】【攻略】【REN】,/watch?v=-Uwh9f1THC4,2214,REN GAMES,5920,5か月前,2829,78
