title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
今天要來講件非常恐怖的事情,/watch?v=vI6YVl4apBo,11,YT餐具兒:城梟,30,1日前,98,11
指繪--絕對會有人想要打我 病病的豆子（？） 5個月沒畫鬼滅了,/watch?v=muq0a_jM1Jw,12,YT餐具兒:城梟,30,2日前,98,12
單純覺得這個表情很適合波魯納雷夫所以就畫了：3,/watch?v=Jjn1xAHD3Wg,14,YT餐具兒:城梟,30,3日前,98,14
微混更--兩則日常小故事1中指受傷2被學長騷擾,/watch?v=f76BChY504Y,9,YT餐具兒:城梟,30,3日前,98,9
指繪-有進步吧？2020/4/28~2020/8/23殺手傑夫（Jeff the killer ）,/watch?v=PNj6XrrIqXQ,20,YT餐具兒:城梟,30,4日前,98,20
絕對廢片--不要再講我是......,/watch?v=vi0uqbyUWjY,27,YT餐具兒:城梟,30,1週間前,98,28
日常亂畫- 我是指繪新手啦， 隨便畫一個吉良背景是p上去的,/watch?v=BC6HOOfnRco,27,YT餐具兒:城梟,30,1週間前,98,28
指繪日常--屁孩行為請勿模仿,/watch?v=R4YqE0j88C4,19,YT餐具兒:城梟,30,1週間前,98,19
指繪小動畫- 其實我有一點點那個體質( 微混更,/watch?v=bjIG0T7BLbk,19,YT餐具兒:城梟,30,1週間前,98,19
提早來的鬼月特輯- 血腥瑪麗覺得我很煩,/watch?v=-0jaIOpoaDk,27,YT餐具兒:城梟,30,1週間前,98,28
指繪小動畫- 不要再把竈門打成龜門！ 那如果是「龜」門炭治郎呢？#微量jojo梗,/watch?v=TGarPkluFF8,73,YT餐具兒:城梟,30,3週間前,98,74
無聊做的小動畫 又來分享一句名言,/watch?v=vIeqovLstNY,21,YT餐具兒:城梟,30,3週間前,98,21
無聊做的小動畫（？） 只是想要做做看而已，順便發表一句人生名言,/watch?v=7SeI_73rXB8,50,YT餐具兒:城梟,30,3週間前,98,51
指繪- 新頭像成品（ 我就爛😂😂😭,/watch?v=MZfKKgNxUwE,23,YT餐具兒:城梟,30,3週間前,98,23
指繪--新頭貼繪圖過程（ 我還在練習塗完色我才會用,/watch?v=FKrJDnECwvc,23,YT餐具兒:城梟,30,1か月前,98,23
來玩怎麼可能忘了你， 快點去訂閱黃阿瑪的後宮生活,/watch?v=r-niwGHPO0M,45,YT餐具兒:城梟,30,1か月前,98,46
不知道多久沒有來玩第五人格了 來玩一場黑傑克 本影片有大量髒話請放心觀賞,/watch?v=WcAS9O6bp3A,19,YT餐具兒:城梟,30,1か月前,98,19
絕對廢片-- 不知道幾百年前畫的鬼東西我真的不會指繪， 所以我現在都在手繪,/watch?v=HampQSSL9Xg,18,YT餐具兒:城梟,30,1か月前,98,18
自創短文-腐女（給辰龍的升8年級禮物（？）（考完試放鬆一下，臨時發片,/watch?v=glENF-dtMUI,37,YT餐具兒:城梟,30,1か月前,98,38
自創短文((連體嬰))- 我要會考了QQ,/watch?v=Y_Y-nrZGg3g,32,YT餐具兒:城梟,30,1か月前,98,33
