title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
JOJO的奇妙冒險 天國之眼 初次遊玩,/watch?v=YlG-7ze1XRg,1,kyfantasy39,25,5か月前,329,0
PERSONA 5 星夜熱舞 -01,/watch?v=k34jEzJVbVs,3,kyfantasy39,25,6か月前,329,1
PERSONA 5 星夜熱舞 -01,/watch?v=Vpgi9mN93V4,2,kyfantasy39,25,6か月前,329,1
PERSONA 5 星夜熱舞 -01,/watch?v=tEPynDKAq5s,4,kyfantasy39,25,6か月前,329,1
Dissidia Final Fantasy NT - PS4,/watch?v=SsWNWuq94R0,8,kyfantasy39,25,7か月前,329,2
鵝鵝鵝 直播遊玩 - Untitled Goose Game (NS),/watch?v=6OyvfOBRc3g,3,kyfantasy39,25,7か月前,329,1
星際大戰 絕地組織殞落 最終星球,/watch?v=mUIPZfpg1qA,0,kyfantasy39,25,7か月前,329,0
寶可夢 劍 冒險開始!,/watch?v=rNgb7kC_s5A,2,kyfantasy39,25,9か月前,329,1
魔物獵人MHW 狩魔獵人任務,/watch?v=0TNAphbmEeg,5,kyfantasy39,25,9か月前,329,2
隻狼 遊玩03,/watch?v=aeI8RfHk__w,5,kyfantasy39,25,1年前,329,2
隻狼 遊玩03,/watch?v=gAtiYgi6wj4,1,kyfantasy39,25,1年前,329,0
隻狼 遊玩03,/watch?v=gDpe046IjsQ,1,kyfantasy39,25,1年前,329,0
隻狼 遊玩03,/watch?v=2qH8SxU7Lhk,4,kyfantasy39,25,1年前,329,1
隻狼 遊玩03,/watch?v=nyW1kyr2jOU,0,kyfantasy39,25,1年前,329,0
隻狼 遊玩02,/watch?v=mGaQovo5cFs,0,kyfantasy39,25,1年前,329,0
隻狼 第一次遊玩,/watch?v=-be_AcpVsDY,2,kyfantasy39,25,1年前,329,1
MHWxFFXIV 貝西摩斯,/watch?v=g5SsgYhfmQM,10,kyfantasy39,25,2年前,329,3
刺客教條起源 直播02,/watch?v=mIM-V8M7_Tk,26,kyfantasy39,25,2年前,329,8
FFXIV 第二次嘗試遊玩!,/watch?v=yA5yo18j27k,7,kyfantasy39,25,2年前,329,2
NS 聖火降魔錄無雙 04,/watch?v=qaLa9gtsdEM,101,kyfantasy39,25,2年前,329,31
NS 聖火降魔錄無雙 03,/watch?v=CFnO9ce6l-g,150,kyfantasy39,25,2年前,329,46
NS 聖火降魔錄無雙 02,/watch?v=QRxaCiUqwO8,911,kyfantasy39,25,2年前,329,277
NS 聖火降魔錄無雙 01,/watch?v=mWDc6HRvTbY,331,kyfantasy39,25,2年前,329,101
聖火無雙01 測試,/watch?v=jSpWk7LERow,22,kyfantasy39,25,2年前,329,7
PS4 火線獵殺：野境,/watch?v=N3fPCXs8-ew,23,kyfantasy39,25,3年前,329,7
WII U 馬力歐賽車8 004,/watch?v=VPmR_UR7R78,10,kyfantasy39,25,3年前,329,3
WII U 馬力歐賽車8 002,/watch?v=Ti2uWWduExI,5,kyfantasy39,25,3年前,329,2
刺客教條 叛變 01,/watch?v=P7HGuyvLW98,26,kyfantasy39,25,3年前,329,8
WII U 寶可拳 01,/watch?v=rObXYjZrR3E,83,kyfantasy39,25,3年前,329,25
PS4 仁王直播 東北篇 01,/watch?v=D9K9O45dqGc,15,kyfantasy39,25,3年前,329,5
WII U  薩爾達無雙 02,/watch?v=XrJPtKYoq8w,19,kyfantasy39,25,3年前,329,6
3DS 耀西毛線世界 電影02,/watch?v=HSHbMiT__a0,15,kyfantasy39,25,3年前,329,5
PS4 最後生還者Remaster 直播01,/watch?v=Zb5-XsVxiws,22,kyfantasy39,25,3年前,329,7
PS4 初音未來Future Tone 直播,/watch?v=KlM0Fdwct6Q,32,kyfantasy39,25,3年前,329,10
Minecraft 馬力歐 Test,/watch?v=vldlcXVVVss,6,kyfantasy39,25,3年前,329,2
楓之谷 命運的少女 (中文) 01,/watch?v=b3l0GfAz1R0,1395,kyfantasy39,25,3年前,329,424
薩爾達傳說 荒野之息 (日文版) 01,/watch?v=jOu-2PSMLVg,139,kyfantasy39,25,3年前,329,42
符文工房4 01,/watch?v=yhucYoGy11E,8772,kyfantasy39,25,3年前,329,2666
薩爾達傳說 荒野之息 海拉爾城堡 (真結局),/watch?v=aMtpetpcVbk,2757,kyfantasy39,25,3年前,329,838
薩爾達傳說 荒野之息 雷之神殿+衝魔王城 (普通結局),/watch?v=AEWUr048ea8,484,kyfantasy39,25,3年前,329,147
薩爾達傳說 荒野之息 第十三記憶 (日文配音),/watch?v=bVP70TIe7fk,1139,kyfantasy39,25,3年前,329,346
薩爾達傳說 荒野之息 雷之神殿前置,/watch?v=I0Iray6NS7s,92,kyfantasy39,25,3年前,329,28
薩爾達傳說 天空之劍 直播01 (Testing),/watch?v=UcLyC988XEc,20,kyfantasy39,25,3年前,329,6
薩爾達傳說 荒野之息 尋找進Gerudo的方法,/watch?v=EoWxcfMLDBw,535,kyfantasy39,25,3年前,329,163
薩爾達傳說 荒野之息 尋找記憶之旅02 (日文配音),/watch?v=osP4QyQ22hk,33,kyfantasy39,25,3年前,329,10
薩爾達傳說 荒野之息 尋找記憶之旅01 (日文配音),/watch?v=ze8kHZUVeAg,148,kyfantasy39,25,3年前,329,45
薩爾達 荒野之息 Epona 劇情,/watch?v=NW6W0gbH8K4,146,kyfantasy39,25,3年前,329,44
空之軌跡 FC Evolution 01,/watch?v=DmviuLLsbu4,4352,kyfantasy39,25,3年前,329,1323
薩爾達 荒野之息 水之神殿,/watch?v=Ihfp8NFgKWQ,1247,kyfantasy39,25,3年前,329,379
薩爾達 荒野之息  建造-水神,/watch?v=Ct1gTpEU5-s,101,kyfantasy39,25,3年前,329,31
尼爾:自動人形 (中文)  直播05,/watch?v=la9OMd_TNew,3,kyfantasy39,25,3年前,329,1
尼爾:自動人形 (中文)  直播04,/watch?v=r1K4Rm7FJEM,1,kyfantasy39,25,3年前,329,0
尼爾:自動人形 (中文)  直播03,/watch?v=_6s5J-leGoc,4,kyfantasy39,25,3年前,329,1
尼爾:自動人形 (中文)  直播02,/watch?v=PDTD9ZJ_JBs,5,kyfantasy39,25,3年前,329,2
薩爾達 荒野之息 直播測試07,/watch?v=XOV-Wet2jM0,4,kyfantasy39,25,3年前,329,1
薩爾達 荒野之息 直播測試05,/watch?v=ItrGHffrDtU,11,kyfantasy39,25,3年前,329,3
薩爾達 荒野之息 直播測試04,/watch?v=tPsq6aYtGv0,3,kyfantasy39,25,3年前,329,1
