title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【反正我很閒】樂咖播播的奇妙冒險,/watch?v=JP1bg-91PKo,488942,zTO,6440,2か月前,45264,1080
【爐石戰記】扛轎少年團 - 全明星賽版本 (好孩子版),/watch?v=17VDFS5XSLE,94172,zTO,6440,1年前,45264,208
【OVERWATCH】Play of the Game: DIY Car Wash By Genji -源氏洗車,/watch?v=k9ZNHn0plfo,5571,zTO,6440,1年前,45264,12
【爐石戰記】燙姆貓與羅傑鼠 ft. 薛喜 - 下集,/watch?v=ftgha2W8XOQ,56292,zTO,6440,1年前,45264,124
【爐石戰記】燙姆貓與羅傑鼠 ft. 薛喜 - 上集,/watch?v=SkqLWkeBqzo,80431,zTO,6440,1年前,45264,178
【燙姆貓與羅傑鼠】一個5秒鐘的故事,/watch?v=So2YcqhDHaE,18878,zTO,6440,1年前,45264,42
【爐石戰記】扛轎少年團，扛完之後呢?,/watch?v=79Rib1sC2M8,27538,zTO,6440,2年前,45264,61
【爐石戰記】扛轎少年團 - 完整版MV (feat.很多人),/watch?v=hTPZoUx8gRo,1355811,zTO,6440,2年前,45264,2995
【扛轎少年團】完整版緊急加開預告,/watch?v=c-KyvJtlyh0,61437,zTO,6440,2年前,45264,136
【黑色沙漠】黑沙紅人生活日常 - 紅人玩家的稽查外掛之旅 BDO Negative karma ninja fight to cheating player,/watch?v=BH1OEvskXkU,44515,zTO,6440,2年前,45264,98
【黑色沙漠】黑沙紅人教戰守則 - 三分鐘教你逃出監獄 新手紅人免緊張 BDO Red man prison break tutorial,/watch?v=OTDhIMk6zQI,37862,zTO,6440,2年前,45264,84
【黑色沙漠】外掛殲滅玩家-台服三大劫神之首 with 兩個妨礙值勤的路人 BDO Ninja PVP with cheating player,/watch?v=RqQf0FRJiso,25070,zTO,6440,2年前,45264,55
因為我會看字 by 公車小妹妹,/watch?v=f5olvEcafpw,8358,zTO,6440,3年前,45264,18
烈骨幫挑戰賽_第四週 萊茵哈特空中忘我擁抱-Overtwatch Reinhardt hug in the air,/watch?v=Irczyz-ngZc,1626,zTO,6440,3年前,45264,4
OVERWATCH  GENJI'S REAL FACE - 鬥陣特攻 源氏的真身,/watch?v=-WVasA5EGfU,29018,zTO,6440,4年前,45264,64
我到底看了三小,/watch?v=rW-Jwoc9dvk,16772,zTO,6440,4年前,45264,37
Mcdonald-Lan Lan Yee.   藍藍YEE,/watch?v=LuE2ndku9dw,48716,zTO,6440,4年前,45264,108
中華一番 阿Q(RQ) 斷線後腦衝送頭,/watch?v=K0JwfWVPUl4,135763,zTO,6440,5年前,45264,300
我拿到燒起來的柯基惹,/watch?v=GkKa6u9yGlI,818,zTO,6440,5年前,45264,2
薩科：更多的箱子與恐懼-Shaco:More boxes and fear,/watch?v=bLgBS4CCIJI,26172,zTO,6440,6年前,45264,58
統神-DIU~DIU~DIU~DIU~DIU  連DIU一分鐘,/watch?v=Xzqe9BDH8gE,9527,zTO,6440,6年前,45264,21
2014/03/20 我所看見的服貿靜坐,/watch?v=MYaTpg5xhRw,303,zTO,6440,6年前,45264,1
林口-縮時5秒,/watch?v=HV9PgtyQAng,548,zTO,6440,6年前,45264,1
