title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【モンスト】超究極！初代獣神からの挑戦状にへっぽこが沖田艦隊で突っ込む動画。←,/watch?v=-bcK5ubD2nw,838,るる氏のゲーム実況,3700,1日前,5965,14
【モンスト夏ガチャ2020！】るる氏、モンスト、夏、水着ガチャの季節です〜！,/watch?v=Ka81ETikQoI,20439,るる氏のゲーム実況,3700,1週間前,5965,343
【ヴァルキリーコネクト】5日間連続Mirrativ生配信！&サマーラッキーガチャ150連!!,/watch?v=c3GJUwkavUY,1558,るる氏のゲーム実況,3700,2週間前,5965,26
【モンスト】アゲインガチャ！まさかの〇〇難民卒業！？(ﾟ∀ﾟ),/watch?v=2PlJT6f9iBQ,10701,るる氏のゲーム実況,3700,3週間前,5965,179
【モンスト】SAOコラボガチャ第二弾！神引きしたった。,/watch?v=Tl5qac_okXI,3145,るる氏のゲーム実況,3700,4週間前,5965,53
【誕生日企画】全部答えますｗるる氏の質問コーナー！〜後半〜,/watch?v=jsDU2RQLQQ8,4500,るる氏のゲーム実況,3700,1か月前,5965,75
【誕生日企画】NG無し！るる氏の質問コーナー！〜前半〜,/watch?v=fUb6x4IzLiE,1939,るる氏のゲーム実況,3700,1か月前,5965,33
【購入品紹介★】デジモン色紙ART開封！神引き!?,/watch?v=OnupEJmcjVc,686,るる氏のゲーム実況,3700,1か月前,5965,12
るる氏、30歳になるってよ。【誕生日の前前夜祭】,/watch?v=W0SettxDoq4,3367,るる氏のゲーム実況,3700,1か月前,5965,56
【ヴァルキリーコネクト】ワンパンマンコラボガチャ！100連オーバー！,/watch?v=tNKIccUbTBc,2750,るる氏のゲーム実況,3700,1か月前,5965,46
【誕生日企画】質問コーナーやります！質問大募集！(ﾟ∀ﾟ),/watch?v=BgIXzAAXZ9c,1132,るる氏のゲーム実況,3700,1か月前,5965,19
【パズドラ】エヴァコラボ再来！シンジ＆レイ欲しいいいいいい！！,/watch?v=YEc8QgjaVos,2544,るる氏のゲーム実況,3700,1か月前,5965,43
【みんな自粛頑張った！】3ヶ月ぶりの美容院だふぉぉぉぉ！,/watch?v=IxY6weQGwPI,1580,るる氏のゲーム実況,3700,2か月前,5965,26
【モンスト】ルシファー欲しすぎる！映画『ルシファー絶望の夜明け』MVガチャ！,/watch?v=iTV25EE5r14,3806,るる氏のゲーム実況,3700,2か月前,5965,64
