title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
サラ番2でフリーズ!!「かるてっと＃4【1/4】」,/watch?v=UE0owZpgKvA,78066,スクープTV パチスロパチンコ実戦動画,46200,1日前,269135,29
「寺井か、寺井じゃないか。寺井一択という存在」【第4弾プロライターXX-お菓子消滅の日-】寺井一択SPSPSPカード特別インタビュー,/watch?v=nGdxz_wLHpE,110147,スクープTV パチスロパチンコ実戦動画,46200,4日前,269135,41
【サラ番最終決戦〜番組内容を大幅に変更することがあります〜】「寺井一択の寺やる!!第372話」,/watch?v=NpFs6Fh2Df0,413234,スクープTV パチスロパチンコ実戦動画,46200,1週間前,269135,154
負けないで～逆万枚直前からの奇跡!?～「えんスロ! 第29話」,/watch?v=XDbz7rrUThs,153124,スクープTV パチスロパチンコ実戦動画,46200,2週間前,269135,57
【怒髪降臨ホームラン!!】ヒキと技術で無敗伝説作ります「スロっちょ！第53話」,/watch?v=StEU77m0TUg,125196,スクープTV パチスロパチンコ実戦動画,46200,2週間前,269135,47
【忘れられていた神】「寺井一択の寺やる!!第371話」,/watch?v=mE6gap-8tbA,499511,スクープTV パチスロパチンコ実戦動画,46200,2週間前,269135,186
まさかの機種選びで今年初『えんじょい』!?「えんスロ! 第28話」,/watch?v=BnR9TpoGsLA,131736,スクープTV パチスロパチンコ実戦動画,46200,3週間前,269135,49
【地獄からのバレ満!!】「寺井一択の寺やる!!第370話」,/watch?v=rxV12kgV0hg,526762,スクープTV パチスロパチンコ実戦動画,46200,3週間前,269135,196
七瀬からは逃げられない!?み～んな捕食しちゃうぞ♥「えんスロ! 第27話」,/watch?v=RVQ1gQ8hbdA,150020,スクープTV パチスロパチンコ実戦動画,46200,3週間前,269135,56
青春を彩った「名機」再び!!  家スロ【秘宝伝～太陽を求める者達～・パチスロ コードギアス 反逆のルルーシュ・パチスロ聖闘士星矢・パチスロ北斗の拳 転生の章】,/watch?v=hRG6dnA9xPg,222216,スクープTV パチスロパチンコ実戦動画,46200,4週間前,269135,83
【パ●ンポコチ●ポコポコ】「寺井一択の寺やる!!第369話」,/watch?v=aht_8zEBiRY,480909,スクープTV パチスロパチンコ実戦動画,46200,1か月前,269135,179
【寺井vsサラ番2】「寺井一択の寺やる‼第368話」,/watch?v=FgLcX4nUcQY,627156,スクープTV パチスロパチンコ実戦動画,46200,1か月前,269135,233
【シャア専用パチスロ 逆襲の赤い彗星】宿命バトルに勝利すれば完走濃厚！？「新台チャレンジャーもっくん」,/watch?v=wLU88h-dMtM,96707,スクープTV パチスロパチンコ実戦動画,46200,1か月前,269135,36
覚醒vs艇王RUSHガチンコ勝負「かるてっと＃3【1/4】」,/watch?v=lGlqaDlV6dk,125024,スクープTV パチスロパチンコ実戦動画,46200,1か月前,269135,46
【究極スペシャルGODスラム】「寺井一択の寺やる!!第367話」,/watch?v=zRlqwPIP1rQ,477917,スクープTV パチスロパチンコ実戦動画,46200,1か月前,269135,178
ゆるくてもハーデス!!【アナターのオット!?はーです】「新台チャレンジャーもっくん」,/watch?v=8lV9bb4hE2Q,256889,スクープTV パチスロパチンコ実戦動画,46200,1か月前,269135,95
パチンコ北斗無双がスロットに転生!!【パチスロ真・北斗無双】「新台チャレンジャーもっくん」,/watch?v=4A_9kKIRVrY,141800,スクープTV パチスロパチンコ実戦動画,46200,1か月前,269135,53
【〝地獄の旅〟が始まりました…。】スロっちょ！第52話,/watch?v=JHFMx7AgEiA,133355,スクープTV パチスロパチンコ実戦動画,46200,1か月前,269135,50
【7/6導入開始!】直前だから分かった『情報』で高設定を打ち抜け!!【BLACK LAGOON4】「新台チャレンジャーもっくん」,/watch?v=i2Jfw-mhe5w,58672,スクープTV パチスロパチンコ実戦動画,46200,1か月前,269135,22
これが漢のぉぉぉ～共闘! 番長ビンゴバトル 後編【押忍!番長2・押忍!サラリーマン番長】,/watch?v=V-jQfGvyAic,144141,スクープTV パチスロパチンコ実戦動画,46200,1か月前,269135,54
これが漢のぉぉぉ～共闘! 番長ビンゴバトル 前編【押忍!番長2・押忍!サラリーマン番長】,/watch?v=nyIHo_7kfPs,151869,スクープTV パチスロパチンコ実戦動画,46200,1か月前,269135,56
【2ndシーズン始動!!】サラ番2の楽しみ方伝えます！【スロっちょ！51話】,/watch?v=sitxyX_I2hA,149134,スクープTV パチスロパチンコ実戦動画,46200,1か月前,269135,55
またしても北斗揃い炸裂！前回の雪辱を果たせるか？「寺井一択の寺やる!!番外編」後編,/watch?v=gwZXwroNRyQ,239888,スクープTV パチスロパチンコ実戦動画,46200,2か月前,269135,89
一口で見極めろ!ききカレーやってみた「みんなで遊ぼう!キンコンカンコン7時間目」,/watch?v=ayNUAqGsH2U,46130,スクープTV パチスロパチンコ実戦動画,46200,2か月前,269135,17
【みんなが選ぶ『寺やる！＆スロっちょ！』名場面ベスト3発表！】寺井一択＆もっくんのYouTubeライブ【5/29生放送分#11】,/watch?v=Urdtq6OzR-I,46641,スクープTV パチスロパチンコ実戦動画,46200,2か月前,269135,17
激ムズ10品！ききポテトチップスやってみた「みんなで遊ぼう!キンコンカンコン6時間目」,/watch?v=odW4GPfE2T8,25308,スクープTV パチスロパチンコ実戦動画,46200,2か月前,269135,9
パチスロ北斗の拳 世紀末救世主伝説で神ヒキ!!フリーズからの北斗揃いが降臨！「寺井一択の寺やる!!番外編」前編,/watch?v=cYCMX88N32M,362451,スクープTV パチスロパチンコ実戦動画,46200,3か月前,269135,135
「サラ番で激ムズミッション！生放送中にフリーズ引いたっ！」もっくんのパチスロYoutubeライブ【0526生放送分#10】,/watch?v=3_nPuVH0-tc,54400,スクープTV パチスロパチンコ実戦動画,46200,3か月前,269135,20
「中段ちぇりこのにゃんまる頼み」＃１,/watch?v=rtz-WzeRB-w,68624,スクープTV パチスロパチンコ実戦動画,46200,3か月前,269135,25
【言葉を使った人狼ゲームが面白すぎるw】ワードウルフ「みんなで遊ぼう!キンコンカンコン5時間目」,/watch?v=W1qKl9Al9oY,45290,スクープTV パチスロパチンコ実戦動画,46200,3か月前,269135,17
【PR(予告編)】かるてっと！＃２【4/4】,/watch?v=BsEWbo6PU6g,12940,スクープTV パチスロパチンコ実戦動画,46200,3か月前,269135,5
【再編集・24歳誕生日回】「寺井一択の寺やる!!第54話」,/watch?v=ef3isrkVFiU,244221,スクープTV パチスロパチンコ実戦動画,46200,3か月前,269135,91
【5/8(金)19時～開始予定！】【生放送#7】寺井一択＆もっくんのYoutubeライブ,/watch?v=PNgyfpfPH1Y,45176,スクープTV パチスロパチンコ実戦動画,46200,3か月前,269135,17
【最高のフィナーレ!!】もっくんのヒキが爆発する!!凱旋の確定役全部引いてます!!「スロっちょ！第50話」,/watch?v=n-6UDbstUxo,409473,スクープTV パチスロパチンコ実戦動画,46200,3か月前,269135,152
【PR（予告編】かるてっと＃２【3/4】ヘッポコ男子たちの小競り合いが今ここに！,/watch?v=G-D01kILU2Q,25847,スクープTV パチスロパチンコ実戦動画,46200,3か月前,269135,10
【ペンと定規で大戦争!?】単純だけど奥深い!!定規戦争でバトルしてみた!「みんなで遊ぼう！キンコンカン4時間目」,/watch?v=mo5TJJR9-Wg,57446,スクープTV パチスロパチンコ実戦動画,46200,3か月前,269135,21
超レア映像!!“ノルマからの絶頂直撃”さらに頂SRUSHも!?サラ番でヒキ大爆発!!「スロっちょ！第49話」,/watch?v=akEaXnjdhCs,375088,スクープTV パチスロパチンコ実戦動画,46200,3か月前,269135,139
【真・万枚狙井一択8】「寺井一択の寺やる!!第366話」,/watch?v=fXUy9UqozlI,494143,スクープTV パチスロパチンコ実戦動画,46200,3か月前,269135,184
【4人であっちむいてホイ!?】スーパーあっちむいてホイ「みんなで遊ぼう!キンコンカンコン第3話」,/watch?v=2AudoMjt1Fk,62929,スクープTV パチスロパチンコ実戦動画,46200,4か月前,269135,23
レバーを叩け！さすれば与えられん!!中段チェリーが逆転の一手となるか!?「スロっちょ！第48話」,/watch?v=Jx5M_6r8a_g,199775,スクープTV パチスロパチンコ実戦動画,46200,4か月前,269135,74
【真・万枚狙井一択7】「寺井一択の寺やる!!第365話」,/watch?v=lwcapF1YX5U,719284,スクープTV パチスロパチンコ実戦動画,46200,4か月前,269135,267
決死のキュゥべえチャレンジ‼「かるてっと＃2【1/4】」,/watch?v=DMUuOHdvsNQ,121605,スクープTV パチスロパチンコ実戦動画,46200,4か月前,269135,45
【信じていたのに…!まさかの結末!?】嘘を見破れ！ワンナイト人狼やってみた！「みんなで遊ぼう！キンコンカン2時間目」,/watch?v=i_npEr7hw6c,100307,スクープTV パチスロパチンコ実戦動画,46200,4か月前,269135,37
【真・万枚狙井一択6】「寺井一択の寺やる!!第364話」,/watch?v=PpX9EO6ogjw,555687,スクープTV パチスロパチンコ実戦動画,46200,4か月前,269135,206
【メインウエポン“天井狙い“中にまさかのtheEND通過！？】「スロっちょ！第47話」,/watch?v=0mXz7iSZSWs,186229,スクープTV パチスロパチンコ実戦動画,46200,4か月前,269135,69
【PR(予告編)】かるてっと！＃1【4/4】「いけるぞ!!80%ループ」,/watch?v=y9cYR9H_Fmg,36568,スクープTV パチスロパチンコ実戦動画,46200,4か月前,269135,14
これが6号機のサラリーマン番長だ！【押忍！サラリーマン番長2】「新台チャレンジャーもっくん」,/watch?v=WwakaEoZUNE,253708,スクープTV パチスロパチンコ実戦動画,46200,4か月前,269135,94
裏クエで大興奮【ゆきひこ様は突然に 7ページ】,/watch?v=utGAPTGIhCw,124280,スクープTV パチスロパチンコ実戦動画,46200,4か月前,269135,46
【真・万枚狙井一択5】「寺井一択の寺やる!!第363話」,/watch?v=2orWU8cRqxA,568391,スクープTV パチスロパチンコ実戦動画,46200,4か月前,269135,211
【PR(予告編)】かるてっと！＃1【3/4】「キタァ～！！」,/watch?v=IRpvK6of51w,27669,スクープTV パチスロパチンコ実戦動画,46200,4か月前,269135,10
【真・万枚狙井一択4】「寺井一択の寺やる!!第362話」,/watch?v=e24Jnt-7plo,444736,スクープTV パチスロパチンコ実戦動画,46200,4か月前,269135,165
『えんじょい』の原点回帰!七瀬スーツを脱ぐ!「えんスロ! 第26話」,/watch?v=pb2Ma1PWdxA,149855,スクープTV パチスロパチンコ実戦動画,46200,4か月前,269135,56
【真・万枚狙井一択3】「寺井一択の寺やる!!第361話」,/watch?v=IcvnS9DMsRc,535010,スクープTV パチスロパチンコ実戦動画,46200,4か月前,269135,199
