title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
"JoJo's Bizarre Adventure, Kira's theme.  JoJo的奇妙冒險，吉良吉影處刑（主題）曲",/watch?v=2NICPk_4plM,358,回歸の客官,6100,1か月前,984,36
倒   放   挑   戰,/watch?v=ZRJ6Djs-t8w,247,回歸の客官,6100,1か月前,984,25
斷線重連中。。。,/watch?v=p-NN6P8wR-c,394,回歸の客官,6100,3か月前,984,40
謝卻海棠飛盡絮，困人天氣日初長,/watch?v=GH9TCtoXCdY,123,回歸の客官,6100,3か月前,984,12
【客官】看懂了就很恐怖的故事（第二章）未完待續...,/watch?v=9i_G8gGuHsk,108,回歸の客官,6100,4か月前,984,11
【客官】看懂了就很恐怖的遊戲（第一章）未完待續...,/watch?v=6fSQ5Dh1c6s,157,回歸の客官,6100,4か月前,984,16
超  越  巔  峰,/watch?v=kEbBMPXXrGI,982,回歸の客官,6100,4か月前,984,100
全第不知道多少個扎男,/watch?v=bNYQFpsOUmQ,322,回歸の客官,6100,5か月前,984,33
【客官】接招吧Dio！！半徑20米的，綠寶石水花！！！（高潔的教皇）,/watch?v=R75JpDs8xNE,478,回歸の客官,6100,5か月前,984,49
最後一次直播王者榮耀啦,/watch?v=go337I07Hdc,258,回歸の客官,6100,5か月前,984,26
【客官】許久不見，客官沒碰好久的板車現狀如何？官哥隨手十一城！,/watch?v=-jnZsA5wd_Q,1086,回歸の客官,6100,6か月前,984,110
官寶，媽媽愛你（霧）,/watch?v=2azh2WxnrRk,261,回歸の客官,6100,6か月前,984,27
最稳三贱客,/watch?v=-h0avkpvBNg,167,回歸の客官,6100,6か月前,984,17
全網第一扎男  Part 2,/watch?v=bIa4AyQZGw8,211,回歸の客官,6100,6か月前,984,21
全網第一扎男,/watch?v=ulgjTPoFtQs,244,回歸の客官,6100,6か月前,984,25
全網第一扎男,/watch?v=vuIdMnSs0iU,208,回歸の客官,6100,6か月前,984,21
全網第一扎男,/watch?v=mZBQDjnZXrc,228,回歸の客官,6100,6か月前,984,23
全網第一扎男,/watch?v=reVdsdWy5sg,264,回歸の客官,6100,6か月前,984,27
不免輪迴歸復道，豈將淫慾益愚癡,/watch?v=dqjiwM5riyY,276,回歸の客官,6100,7か月前,984,28
爆竹聲中一歲除，春風送暖入屠蘇,/watch?v=laEm0hQ58P4,249,回歸の客官,6100,7か月前,984,25
王者荣耀吖,/watch?v=-NsX2ruTkr8,257,回歸の客官,6100,7か月前,984,26
不須迎向東郊去，春在千門萬戶中,/watch?v=AZ61VL33xtQ,381,回歸の客官,6100,7か月前,984,39
夕殿螢飛思悄然，孤燈挑盡未成眠,/watch?v=Ee9tk90JQhg,230,回歸の客官,6100,8か月前,984,23
真·聖誕快樂,/watch?v=CsFHr-amYfc,219,回歸の客官,6100,8か月前,984,22
聖誕快樂,/watch?v=wAYfW1vZR7I,219,回歸の客官,6100,8か月前,984,22
醉不成歡慘將別，別時茫茫江浸月,/watch?v=gFePSImlKvo,227,回歸の客官,6100,8か月前,984,23
忽遇文殊開慧眼，他年應記老師心,/watch?v=yEK-0cpXjso,240,回歸の客官,6100,8か月前,984,24
【客官】極速空港地獄霸天虎1：38,/watch?v=6YbUTKaXvq8,878,回歸の客官,6100,8か月前,984,89
