title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
吹奏楽のための犬夜叉/第22回定期演奏会,/watch?v=s6-041gPfP4,181,岩沼市吹奏楽団,31,9か月前,204,89
ホール・ニュー・ワールド/第22回定期演奏会,/watch?v=qu4x4YB3_Vo,109,岩沼市吹奏楽団,31,9か月前,204,53
スーパーマリオブラザーズ/第22回定期演奏会,/watch?v=niQd_d029Rc,105,岩沼市吹奏楽団,31,9か月前,204,51
ジャパニーズ・グラフィティⅨ いい日旅立ち/第22回定期演奏会,/watch?v=ziQkWx-Doyk,150,岩沼市吹奏楽団,31,9か月前,204,74
情熱大陸/第22回定期演奏会,/watch?v=5AvJ8MxmZCQ,174,岩沼市吹奏楽団,31,10か月前,204,85
春の猟犬/第22回定期演奏会,/watch?v=mpFzDaWPor4,230,岩沼市吹奏楽団,31,10か月前,204,113
海へ...吹奏楽の為に/第22回定期演奏会,/watch?v=X8YiwG45a6Y,401,岩沼市吹奏楽団,31,10か月前,204,197
フラッシング・ウィンズ/第22回定期演奏会,/watch?v=s8PruNzJBgw,197,岩沼市吹奏楽団,31,10か月前,204,97
軽騎兵/第22回定期演奏会,/watch?v=s-IVmN8twIc,177,岩沼市吹奏楽団,31,10か月前,204,87
リバーサイドブラスin2019の練習（軽騎兵）,/watch?v=G-CGjXEh9kQ,266,岩沼市吹奏楽団,31,1年前,204,130
SPIRIT OF THE FALCON(第２１回定期演奏会),/watch?v=-hDlheB4Mtc,191,岩沼市吹奏楽団,31,1年前,204,94
JASPER (第２１回定期演奏会),/watch?v=xA-fCTO20ws,255,岩沼市吹奏楽団,31,1年前,204,125
ＯＲＩＯＮ (第２１回定期演奏会),/watch?v=zfnASiHtPjo,181,岩沼市吹奏楽団,31,1年前,204,89
行進曲「秋空に」(第２１回定期演奏会),/watch?v=-h-ixMZnPas,152,岩沼市吹奏楽団,31,1年前,204,75
軽騎兵(リバーサイドブラスin2019),/watch?v=BBtlxYSg4v8,298,岩沼市吹奏楽団,31,1年前,204,146
