title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
間諜屁孩2,/watch?v=K2bLBV5gf44,6,忍ninj,37,,668,1
屁孩實況開始嘍　屁孩不知道的是這世上有間諜屁孩,/watch?v=tF4VPiDR_QY,18,忍ninj,37,,668,3
Apex 英雄 ep.1 ft.danger681102 tiger910818,/watch?v=FwfPnWfIjKw,9,忍ninj,37,,668,1
hitman:sniper 好game好game,/watch?v=u1tD9c2cuxo,14,忍ninj,37,,668,2
Tom Clancy's Rainbow Six® Siege　休閒,/watch?v=xN_jFB8SVG4,14,忍ninj,37,,668,2
傳說對決 憤怒的DJ豪豪,/watch?v=9UWCNIKOXcs,30,忍ninj,37,,668,4
Wryyyyyy （翻譯）,/watch?v=CH4FuYskAeQ,3423,忍ninj,37,,668,512
JOJO的奇妙冒險S1 OP,/watch?v=TgG4rwO_zdM,32019,忍ninj,37,,668,4793
METAL GEAR SOLID V,/watch?v=MQ8lZh4Yn5o,11,忍ninj,37,,668,2
for honor 精華　狂的笑,/watch?v=cvezx2dXUuI,33,忍ninj,37,,668,5
For Honor　ep1  劇情1.1,/watch?v=-Nko8vnl42U,5,忍ninj,37,,668,1
鬥陣特攻　休閒ep.1,/watch?v=MmoVYo9FsOo,6,忍ninj,37,,668,1
虹彩六號　休閒ep.1,/watch?v=FAYqUs6wEuQ,9,忍ninj,37,,668,1
阿拉花瓜,/watch?v=Erj30ulWtBE,21,忍ninj,37,,668,3
zxc的休閒實況　GTA5,/watch?v=WlrJapg63Wk,20,忍ninj,37,,668,3
zxc的休閒實況　與danger尬車,/watch?v=a5a3fpY_UdY,20,忍ninj,37,,668,3
zxc的休閒實況,/watch?v=oRiUhHqY1QM,23,忍ninj,37,,668,3
watch dog2  ep.1,/watch?v=4NIOuewgDtw,3,忍ninj,37,,668,0
zxcv400456的PS4播送,/watch?v=TJofqviR5JA,11,忍ninj,37,,668,2
全民槍戰 新手945,/watch?v=FYyYEdHFDmE,26,忍ninj,37,,668,4
zxc 休閒實況,/watch?v=WW3zYhx36gc,8,忍ninj,37,,668,1
zxc 休閒實況　麥塊原味生存　第一集,/watch?v=y_byYYEKPYA,39,忍ninj,37,,668,6
zxc 休閒實況,/watch?v=Y0jWJQLV9PA,49,忍ninj,37,,668,7
zxc 休閒實況,/watch?v=f-PIm-wd7w8,7,忍ninj,37,,668,1
源氏　反彈,/watch?v=u8jBul4Lgjs,137,忍ninj,37,,668,21
zxc 休閒實況,/watch?v=grr28v7Opqg,9,忍ninj,37,,668,1
Overwatch: Origins Edition　it's high it's high high high noon,/watch?v=HWESZxZ1yTY,11,忍ninj,37,,668,2
鬥陣特攻　炸彈鼠　弱嗨賴,/watch?v=NxbTf4FSunY,13,忍ninj,37,,668,2
zxc 休閒實況,/watch?v=-_TL7biNdcc,2,忍ninj,37,,668,0
zxc 休閒實況,/watch?v=HJ3xVFAZbuw,7,忍ninj,37,,668,1
overwatch 隨便玩,/watch?v=566_cEFLRrU,5,忍ninj,37,,668,1
千代vs...千代？,/watch?v=jjeDo40lk70,131,忍ninj,37,,668,20
Overwatch　精彩重播,/watch?v=5eE6pRLMWc0,11,忍ninj,37,,668,2
Goat Simulator　與弟弟一起玩　第二集,/watch?v=qFN1POrTUDQ,7,忍ninj,37,,668,1
模擬山羊　與弟弟一起玩,/watch?v=QKx5K73x3Aw,13,忍ninj,37,,668,2
overwatch ep.3 沒有人看,/watch?v=5-Lka1YJDH4,4,忍ninj,37,,668,1
overwatch ep.2 全麥卡利,/watch?v=iGs7oU7sew8,3,忍ninj,37,,668,0
overwatch ep.1,/watch?v=h4Cld0PhAAg,6,忍ninj,37,,668,1
海濤團　假的！！！,/watch?v=Xve-F6JQGYw,8,忍ninj,37,,668,1
當個創世神與阿寶men5526合作生存　ep.1,/watch?v=lFFml4UBQSg,14,忍ninj,37,,668,2
gta5 跳傘,/watch?v=73deTXqgCEU,9,忍ninj,37,,668,1
潛龍諜影　幻痛　隨便玩4,/watch?v=IQheW2tDuIs,10,忍ninj,37,,668,1
潛龍諜影　幻痛　隨便玩4,/watch?v=-BB2IPJZ_hk,3,忍ninj,37,,668,0
潛龍諜影　幻痛　隨便玩3,/watch?v=FqmgOug7SPA,7,忍ninj,37,,668,1
潛龍諜影　幻痛　隨便玩2,/watch?v=d0o__XVnSwA,11,忍ninj,37,,668,2
潛龍諜影　幻痛　隨便玩,/watch?v=aOLzX5tLzyI,12,忍ninj,37,,668,2
全境封鎖　第二集,/watch?v=pttFPVHiB8U,7,忍ninj,37,,668,1
全境封鎖　第一集,/watch?v=KVbuCrm4aB4,12,忍ninj,37,,668,2
火影忍者疾風傳 終極風暴4　六道鳴人vs鳴人,/watch?v=yD1qHVKxNUE,361,忍ninj,37,,668,54
小小的故事,/watch?v=nCCTjCArqnY,31,忍ninj,37,,668,5
泰拉瑞亞 ep.1,/watch?v=dGdPbBEwjO4,13,忍ninj,37,,668,2
超漂亮,/watch?v=X7f7eGLKdDc,19,忍ninj,37,,668,3
gta 5 ep.3,/watch?v=OZqNQfVF2BI,16,忍ninj,37,,668,2
潛龍諜影　p4,/watch?v=_UeH80tEa3c,14,忍ninj,37,,668,2
刺客教條 ep.4,/watch?v=tp9NzwkZRnI,17,忍ninj,37,,668,3
