title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
ミリオンゴッド凱旋でSGGから始まる事故【凱旋天井狙いシリーズ】聖#40,/watch?v=2qicX6VDUHk,224387,桜鷹虎〈さくらたかとら〉,,1日前,247121,91
【レア台】仮面ライダーブラック最強上乗せ特化に10万円で10時間スロット諭吉実戦養分実践BLACKパチンコ新台仮面ライダー轟音記念,/watch?v=YeL0B2CVU7U,169717,桜鷹虎〈さくらたかとら〉,,2日前,247121,69
【新台甘デジ】甘デジ花満開10万円で10回当てたら勝てる？パチンコ諭吉実戦さらば養分【ツインループ】 虎#56,/watch?v=JBK_M6ZyQPY,88170,桜鷹虎〈さくらたかとら〉,,2日前,247121,36
【サラリーマン金太郎出世回胴編】10万円でまさかの展開10時間[スロット養分実戦][懐スロ]原#34,/watch?v=cdpi9CZegbo,111219,桜鷹虎〈さくらたかとら〉,,4日前,247121,45
【新台】P鳳凰∞LM1/197を休日10万円で10時間パチンコ実践諭吉養分実戦,/watch?v=5Rk--cZM6Qo,81342,桜鷹虎〈さくらたかとら〉,,5日前,247121,33
【衝撃映像】遊タイムのバグ？ [フィーバーアクエリオンALL STARS LIGHTver][新台] 桜#157,/watch?v=TvEJ-AYcHTg,166744,桜鷹虎〈さくらたかとら〉,,5日前,247121,67
【新台甘デジ】G1ドリーム駿10万円で10回当てたら勝てる？パチンコ諭吉実戦さらば養分 虎#55,/watch?v=r4bMOKBKDRo,95582,桜鷹虎〈さくらたかとら〉,,6日前,247121,39
最終回〜さらばグランドオープン〜虎#54,/watch?v=1wh6xczkX44,189512,桜鷹虎〈さくらたかとら〉,,1週間前,247121,77
【新台 戦コレ4】純増10枚を10時間打ったら勝てるのか？ [戦国コレクション4] 聖#39,/watch?v=wQRWykgatbo,237516,桜鷹虎〈さくらたかとら〉,,1週間前,247121,96
【新台】ハーデスザワールド10万円で10時間パチンコ実践諭吉養分実戦Pアナザーゴッド,/watch?v=TBbPihvNArE,284087,桜鷹虎〈さくらたかとら〉,,1週間前,247121,115
【新台】ハイパーブラックジャック10万円で10時間スロット諭吉実戦養分実践,/watch?v=EqMexv6FYkA,273956,桜鷹虎〈さくらたかとら〉,,1週間前,247121,111
ミリオンゴッド凱旋でPUSHボタン無反応から、金扉引いた結果【凱旋天井狙いシリーズ】聖#38,/watch?v=4lnUzCByWqU,411180,桜鷹虎〈さくらたかとら〉,,1週間前,247121,166
夏は高設定10時間実践 桜#156,/watch?v=PIBbIfxCD3M,115306,桜鷹虎〈さくらたかとら〉,,1週間前,247121,47
【疑惑検証】牙狼タスクオブゴッド激甘なのか？【新台真牙狼記念企画】CR牙狼TUSK OF GOD虎#53,/watch?v=97tvfco7oJc,251932,桜鷹虎〈さくらたかとら〉,,2週間前,247121,102
【初代喰霊】フリーズで特戦四課から大量上乗せなるか？[スロット養分実戦][懐スロ]原#33,/watch?v=ySL_gKGxA4s,98041,桜鷹虎〈さくらたかとら〉,,2週間前,247121,40
衝撃映像〜波理論、ホルコン攻略でパチンコ業界が終わる瞬間〜,/watch?v=5F8NuKvwYyg,393373,桜鷹虎〈さくらたかとら〉,,2週間前,247121,159
残り１０セット以上確定【凱旋天井狙いシリーズ】聖#37,/watch?v=QVeRgIhAkzM,176842,桜鷹虎〈さくらたかとら〉,,2週間前,247121,72
【偽物語】10万円で11時間勝負[スロット養分実戦][懐スロ]原#32,/watch?v=OpkkEP-NOvE,89054,桜鷹虎〈さくらたかとら〉,,2週間前,247121,36
GOD2回でこうなる 桜#155,/watch?v=M_TRpJSgi1U,227415,桜鷹虎〈さくらたかとら〉,,2週間前,247121,92
【神回】グランドオープン初日 桜#154,/watch?v=7VpkIZyG8_c,445515,桜鷹虎〈さくらたかとら〉,,2週間前,247121,180
Gゾーン終了１Gの奇跡【凱旋天井狙いシリーズ】聖#36,/watch?v=tOPtomceZxQ,315353,桜鷹虎〈さくらたかとら〉,,3週間前,247121,128
シバター初公判,/watch?v=xVYw-FhZD9Y,468626,桜鷹虎〈さくらたかとら〉,,3週間前,247121,190
【新台】遠山の金さん2遠山桜と華の密偵10万円で10時間パチンコ諭吉実践さらば養分【遊タイム】虎#52,/watch?v=CYSYjpqxSBs,139115,桜鷹虎〈さくらたかとら〉,,3週間前,247121,56
【新台】シャア専用パチスロ 逆襲の赤い彗星10万円で10時間スロット諭吉実戦養分実践#538,/watch?v=gM6dxw9Tpj0,309997,桜鷹虎〈さくらたかとら〉,,3週間前,247121,125
