title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
Astronomia Meme Anime: Somari to Mori no Kamisama,/watch?v=pTyW9WL1CHM,251,理由伯,101,4か月前,7725,3
【怪物彈珠】鱗瀧左近次【超究極】 小五郎 水仙!?,/watch?v=R5QxgyAegXM,83,理由伯,101,6か月前,7725,1
但是我拒絕 強風吹拂,/watch?v=w7RiV7UT9cY,10084,理由伯,101,1年前,7725,131
虛擬偶像 輝夜月 代理版 GSC 黏土人  不專業開箱,/watch?v=FPz4AALsuKE,122,理由伯,101,1年前,7725,2
動漫同好會 アニメガタリ OP&OP10 對比(無音),/watch?v=OAo8-oNBPUg,826,理由伯,101,2年前,7725,11
東京喰種√A ED金克拉,/watch?v=qUGpO5aHPaw,1789,理由伯,101,4年前,7725,23
Charlotte08片段,/watch?v=ONeUvwomRWQ,51,理由伯,101,4年前,7725,1
[LOL]魔性提摩,/watch?v=60nTBAt7t7A,252,理由伯,101,5年前,7725,3
喵帕斯 威風堂堂,/watch?v=yf5DFDp81Jc,20245,理由伯,101,5年前,7725,262
阿甘妙世界 秘密組織,/watch?v=IIKSKv2dKEk,23097,理由伯,101,5年前,7725,299
阿甘妙世界 小心啦泰迪熊,/watch?v=NM0Ap1xFt44,2093,理由伯,101,5年前,7725,27
poi千本櫻,/watch?v=qQE-5YY8j_U,10593,理由伯,101,5年前,7725,137
JOJO的奇妙冒險星塵鬥士埃及篇ED,/watch?v=Yp9HZ6wmuZ8,9420,理由伯,101,5年前,7725,122
JOJO的奇妙冒險 伊奇,/watch?v=oa3DX8hKsoc,25775,理由伯,101,5年前,7725,334
JOJO的奇妙冒險 伊奇,/watch?v=HMWWl2BDE-I,11985,理由伯,101,5年前,7725,155
阿甘妙世界 高能注意,/watch?v=8VzQTWliKv0,6939,理由伯,101,5年前,7725,90
