title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
S T A N D P O W E R,/watch?v=sSbFtcgDDoQ,24,百力滋,135,6日前,864,3
送寶石啦,/watch?v=_Ro6L7A2OMU,32,百力滋,135,6日前,864,4
比特彩蛋,/watch?v=KIdQAx92hns,13,百力滋,135,1週間前,864,2
卡耳,/watch?v=AZr4Ue5YY28,29,百力滋,135,2週間前,864,3
《JOJOMAD》バッド・ダンス・ホール  壯烈成仁,/watch?v=dFgu5l-IdMw,132,百力滋,135,3か月前,864,15
我就鴨,/watch?v=UacmZvVt8HQ,48,百力滋,135,4か月前,864,6
《荒野亂鬥》我有新能力之星了,/watch?v=fnfVy3gOTXs,105,百力滋,135,8か月前,864,12
《貓咪大戰爭》大霹靂2,/watch?v=JaWoFelYVfA,30,百力滋,135,9か月前,864,3
Q&A！,/watch?v=LN_VAzTAyso,65,百力滋,135,9か月前,864,8
《貓咪大戰爭》20樓,/watch?v=N5AiWBahknE,26,百力滋,135,9か月前,864,3
《JOJO的奇妙冒險AMD》烈の瞬 箭,/watch?v=yRdZhZ9RaZE,895,百力滋,135,9か月前,864,104
背叛者的鎮魂曲 混音版,/watch?v=VmdRyGpMddU,705,百力滋,135,9か月前,864,82
WRYYYYYYYYYYYY,/watch?v=rr2hp_LJKXY,88,百力滋,135,9か月前,864,10
《大狂亂逆襲系列》大狂亂小貓,/watch?v=-TUejhSVxss,26,百力滋,135,9か月前,864,3
《惡搞亂鬥》改版後超強波可,/watch?v=vxy5b2oUYMs,81,百力滋,135,10か月前,864,9
《JOJO的奇妙冒險MAD》喬可拉特，賽可VS布加拉提，喬魯諾，米4,/watch?v=DUSYLEhjZJI,210,百力滋,135,10か月前,864,24
《Jojo的奇妙冒險MAD》催淚向yesterday,/watch?v=qSsUxiqLmhM,275,百力滋,135,10か月前,864,32
《荒野亂鬥》惡搞搶先看 修正版,/watch?v=La_jFh8-bEE,90,百力滋,135,10か月前,864,10
《荒野亂鬥》惡搞搶先看,/watch?v=bBfHxM7yMDQ,189,百力滋,135,10か月前,864,22
《大狂亂逆襲系列》狂亂獅子貓,/watch?v=uCZXSLu_83A,50,百力滋,135,10か月前,864,6
《Q&A》,/watch?v=6wnwal9EdaQ,83,百力滋,135,10か月前,864,10
《惡搞貓咪大戰爭》這4貓戰？！,/watch?v=FKaZhxzOzNk,104,百力滋,135,10か月前,864,12
《大狂亂逆襲系列》大狂亂肌肉腿#2,/watch?v=YuWqQa6jIX8,49,百力滋,135,10か月前,864,6
《大狂亂逆襲系列》大狂亂賈拉米貓#1,/watch?v=PEuDnq8DQG4,38,百力滋,135,10か月前,864,4
《百力滋的不專業製作》吸ㄎㄧㄤ吸起來!,/watch?v=Z-7cLeHtJjk,90,百力滋,135,11か月前,864,10
傳說稀有？！？！,/watch?v=Ir86rKC8Q4U,133,百力滋,135,11か月前,864,15
《jojo的奇妙冒險MAD》第4部紀念,/watch?v=E81nv5cs7Rc,76,百力滋,135,11か月前,864,9
《純音樂》Avalon,/watch?v=vnjFYYmkmNg,43,百力滋,135,11か月前,864,5
