title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
犬夜叉──魂送りの歌,/watch?v=jnyMLIivFgg,403478,耶姆塔特,1010,3年前,109106,370
黑貓──この世の歌,/watch?v=tDpHH6XUvi8,4204,耶姆塔特,1010,3年前,109106,4
夢幻天女─Cross My Heart,/watch?v=5SiJ96092xc,12960,耶姆塔特,1010,4年前,109106,12
夢幻天女─ONE~この世が界てても離れない~ (One～世界末日也不分離),/watch?v=5m24sRTLFeo,27433,耶姆塔特,1010,4年前,109106,25
夢幻天女─スカーレット(Scarlet),/watch?v=x30hs_AdyOI,21969,耶姆塔特,1010,4年前,109106,20
夢幻遊戲─ときめきの導火線(心跳的導火線),/watch?v=VMBrE7RiYxg,182018,耶姆塔特,1010,4年前,109106,167
幻夢遊戲玄武開傳─君が微笑むなら(如果你微笑),/watch?v=4J7a8qGJiZE,17388,耶姆塔特,1010,6年前,109106,16
番凩(玄武開傳版),/watch?v=PNPRjSgV7Mo,131951,耶姆塔特,1010,6年前,109106,121
幻夢遊戲玄武開傳─Cross,/watch?v=0RLNZeksHIw,94630,耶姆塔特,1010,6年前,109106,87
幻夢遊戲玄武開傳─永遠の花,/watch?v=JNaNYd-mkJY,268481,耶姆塔特,1010,6年前,109106,246
幻夢遊戲玄武開傳─ゴンドラの唄(船歌),/watch?v=oZ2qkBOOp2I,35651,耶姆塔特,1010,6年前,109106,33
