title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
Taiwan Tainan sound of rain 08/27 2020,/watch?v=t52V4fey6fI,16,舞食男嘉哥danc,1830,,46,35
YOUTUBE DANCE POPPING 2020-疫情期間房間popping-4,/watch?v=d7r6RrWMN9c,23,舞食男嘉哥danc,1830,,46,50
GO TO SLEEP Ocean Waves Nature Sounds 2020 Relaxation Meditation Sleep-海浪 浪濤 幫助入睡 減緩失眠 助眠 大自然海灘 海浪之聲,/watch?v=TDTdTiZhepc,16,舞食男嘉哥danc,1830,,46,35
GO TO SLEEP WITH RAIN SOUNDS 2020-relaxing sounds for insomnia symptoms and sleeping disorders 失眠 舒壓,/watch?v=Lim8FxbffoM,17,舞食男嘉哥danc,1830,,46,37
YOUTUBE DANCE POPPING 2020- Busta Rhymes popping-3,/watch?v=qSWAny52gwE,26,舞食男嘉哥danc,1830,,46,57
YOUTUBE POPPING DANCE 2020-MR.GAGO,/watch?v=r9ZUWSFJmXA,41,舞食男嘉哥danc,1830,,46,89
YOUTUBE DANCE POPPING 2020-疫情期間房間popping-2,/watch?v=30nbpqkyExk,23,舞食男嘉哥danc,1830,,46,50
YOUTUBE DANCE POPPING 2020-疫情期間房間popping-1,/watch?v=onjPJBAIjTI,38,舞食男嘉哥danc,1830,,46,83
嘉哥popping clip-9,/watch?v=GSFfMltPomE,29,舞食男嘉哥danc,1830,,46,63
嘉哥popping clip-8,/watch?v=LL4BSfJLJU0,47,舞食男嘉哥danc,1830,,46,102
嘉哥popping clip-7,/watch?v=tKIFG5Ba3eA,35,舞食男嘉哥danc,1830,,46,76
嘉哥popping clip-6,/watch?v=W0JdRtXYPy4,37,舞食男嘉哥danc,1830,,46,80
嘉哥popping clip-5,/watch?v=krjFhyaCAhs,36,舞食男嘉哥danc,1830,,46,78
嘉哥popping clip-4,/watch?v=Kb3g_4m4ULc,42,舞食男嘉哥danc,1830,,46,91
嘉哥popping clip-3,/watch?v=Yxa9yf8JCMM,37,舞食男嘉哥danc,1830,,46,80
我練舞的模式 就是網路音樂隨便跳 所以別再問我歌名啦 我沒再記 拍謝 哈哈,/watch?v=L-BPlL_zHBc,78,舞食男嘉哥danc,1830,,46,170
嘉哥popping clip-2,/watch?v=Nm080g4MV-c,59,舞食男嘉哥danc,1830,,46,128
嘉哥popping clip-1,/watch?v=UwkcZqMMeK0,48,舞食男嘉哥danc,1830,,46,104
嘉哥房間poppin-09,/watch?v=MoTaxqnllOc,35,舞食男嘉哥danc,1830,,46,76
嘉哥房間poppin-08,/watch?v=qptykomOzuI,32,舞食男嘉哥danc,1830,,46,70
嘉哥房間poppin-07,/watch?v=MLaIxaBmy90,24,舞食男嘉哥danc,1830,,46,52
嘉哥房間poppin-06,/watch?v=VJACnz1rwSs,45,舞食男嘉哥danc,1830,,46,98
嘉哥房間poppin-05,/watch?v=nrZiaxpDIFw,34,舞食男嘉哥danc,1830,,46,74
嘉哥房間poppin-04,/watch?v=KUHwBuyx-ts,31,舞食男嘉哥danc,1830,,46,67
嘉哥房間poppin-03,/watch?v=vtdjED1_maw,33,舞食男嘉哥danc,1830,,46,72
嘉哥房間poppin-02,/watch?v=zSmz-h6iMsw,39,舞食男嘉哥danc,1830,,46,85
嘉哥房間poppin-01,/watch?v=rWo4P6EA2tE,47,舞食男嘉哥danc,1830,,46,102
嘉哥in da house popping-8,/watch?v=d4lKIgEg-tg,51,舞食男嘉哥danc,1830,,46,111
嘉哥in da house popping-7,/watch?v=GE58_jIvOxs,33,舞食男嘉哥danc,1830,,46,72
嘉哥in da house popping-6,/watch?v=4NDn3TRzRyk,98,舞食男嘉哥danc,1830,,46,213
嘉哥in da house popping-5,/watch?v=G1kSOyhgcUI,34,舞食男嘉哥danc,1830,,46,74
嘉哥in da house popping-4,/watch?v=C2j-OYTPgpQ,43,舞食男嘉哥danc,1830,,46,93
嘉哥in da house popping-3,/watch?v=PaPnmmENB_8,41,舞食男嘉哥danc,1830,,46,89
嘉哥in da house popping-2,/watch?v=MpIYiw9YELQ,42,舞食男嘉哥danc,1830,,46,91
嘉哥in da house popping-1,/watch?v=y5z23991JEA,42,舞食男嘉哥danc,1830,,46,91
SIA-the FIGHT by mr.gago嘉哥,/watch?v=a99quGnQ9hY,18,舞食男嘉哥danc,1830,,46,39
mr.gago嘉哥popping-05,/watch?v=VehMsvJWsS0,42,舞食男嘉哥danc,1830,,46,91
mr.gago嘉哥popping-04,/watch?v=Xyu11c7uxzk,33,舞食男嘉哥danc,1830,,46,72
mr.gago嘉哥popping-03,/watch?v=pLQVn3eAMqM,33,舞食男嘉哥danc,1830,,46,72
mr.gago嘉哥popping-02,/watch?v=LAk2ixVxGtA,44,舞食男嘉哥danc,1830,,46,96
mr.gago嘉哥popping-01,/watch?v=_7FYVyUlsys,44,舞食男嘉哥danc,1830,,46,96
mr.gago room popper 6,/watch?v=D-54_vqXiWw,30,舞食男嘉哥danc,1830,,46,65
mr.gago room popper 5,/watch?v=MVJhK-AqGXA,30,舞食男嘉哥danc,1830,,46,65
mr.gago room popper 4,/watch?v=UOim_SMc5tw,61,舞食男嘉哥danc,1830,,46,133
mr.gago room popper 3,/watch?v=BG73gFCmL_Y,31,舞食男嘉哥danc,1830,,46,67
mr.gago room popper 2,/watch?v=WEHQDXiq7wQ,38,舞食男嘉哥danc,1830,,46,83
mr.gago room popper 1,/watch?v=XZPwukWdduA,28,舞食男嘉哥danc,1830,,46,61
嘉哥 room poppin9,/watch?v=o8i91Y-yaIk,43,舞食男嘉哥danc,1830,,46,93
嘉哥 room poppin8,/watch?v=p0hOed7Gjq0,36,舞食男嘉哥danc,1830,,46,78
嘉哥 room poppin7,/watch?v=uaKU5D3SMF0,30,舞食男嘉哥danc,1830,,46,65
嘉哥 room poppin6,/watch?v=RpONJFv8zXE,37,舞食男嘉哥danc,1830,,46,80
嘉哥 room poppin5,/watch?v=VYyPmdO327M,65,舞食男嘉哥danc,1830,,46,141
嘉哥 room poppin4,/watch?v=ibnc9j09-AQ,38,舞食男嘉哥danc,1830,,46,83
嘉哥 room poppin3,/watch?v=8CikdZs4hkw,45,舞食男嘉哥danc,1830,,46,98
嘉哥 room poppin2,/watch?v=FawTZseaQOM,41,舞食男嘉哥danc,1830,,46,89
嘉哥 room poppin1,/watch?v=i_nuN8HCXxQ,44,舞食男嘉哥danc,1830,,46,96
Mr.GAGO IN DA HOUSE9,/watch?v=RHoDv7AztT0,32,舞食男嘉哥danc,1830,,46,70
Mr.GAGO IN DA HOUSE0,/watch?v=EJ8p68uE5uM,30,舞食男嘉哥danc,1830,,46,65
waving my life＿電流舞蹈,/watch?v=S2W5n7gJjis,209,舞食男嘉哥danc,1830,,46,454
Mr.GAGO IN DA HOUSE7,/watch?v=p6xmBeCvDsk,32,舞食男嘉哥danc,1830,,46,70
Mr.GAGO IN DA HOUSE6,/watch?v=P84kc--6xxs,42,舞食男嘉哥danc,1830,,46,91
Mr.GAGO IN DA HOUSE5,/watch?v=yU3vhXqBOko,34,舞食男嘉哥danc,1830,,46,74
Mr.GAGO IN DA HOUSE4,/watch?v=u5uIpu5QaCQ,30,舞食男嘉哥danc,1830,,46,65
Mr.GAGO IN DA HOUSE3,/watch?v=2WFOBszjqdM,42,舞食男嘉哥danc,1830,,46,91
Mr.GAGO IN DA HOUSE2,/watch?v=qvqNYRUwbMY,42,舞食男嘉哥danc,1830,,46,91
Mr.GAGO IN DA HOUSE1,/watch?v=EGXwBCArm28,43,舞食男嘉哥danc,1830,,46,93
GAGO popping5,/watch?v=ZXX4M2-YRzs,48,舞食男嘉哥danc,1830,,46,104
