title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
『よふかしのうた』PV　関東篇　♪「逃亡」ヨルシカ,/watch?v=uqmphKHPabI,11901,週刊少年サンデーTV,25200,1週間前,129685,9
『よふかしのうた』PV　中部篇　♪「逃亡」ヨルシカ,/watch?v=fprIO2SVTsU,6407,週刊少年サンデーTV,25200,1週間前,129685,5
【ロングver 】史上初!?　少年サンデー　表紙イラスト作画作業公開!!,/watch?v=dUEORbyfwTY,4872,週刊少年サンデーTV,25200,1週間前,129685,4
『よふかしのうた』PV　北海道・東北篇　♪「逃亡」ヨルシカ,/watch?v=UrpZQoMkLSk,13240,週刊少年サンデーTV,25200,1週間前,129685,10
『よふかしのうた』PV　近畿篇　♪「逃亡」ヨルシカ,/watch?v=mRRFEOSx8Oo,7068,週刊少年サンデーTV,25200,1週間前,129685,5
【もっとロングver. 】史上初!?　少年サンデー　表紙イラスト作画作業公開!!,/watch?v=lbp24_RNgo0,1434,週刊少年サンデーTV,25200,1週間前,129685,1
『よふかしのうた』PV　中国・四国篇　♪「逃亡」ヨルシカ,/watch?v=Kmr-8C2sazI,5250,週刊少年サンデーTV,25200,1週間前,129685,4
【ショートver 】史上初!?　少年サンデー　表紙イラスト作画作業公開!!,/watch?v=CWPZZp3ikLk,1252,週刊少年サンデーTV,25200,1週間前,129685,1
『よふかしのうた』PV　九州・沖縄篇　♪「逃亡」ヨルシカ,/watch?v=8Wrs_DUo6GI,7516,週刊少年サンデーTV,25200,1週間前,129685,6
柳本光晴最新作！！『龍と苺』第1巻TVCM,/watch?v=eRFu3oNGyFc,260500,週刊少年サンデーTV,25200,1週間前,129685,201
『MAO』と『犬夜叉』のコラボ書店フェア開催中！ PVのナレーションは殺生丸！,/watch?v=Uk0ALxjTShU,300765,週刊少年サンデーTV,25200,1週間前,129685,232
『よふかしのうた』PV　♪「逃亡」  ヨルシカ,/watch?v=T535kqz3mgw,620175,週刊少年サンデーTV,25200,1週間前,129685,478
TVアニメ化もされた大人気作『結界師』が完全版でついに登場！,/watch?v=zYXthSoL07Y,15761,週刊少年サンデーTV,25200,2か月前,129685,12
「週刊少年サンデー」で大人気連載中の『ノケモノたちの夜』。,/watch?v=_bORNTc-1QU,10940,週刊少年サンデーTV,25200,2か月前,129685,8
『名探偵コナン 警察学校編 Wild Police Story』萩原編告知PV,/watch?v=YghrNmec0N8,85804,週刊少年サンデーTV,25200,2か月前,129685,66
祝！TVアニメ化！『魔王城でおやすみ』PV,/watch?v=o3GgRyxooLM,53829,週刊少年サンデーTV,25200,4か月前,129685,42
新章開幕！『よふかしのうた』３巻発売記念PV,/watch?v=eYCes9pACaY,10103,週刊少年サンデーTV,25200,4か月前,129685,8
『魔王城でおやすみ』TVCM,/watch?v=aoTHX83pLiA,22501,週刊少年サンデーTV,25200,4か月前,129685,17
漫画家　高橋留美子　インタビュー～アングレーム国際漫画祭最優秀賞記念～,/watch?v=Nk35KMHPfws,328402,週刊少年サンデーTV,25200,4か月前,129685,253
【申込は5/26まで！】第2回名探偵コナン検定(2級＆3級)開催！～申込者全員に第2回限定クリアファイル2枚セット贈呈～,/watch?v=FzYMsQRiQJk,4568,週刊少年サンデーTV,25200,4か月前,129685,4
『名探偵コナン 警察学校編 Wild Police Story』伊達編告知PV,/watch?v=xC3W-3VFyv8,143193,週刊少年サンデーTV,25200,6か月前,129685,110
コトヤマ最新作『よふかしのうた』PV,/watch?v=OfNaSZ07Fz8,721294,週刊少年サンデーTV,25200,9か月前,129685,556
コトヤマ最新作『よふかしのうた』PV ショートver.,/watch?v=9fXNMIjzN-4,25672,週刊少年サンデーTV,25200,9か月前,129685,20
『名探偵コナン 警察学校編 Wild Police Story』新連載告知PV,/watch?v=TbSfKFMLBVw,828391,週刊少年サンデーTV,25200,10か月前,129685,639
第1回名探偵コナン検定(3級)開催！【申込者全員に限定クリアファイル2枚セット贈呈】,/watch?v=Aq0tpxreRyo,13183,週刊少年サンデーTV,25200,10か月前,129685,10
高橋留美子最新作『MAO（マオ）』コミックス①巻　TVCM （ナレーション：山口勝平、ゆきのさつき）,/watch?v=8ja7JWoTwvk,7977,週刊少年サンデーTV,25200,11か月前,129685,6
サンデーラブコメフェアTVCM（♪コアラモード．／五月雨式ですみません）,/watch?v=w-M7VZ39SQ0,14893,週刊少年サンデーTV,25200,1年前,129685,11
サンデーラブコメフェアPV（♪コアラモード．／五月雨式ですみません）,/watch?v=Qfk4GB7XXho,34694,週刊少年サンデーTV,25200,1年前,129685,27
コミックス新刊発売記念！スパイアクションストーリー『君は008』TVCM,/watch?v=AZFQHciN5bc,7399,週刊少年サンデーTV,25200,1年前,129685,6
高橋留美子最新作『MAO（マオ）』PV 犬夜叉とかごめが第1話を解説！！,/watch?v=mxtaBrjCzIQ,118639,週刊少年サンデーTV,25200,1年前,129685,91
高橋留美子最新作『MAO（マオ）』TVCM（ナレーション：山口勝平、ゆきのさつき）,/watch?v=gaxvOokOUj0,52770,週刊少年サンデーTV,25200,1年前,129685,41
［からくりサーカス］マリオネット・エスケープ,/watch?v=EVOFsMmjkDM,3508,週刊少年サンデーTV,25200,1年前,129685,3
大人気VTuber・月ノ美兎出演！『トニカクカワイイ』TVCM,/watch?v=VXtkHTfmv-Y,80915,週刊少年サンデーTV,25200,1年前,129685,62
『映画刀剣乱舞シナリオブック』TVCM,/watch?v=kuK4QzpXN2c,1578,週刊少年サンデーTV,25200,1年前,129685,1
『映画刀剣乱舞公式フォトブック』TVCM,/watch?v=43ZimIk0KSA,1638,週刊少年サンデーTV,25200,1年前,129685,1
“ウインターカップ2018”コラボ記念！ バスケ漫画『switch』PV,/watch?v=Ps0FCWjp3CA,16385,週刊少年サンデーTV,25200,1年前,129685,13
灰原哀インタビュー［ゼロの日常2巻篇］,/watch?v=wAb9LnNvDQw,20350,週刊少年サンデーTV,25200,1年前,129685,16
灰原哀インタビュー［名探偵コナン95巻篇］,/watch?v=u5TS-zFbeNo,38672,週刊少年サンデーTV,25200,1年前,129685,30
灰原哀インタビュー［犯沢さん3巻篇］,/watch?v=EgXodI2l7pg,12886,週刊少年サンデーTV,25200,1年前,129685,10
［名探偵コナン ゼロの日常］コミックス2巻発売中!!,/watch?v=4EvC0Tk4k8U,12260,週刊少年サンデーTV,25200,1年前,129685,9
［トニカクカワイイ］コミックス第2巻発売中!!,/watch?v=K5DTuaGoICU,64146,週刊少年サンデーTV,25200,2年前,129685,49
［死神坊ちゃん］コミックス第3巻発売中!!,/watch?v=ffsN6dQKn6M,10163,週刊少年サンデーTV,25200,2年前,129685,8
［イナズマイレブン～ペンギンを継ぐ者～］PV６０秒　 DVD付き特装版コミックス8/24発売!!,/watch?v=LCyKwrmT5SI,31924,週刊少年サンデーTV,25200,2年前,129685,25
［イナズマイレブン～ペンギンを継ぐ者～］PV３０秒　 DVD付き特装版コミックス8/24発売!!,/watch?v=l8FVf3AcXrk,4380,週刊少年サンデーTV,25200,2年前,129685,3
［名探偵コナン ゼロの日常］コミックス第1巻発売中!!,/watch?v=waTX-2UnrGk,22885,週刊少年サンデーTV,25200,2年前,129685,18
青山剛昌描き下ろし「名探偵コナン ゼロの執行人 額装複製原画」応募者全員サービス!!,/watch?v=IRMlW80ka3Y,15621,週刊少年サンデーTV,25200,2年前,129685,12
【サンデーうぇぶり】『おとこのこ妻』クリスタルな洋介先生　作画ムービー！！,/watch?v=2AlkVQ8yzs0,4755,週刊少年サンデーTV,25200,2年前,129685,4
【サンデーうぇぶり】『ひとつばな』ミナミ先生　作画ムービー！！,/watch?v=i4C_lH4Ft3I,3330,週刊少年サンデーTV,25200,2年前,129685,3
【サンデーうぇぶり】『汚物は消毒です』田口ケンジ先生　作画ムービー！！,/watch?v=fh6wRZHPwxY,2033,週刊少年サンデーTV,25200,2年前,129685,2
【サンデーうぇぶり】『死神坊ちゃんと黒メイド』井上小春先生　作画ムービー！！,/watch?v=8abEpSW3HZg,21371,週刊少年サンデーTV,25200,2年前,129685,16
『死神坊ちゃんと黒メイド』１巻発売記念！,/watch?v=8-mmWqCfXrk,49302,週刊少年サンデーTV,25200,2年前,129685,38
【サンデーうぇぶり新人賞応援企画！】『ハヤテのごとく！』畑健二郎先生　作画ムービー,/watch?v=beX26W8Hx-w,10167,週刊少年サンデーTV,25200,2年前,129685,8
青山剛昌『名探偵コナン』歴史的シーン作画ムービー,/watch?v=y3ubuYTpVII,209375,週刊少年サンデーTV,25200,2年前,129685,161
【サンデーうぇぶり】『ジンメン』カトウタカヒロ先生　作画ムービー！！,/watch?v=ObWa5eVpiWQ,9369,週刊少年サンデーTV,25200,2年前,129685,7
『キング・オブ・アイドル』第2巻発売中!!,/watch?v=Fv2dY1AwIP4,7788,週刊少年サンデーTV,25200,2年前,129685,6
少年サンデー40号[名探偵コナン]紅の修学旅行編,/watch?v=KO0B6xVqYDk,146091,週刊少年サンデーTV,25200,2年前,129685,113
天使とアクト!! 第1話 モーションコミック③,/watch?v=H_sqe8JnN0E,450220,週刊少年サンデーTV,25200,3年前,129685,347
