title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
JoJo的奇幻冒險(三喬亂入版),/watch?v=hC-y1n3fwnY,4,雷霆,14,19時間前,18,22
雷霆的旅遊日記第三集端午節紀念影片,/watch?v=p8O9IL2WGfo,24,雷霆,14,2か月前,18,133
我在七年後等著雷霆,/watch?v=3CIXDXlnBJU,6,雷霆,14,作成者:2か月前,18,33
雷霆玩量子特工,/watch?v=s-ZxyP8R7mg,11,雷霆,14,3か月前,18,61
雷霆旅遊日記第二集,/watch?v=-2ZkilJCLYc,15,雷霆,14,8か月前,18,83
雷霆的旅遊日記,/watch?v=37zo9PM_D1w,47,雷霆,14,9か月前,18,261
雷霆到海生館,/watch?v=RQXsJ_GRFpI,33,雷霆,14,1年前,18,183
雷霆的原未生存EP. 3,/watch?v=8nLE7TYsmSA,27,雷霆,14,1年前,18,150
雷霆玩野蠻人大作戰,/watch?v=-CtK3eTarF8,7,雷霆,14,1年前,18,39
雷霆玩狙擊3D,/watch?v=Y3kI9ZcPH1k,11,雷霆,14,1年前,18,61
雷霆與翔的原味生存EP. 2,/watch?v=v0KpayGZKnk,14,雷霆,14,2年前,18,78
雷霆與翔的我的世界原味生存EP. 1,/watch?v=-T_DqrBOP50,16,雷霆,14,2年前,18,89
雷霆玩惡龍戰,/watch?v=bcRjkB9Fkig,11,雷霆,14,2年前,18,61
雷霆玩貓咪大戰爭,/watch?v=1BW5LAjYyjM,8,雷霆,14,2年前,18,44
雷霆玩死鬥竟場,/watch?v=b5fmqvgWnus,14,雷霆,14,2年前,18,78
雷霆本來要打傳說結果,/watch?v=e8_C3JzxhJw,9,雷霆,14,2年前,18,50
雷霆玩犯罪遊戲,/watch?v=Fo5tudifEBU,18,雷霆,14,2年前,18,100
雷霆在馬祖廟,/watch?v=nbFBU4R3fnA,32,雷霆,14,2年前,18,178
雷霆玩獸王記(紅百機班),/watch?v=TaxJXxJLIaY,16,雷霆,14,2年前,18,89
雷霆玩Swordig,/watch?v=0F2Jc9SJtjw,8,雷霆,14,2年前,18,44
雷霆玩小蘇打手榴彈,/watch?v=K9Vjgt2K9jM,57,雷霆,14,2年前,18,317
雷霆換藥記,/watch?v=Hvkc_4rVXZU,35,雷霆,14,2年前,18,194
雷霆玩獸王記,/watch?v=32aUfg1kLVQ,29,雷霆,14,2年前,18,161
雷霆玩飛撞車王,/watch?v=LPN_GlVFX2A,10,雷霆,14,2年前,18,56
雷霆與翔打活下去EP.3,/watch?v=S2zUcQqINFk,8,雷霆,14,2年前,18,44
妹妹背者樣娃娃(傳說隊決版),/watch?v=_4r9I0idZ-Y,85,雷霆,14,2年前,18,472
雷霆交大家如何爆怨妳不喜歡的呈是,/watch?v=vI1hGBCj4Dg,18,雷霆,14,2年前,18,100
雷霆特別節目,/watch?v=QPcLNSozCiA,42,雷霆,14,2年前,18,233
雷霆說一首歌的遊來,/watch?v=GZFKVQMWYKU,11,雷霆,14,2年前,18,61
雷霆玩丟書巴少年,/watch?v=NLs60Bc_uvE,10,雷霆,14,2年前,18,56
雷霆當開車超人,/watch?v=QnHGFzS0P2E,26,雷霆,14,2年前,18,144
雷霆玩UNKILLED,/watch?v=SqK_EtZt1xg,9,雷霆,14,2年前,18,50
雷霆玩機器人大戰,/watch?v=65ZZMbAJQZI,9,雷霆,14,2年前,18,50
雷霆玩活下去EP.3,/watch?v=n5F5N1rjQhk,9,雷霆,14,2年前,18,50
雷霆玩活下去EP.2,/watch?v=5oV3RBezUlo,7,雷霆,14,2年前,18,39
雷霆的手集冊,/watch?v=22umqUCU02E,26,雷霆,14,2年前,18,144
雷霆玩活下去,/watch?v=S5VxB0U-g-M,13,雷霆,14,2年前,18,72
雷霆玩飛車派對ep.2,/watch?v=cG2YNkybWeE,13,雷霆,14,2年前,18,72
雷霆玩殺大象,/watch?v=Gh4Vzb6FRYo,11,雷霆,14,2年前,18,61
雷霆玩跳跳羊,/watch?v=b-CeQxVnJwE,7,雷霆,14,2年前,18,39
雷霆玩紫青双劍(上),/watch?v=1-cQLGMVVJQ,17,雷霆,14,2年前,18,94
雷霆與翔單挑3D像素射射擊,/watch?v=Q6md8tY5b5g,10,雷霆,14,2年前,18,56
雷霆第一次拍開箱影片,/watch?v=ngA3NkJnr7o,38,雷霆,14,2年前,18,211
"雷霆與翔玩泰拉瑞亞ep,2",/watch?v=c6p5YV3gwXM,35,雷霆,14,2年前,18,194
雷霆玩荒野ep.2,/watch?v=S-gsd7iUPUc,12,雷霆,14,2年前,18,67
雷霆玩小孩下樓梯,/watch?v=ppyxbWQwiU8,9,雷霆,14,2年前,18,50
雷霆玩荒野,/watch?v=VV7VmrjFsVg,19,雷霆,14,2年前,18,106
雷霆玩王國記元,/watch?v=gztS_HYxKFA,17,雷霆,14,2年前,18,94
雷霆玩大爭戰,/watch?v=PkkNqKcDsOg,12,雷霆,14,2年前,18,67
雷霆玩神魔(下),/watch?v=ffUybDM3Tn0,7,雷霆,14,2年前,18,39
雷霆玩神魔(上),/watch?v=mrprFUlZWc4,5,雷霆,14,2年前,18,28
雷霆玩武裝精英,/watch?v=YwXAt4V6HSM,13,雷霆,14,2年前,18,72
雷霆玩哥部林到具舞,/watch?v=5lnqdVdm2Vg,9,雷霆,14,2年前,18,50
雷霆玩三國志手機版,/watch?v=P_Gc5N_10Cs,21,雷霆,14,2年前,18,117
