title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
All New Naruto Next Generations DLC Ultimate Jutsu | Naruto Storm 4: Road to Boruto Nintendo Switch,/watch?v=afjvKlsgzSE,189326,Anime Games Onl,290000,,21234,892
Official Momoshiki & Kinshiki DLC Moveset | NARUTO Storm 4 Nintendo Switch,/watch?v=ch0y_xmIDTE,10777,Anime Games Onl,290000,,21234,51
"My Hero One's Justice 2 Opening, Ending, Alternate Ending | 僕のヒーローアカデミア",/watch?v=DZLM6RmggHM,1887,Anime Games Onl,290000,,21234,9
One Piece Pirate Warriors 4 Opening Movie (Prologue Intro)  ワンピース 海賊無双4,/watch?v=PI7rGGGlCNE,11735,Anime Games Onl,290000,,21234,55
Endeavor vs Todoroki Shoto - Story - My Hero One's Justice 2 | 僕のヒーローアカデミア,/watch?v=ot5cJts5B10,3374,Anime Games Onl,290000,,21234,16
My Hero One's Justice 2 All Characters Gameplay,/watch?v=eyL7W67cfBc,9201,Anime Games Onl,290000,,21234,43
"MY HERO ONE'S JUSTICE 2: Characters Customization, Shop, Mission, Arcade Gameplay",/watch?v=9R_iFHRk6aM,26556,Anime Games Onl,290000,,21234,125
My Hero Academia: One's Justice 2 (My Hero One's Justice 2) ALL TRAILERS,/watch?v=5zKgGPVz1kU,7567,Anime Games Onl,290000,,21234,36
"EARLY KEFLA GAMEPLAY! Ultimate Attack, Super Attacks, and Combos - Dragon Ball FighterZ Season 3 DLC",/watch?v=4Y5fs9dd9hw,6536,Anime Games Onl,290000,,21234,31
"NARUTO STORM 4 2020 DLC: 11 New Next Generation Outfits, 2 Characters Gameplay Screenshots & Trailer",/watch?v=FokJk4ERbSo,20733,Anime Games Onl,290000,,21234,98
"My Hero One's Justice 2 All Characters & Deku 100%, Overhaul v2, Gang Orca Gameplay",/watch?v=ztCn0W5vylg,221916,Anime Games Onl,290000,,21234,1045
Dynamax Mew the Galar Champion vs Former Champ Leon - Pokemon Sword and Shield Gameplay,/watch?v=ir7vCWuQOrQ,6849,Anime Games Onl,290000,,21234,32
Yagami Light and Kane Enter! The Big Bad - JUMP FORCE Story Mode Gameplay Chapter 2,/watch?v=g18VRgk3jvI,11477,Anime Games Onl,290000,,21234,54
Girl Picks Naruto! Vegeta Returns to Evil - JUMP FORCE Story Mode Gameplay Chapter 1,/watch?v=O8upzFqAO8g,8064,Anime Games Onl,290000,,21234,38
JUMP FORCE All Characters Abilities Resistances and Elemental Types,/watch?v=GJKMeiu9sUQ,10180,Anime Games Onl,290000,,21234,48
"Team Naruto, Team Goku, and Team Luffy Give Their Recruitment Pitches  - JUMP FORCE Gameplay",/watch?v=248s81efvmU,17605,Anime Games Onl,290000,,21234,83
Frieza Enters Our Reality and Causes Havoc in New York! Jump Force Story Mode Part 1 (Story Opening),/watch?v=Ob2QZep7RdQ,6794,Anime Games Onl,290000,,21234,32
BORUTO and DAI vs KAGUYA  - Jump Force Gameplay,/watch?v=TxfkL6xenkU,7625,Anime Games Onl,290000,,21234,36
FIRST OFFICIAL DRAGON BALL GAME PROJECT Z ACTION RPG TRAILER,/watch?v=FZHlkAU7LxQ,10470,Anime Games Onl,290000,,21234,49
"DRAGON BALL FIGHTERZ Season 2 DLC Trailer [OFFICIAL] Jiren, Gogeta Blue, DBS Broly, Videl",/watch?v=zkMzN0myG70,33066,Anime Games Onl,290000,,21234,156
OFFICIAL US CONFIRMATION TRAILER! Super Dragon Ball Heroes World Mission on Switch and Steam,/watch?v=cHqpHptKJ_M,10772,Anime Games Onl,290000,,21234,51
ONE PIECE WORLD SEEKER OPENING INTRO CINEMATIC,/watch?v=sXnMAMO8fPs,16602,Anime Games Onl,290000,,21234,78
JUMP FORCE Official Deku (My Hero Academia) and Asta (Black Clover) GAMEPLAY Trailer,/watch?v=GL2CKLjG_Fc,8129,Anime Games Onl,290000,,21234,38
JUMP FORCE First Official Story Trailer,/watch?v=hNttNR4-i84,12947,Anime Games Onl,290000,,21234,61
Dragon Ball FighterZ Ranger 17 and Cooler Gameplay Trailer - DLC Pack 4 on Sept 27,/watch?v=YKJ3JwflvYw,6382,Anime Games Onl,290000,,21234,30
NARUTO to BORUTO Shinobi Striker OFFICIAL Launch Day Trailer,/watch?v=L4QLT2hhfWc,6798,Anime Games Onl,290000,,21234,32
Dragon Ball FighterZ DLC Pack 4 - Full Match Cooler vs Goku Gameplay,/watch?v=dF-en6IwDSw,3929,Anime Games Onl,290000,,21234,19
Dragon Ball Xenoverse 2 Kefla and Super Baby DLC Pack 7 Release Trailer (Extra Pack 3),/watch?v=DYP9fvlVgfE,6221,Anime Games Onl,290000,,21234,29
"JUMP FORCE - New Dragon Ball vs One Piece, Hunter x Hunter Gameplay Trailer and 50+ Screenshots",/watch?v=RjbXH5iREi4,13707,Anime Games Onl,290000,,21234,65
"NEW JUMP FORCE GAMEPLAY TRAILER - Vegeta, Sabo, Sanji, Blackbeard, Gon, Hisoka",/watch?v=6S9tOta25JE,9852,Anime Games Onl,290000,,21234,46
Naruto to Boruto Shinobi Striker Barrier Battle Mode Gameplay and Tutorial,/watch?v=oCi9I8huHBo,3914,Anime Games Onl,290000,,21234,18
My Hero Academia One's Justice All Characters Gameplay and Ultimate Attacks,/watch?v=vQnZuiK-bfc,8188,Anime Games Onl,290000,,21234,39
My Hero Academia One's Justice Mission Mode Gameplay,/watch?v=etBmMhN3u8Q,4088,Anime Games Onl,290000,,21234,19
My Hero Academia One's Justice Story Mode Part 1 Gameplay,/watch?v=En5pPnlr_N0,5102,Anime Games Onl,290000,,21234,24
"All for One vs Grand Torino, Character Customization, More - My Hero Academia One’s Justice Gameplay",/watch?v=GzzGpNZdwSo,4407,Anime Games Onl,290000,,21234,21
"JUMP FORCE Gameplay with All Bleach, Naruto, One Piece, Dragon Ball Z Characters Confirmed So Far",/watch?v=Z-Q_OtGcveA,15874,Anime Games Onl,290000,,21234,75
NARUTO to BORUTO Shinobi Striker NEW Trailer on CLASS TYPES,/watch?v=Fi7u4n5H6uY,12635,Anime Games Onl,290000,,21234,60
My Hero Academia One's Justice Trailer 4 - All Might vs All for One and More Story Mode,/watch?v=XiKgsra7U20,10840,Anime Games Onl,290000,,21234,51
Dragon Ball Xenoverse 2 DLC Pack 7 (EXTRA PACK 3) Trailer,/watch?v=MAV7V6QO5ks,40115,Anime Games Onl,290000,,21234,189
"Naruto to Boruto Shinobi Striker Trailer 5 - Teamwork, Combat, and Battle for the Bases!",/watch?v=VhCQVGI9sHQ,9187,Anime Games Onl,290000,,21234,43
Dragon Ball FighterZ NEW DLC Trailer: The Original DBZ Goku and Vegeta,/watch?v=NomPfupSgg0,8320,Anime Games Onl,290000,,21234,39
Black Clover: Quartet Knights - 24+ Minutes of Story Mode with Anime Cutscenes and 4-vs-4 Gameplay,/watch?v=c-_nwhxjVgc,4896,Anime Games Onl,290000,,21234,23
"Naruto to Boruto Shinobi Striker - Boruto, Sarada, Mitsuki, Gaara GAMEPLAY!",/watch?v=LqbyOrZU1lI,12513,Anime Games Onl,290000,,21234,59
Naruto to Boruto: Shinobi Striker - Hidden Rain Village Giant Gamabunta Boss Battle Gameplay,/watch?v=14v3rkRfI4w,9824,Anime Games Onl,290000,,21234,46
Mario Tennis Aces - How to Beat the Mirror Reflection Room (Step-By-Step Tutorial),/watch?v=I44BFJYIgws,35859,Anime Games Onl,290000,,21234,169
Black Clover Quartet Knights - Mimosa Character Gameplay Trailer,/watch?v=bol7-j-p3KE,4028,Anime Games Onl,290000,,21234,19
"My Hero Academia: One's Justice - Tomura Shigaraki Combos, Ultimate Attacks Gameplay",/watch?v=xp1Zf-u6v-8,4776,Anime Games Onl,290000,,21234,22
Black Clover Quartet Knights Characters Trailer - Noelle with Asta and Yuno,/watch?v=di2PXlfPNLo,5836,Anime Games Onl,290000,,21234,27
JUMP FORCE - Death Note Teaser Trailer with Ryuk and Yagami Light,/watch?v=9QDlFsHoh4Y,10687,Anime Games Onl,290000,,21234,50
Naruto to Boruto Shinobi Striker - New Samurai Rescue Mission Gameplay (E3 2018),/watch?v=mNhLS9Kmccs,9086,Anime Games Onl,290000,,21234,43
My Hero Academia One's Justice Gameplay - All Might vs Dabi Full Fight (E3 2018),/watch?v=82KCbD4LcDU,35203,Anime Games Onl,290000,,21234,166
My Hero Academia One's Justice Gameplay - Midoriya vs Todoroki Full Fight (E3 2018),/watch?v=8ZGOteb_-eg,113120,Anime Games Onl,290000,,21234,533
"My Hero Academia One's Justice - Iida Tenya Combos, Poses, Ultimate Attacks Gameplay",/watch?v=UBBoX73x6Dg,14848,Anime Games Onl,290000,,21234,70
JUMP FORCE Gameplay Sasuke Uchiha (Naruto Shippuden) vs Roronoa Zoro (One Piece),/watch?v=yrAtpPv3X0I,24471,Anime Games Onl,290000,,21234,115
Dragon Ball FighterZ Nintendo Switch Gameplay Trailer (E3 2018),/watch?v=2bDRA2VPND4,10120,Anime Games Onl,290000,,21234,48
"My Hero Academia One's Justice E3 2018 Trailer [OFFICIAL] New Characters Gameplay, October Release",/watch?v=u13Wj_sdkXo,13240,Anime Games Onl,290000,,21234,62
Jump Force Gameplay (Direct Feed) Battle in New York City's Times Square & the Alps' Matterhorn,/watch?v=zNomd370bug,21026,Anime Games Onl,290000,,21234,99
"JUMP FORCE Gameplay 12+ Minutes, Producer Interview E3 2018 (Naruto x Dragon Ball x One Piece Game)",/watch?v=L_m2TH7ldHQ,64409,Anime Games Onl,290000,,21234,303
New Naruto x DBZ x One Piece Cross Over Game - JUMP FORCE E3 2018 TRAILER!,/watch?v=QSNYFVDi6E0,17522,Anime Games Onl,290000,,21234,83
