title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
First Time Luffy Meet With A Witch | LUFFY ZORO vs HAWKINS FULL FIGHT !!! (English Sub),/watch?v=6mb8FNJN0HU,76510,Callum R,2310,,53466,143
Shanks Was Surprised to See Luffy Become The Fifth Yonkou | Luffy New Bounty (English Sub),/watch?v=7FbSAAsIzYo,202870,Callum R,2310,,53466,379
Luffy Very Angry Seeing Kaido Kill His Friends | LUFFY VS KAIDO FULL FIGHT !!! (English Sub),/watch?v=J0Zab8naT3k,211422,Callum R,2310,,53466,395
Only Luffy is a Pirate Who is Respected by Fujitora | LUFFY vs FUJITORA FULL FIGHT !!! (English Sub),/watch?v=MVyQs5lXhFU,115585,Callum R,2310,,53466,216
Shanks Came to Stop The War And Fight With All Vice Admirals | Whitebeard and Ace Funerals,/watch?v=4-pM0_uMQ3U,193,Callum R,2310,,53466,0
All Big Mom's Family Very Angry About The Death of Katakuri | Jinbei Promise to Luffy (English Sub),/watch?v=9mA_SEPXNGo,472,Callum R,2310,,53466,1
Katakuri Smiled Seeing Him Defeated by Fifth Yonkou | KATAKURI vs LUFFY FINAL FIGHT !! (English Sub),/watch?v=z1MYH99gFnA,163,Callum R,2310,,53466,0
First Time Boa Hancook Falling in Love with Luffy | Luffy vs The King Carbonation (English Sub),/watch?v=v29ap8LbFo8,72480,Callum R,2310,,53466,136
Huong dan lam hoa nhuy vang 4,/watch?v=Niyu8URu4Fw,5,Callum R,2310,,53466,0
Huong dan lam hoa nhuy vang 3,/watch?v=jzGTGBV1cqQ,4,Callum R,2310,,53466,0
Huong dan lam hoa nhuy vang 2,/watch?v=Hj-gleaW9MY,3,Callum R,2310,,53466,0
Huong dan lam hoa nhuy vang 1,/watch?v=Th0Ppsre7_c,3,Callum R,2310,,53466,0
Hướng dẫn làm bàn,/watch?v=luWphkpkaIY,15345,Callum R,2310,,53466,29
