title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
Aparece el El nuevo Trío Monstruoso | Big Mom da pena | One Piece 988,/watch?v=9n74ArV3s3Y,31087,Cazador De P,5900,,42991,72
Los 7 Personajes más Subestimados y que terminaron siendo muy útiles | One Piece TOP,/watch?v=QEnflnAI8Rk,29220,Cazador De P,5900,,42991,68
El Arco de Wano ¿Ha valido la Pena esperar tanto? | La Cueva del Cazador #1,/watch?v=eoCPfhYE5d4,4580,Cazador De P,5900,,42991,11
La TREMENDA Evolución de Kaido y Momonosuke | 986 y 987 | One Piece Análisis,/watch?v=AeJHKe8lg8s,12004,Cazador De P,5900,,42991,28
Top de los Vainas Rojas del más DÉBIL al más FUERTE | One Piece Top,/watch?v=D2Hglvkq7d8,40717,Cazador De P,5900,,42991,95
Kaido TRAICIONA a Orochi | ¿Yamato quiere ser Nakama? | One Piece Análsis,/watch?v=-l09hYNzJGU,36603,Cazador De P,5900,,42991,85
Las Muertes y NO Muerte en el mundo de One Piece | La Narrativa de Oda | Análisis One Piece,/watch?v=LFOMI71TYmM,19060,Cazador De P,5900,,42991,44
La VOLUNTAD Heredada | Los 9 Vainas Rojas Casi Reunidos | One Piece Análisis,/watch?v=HSfFT8zPhAI,16843,Cazador De P,5900,,42991,39
¿Im quiere a Vivi MUERTA o como ESPOSA? ¿El pasado más triste entre las Féminas? | One Piece PyR,/watch?v=ThquzfpT7ZU,20645,Cazador De P,5900,,42991,48
Yamato NO es Oden | Se ARMÓ la Gorda | One Piece Análisis 983,/watch?v=oU_QnCexWO4,35505,Cazador De P,5900,,42991,83
El GRAN anuncio de Kaido para Yamato | El quiebre de los Piratas Bestias | One Piece Análisis,/watch?v=a_KLYrZFgPs,25592,Cazador De P,5900,,42991,60
No hay directo sin problemas técnicos previos | Cueva del Cazador,/watch?v=wuHVgMW2oH0,4867,Cazador De P,5900,,42991,11
La GUERRA que Superará a Marineford | ¿Por qué no pueden ser IGUALES estos Arcos? | One Piece,/watch?v=Y4Z2K8wYJbQ,31304,Cazador De P,5900,,42991,73
MUGIWARAS 😈VS😈 Piratas de las BESTIAS | Enfrentamientos Que espero ver en Wano | One Piece Análisis,/watch?v=5flJcbDbkWM,21660,Cazador De P,5900,,42991,50
Aparición Épica de Marco | Apoo el Filosofo incomprendido | One Piece Análisis,/watch?v=8u5VoYyR1rg,47674,Cazador De P,5900,,42991,111
Luffy vs Kaido | ¿NECESITA otro Power Up? | Lo que aprendió de su Derrota | One Piece Análisis,/watch?v=GuXpIPPwgEA,40138,Cazador De P,5900,,42991,93
Top 7 MOMENTOS que demuestran la INTELIGENCIA 🤔 y EVOLUCIÓN 🙀 de Luffy | One Piece Top,/watch?v=zqMJm21_6uM,115297,Cazador De P,5900,,42991,268
Luffy y Zoro una ACTITUD decepcionante | ¿Por cuál Tobi Roppo va Queen? | One Piece Análisis,/watch?v=gYe_cB68-SY,23629,Cazador De P,5900,,42991,55
Luffy vs Big Mom | ¿Shanks entrenará a Luffy? | El PEOR final | One Piece Preguntas y Respuestas,/watch?v=p6QvB2znADM,40055,Cazador De P,5900,,42991,93
¿Es posible que Shanks sea hijo de Rock D Xebec? | One Piece análisis,/watch?v=32v6B4Ix3zM,11228,Cazador De P,5900,,42991,26
La FRUTA de Dragon | El Primer Hijo de Roger | Teorías de Nakamas,/watch?v=i59oL8FMEuQ,33878,Cazador De P,5900,,42991,79
La FRUTA del Rey del Mundo IM ¿En que está Basada? | El VALOR del Sol y la Luna | One Piece Análisis,/watch?v=HNcU8GdWET4,82526,Cazador De P,5900,,42991,192
Usopp el ANTAGONISTA de Luffy | ¿Cómo llegará a SER un Bravo Guerrero del Mar? | One Piece Análisis,/watch?v=OATWWuaruFQ,22385,Cazador De P,5900,,42991,52
Las PREDICCIONES de un Navegante no Fallan | Los 7 MEJORES Momentos de Nami | One Piece Top,/watch?v=aQEg8d5ZSmA,23133,Cazador De P,5900,,42991,54
7 DATOS que podrían CONFIRMAR que Shanks es un Tenryuubito | One Piece Análisis,/watch?v=R2TnSYFKOn8,95231,Cazador De P,5900,,42991,222
Yo soy siempre NEGATIVO | Los 7 MEJORES Momentos de God Usopp | One Piece Top,/watch?v=wZDt4WPdoko,112246,Cazador De P,5900,,42991,261
¿Cómo está ORGANIZADA la Tripulación de Kaido? | One Piece Análisis,/watch?v=KLrtzgReUNc,43797,Cazador De P,5900,,42991,102
El Sacrificio de Zoro | El MEJOR MOMENTO de la Serie  | One Piece Análisis | Especial 50K,/watch?v=pNYiZ3_jB5Y,54103,Cazador De P,5900,,42991,126
¿Por qué Zoro no ha tenido un RIVAL DIGNO después del salto temporal? | One Piece Análisis,/watch?v=F09NiNDCtAI,115056,Cazador De P,5900,,42991,268
"Los LÍMITES de Sanji | Como Oda lo ""Trollea"" cada Arco | One Piece Análisis",/watch?v=rFrxW_fC_iY,53108,Cazador De P,5900,,42991,124
El MUNDO tras la DERROTA de 2 Yonkos | Luffy vs Shanks | Preguntas y Respuestas de One Piece,/watch?v=MKEh_bDMIV0,51306,Cazador De P,5900,,42991,119
El AS ♠️ bajo la manga de Kaido | Un plan que Luffy puede seguir 🤣 | One Piece 977,/watch?v=OCMvxycJ3Xk,33654,Cazador De P,5900,,42991,78
El MENSAJE DETRÁS de las palabras de Bartolomeo a Zoro | One Piece Análisis,/watch?v=kab6i3YNm7s,56860,Cazador De P,5900,,42991,132
La Cueva Anti Spoilers,/watch?v=JZuDW_hproo,5176,Cazador De P,5900,,42991,12
"El pasado ""OCULTO"" de Zoro | No está RELACIONADO a Wano | One Piece Análisis",/watch?v=p0xxdNmgIU8,42324,Cazador De P,5900,,42991,98
La VERDADERA Habilidad de Kanjuro  | Vuelve Jinbe el Gyojin FAVORITO de Todos | One Piece Análisis,/watch?v=7N8oxcBXFK0,27685,Cazador De P,5900,,42991,64
Nunca Sé Como Nombrar Los Directos / Día 6,/watch?v=Fa1Fjw0u-NU,3917,Cazador De P,5900,,42991,9
La TREMENDA Importancia de Momo en la Guerra de Wano | One Piece Análisis,/watch?v=O0cbOW9SWtM,16197,Cazador De P,5900,,42991,38
"Por Aquí :"""") / 5to Día",/watch?v=CDD8HQW3M2E,4301,Cazador De P,5900,,42991,10
La Curva Contra La Corona / Día 4,/watch?v=f65UhS0_ojI,1737,Cazador De P,5900,,42991,4
La Cueva Sin Coron@,/watch?v=vNso-I946o4,3716,Cazador De P,5900,,42991,9
Kin´mon ¿Un Verdadero GENIO? | 😍 Los MUGIWARAS se reúnen después de medio Siglo 😍| One Piece 975,/watch?v=22H0OGQ0z8U,23766,Cazador De P,5900,,42991,55
Combatiendo El Metroid Global,/watch?v=vgcMs3yWJDw,1615,Cazador De P,5900,,42991,4
La cueva anti Spoiler | Contra el V!room(King/Queen) | 1/10 días con el cazador :3,/watch?v=EaJcRqYxjWE,2383,Cazador De P,5900,,42991,6
¿Es Stampede una Caca? | One Piece Opinión  | RESUBIDO,/watch?v=l6M9oTGFHac,8231,Cazador De P,5900,,42991,19
Enfrentamientos 😍 ÉPICOS que TODOS  queremos ver en la Guerra Wano | One Piece Análisis,/watch?v=JosbjlW3jMM,106329,Cazador De P,5900,,42991,247
Personajes En el NIVEL Comandante | El verdadero Equilibrio del Poder | One Piece Top,/watch?v=CIf2qaJhYBI,56092,Cazador De P,5900,,42991,130
¿TRAIDOR? | ¿Cómo se filtró el PLAN? | Lo que no sabe Orochi  | One Piece Análisis,/watch?v=s6kWVTBgim4,20642,Cazador De P,5900,,42991,48
¿Es tan MALO como dicen? | Análisis Arco de La Isla Gyojin,/watch?v=WHUMxpNMtuY,16524,Cazador De P,5900,,42991,38
14 Akuma No Mi que DEBERÍAN aparecer en One Piece | TOP ft Sir Crocodile,/watch?v=xStdChZqrYo,13166,Cazador De P,5900,,42991,31
El Increíble PODER de Nami | El Origen de la desorientación de Zoro | One Piece Teorías,/watch?v=sFyQtuurOuc,107404,Cazador De P,5900,,42991,250
Que Ondas Nakamas x4,/watch?v=ICrl8alpPys,4303,Cazador De P,5900,,42991,10
Sabo Capturado | ¿Vivi Nakama? | Amazon Lily y Arabasta ¿Devastadas? | One Piece Análisis,/watch?v=FkQIES99w14,119198,Cazador De P,5900,,42991,277
Personajes En el NIVEL Almirante | Rivales de  los Yonko | One Piece Top,/watch?v=MOjts16EEw4,117336,Cazador De P,5900,,42991,273
Personajes En el NIVEL Yonko | Los Más Poderosos | One Piece TOP,/watch?v=KAf9seHEliA,327298,Cazador De P,5900,,42991,761
Un VERDADERO choque Nivel Yonko  | Roger vs Shirohige | One Piece Análisis,/watch?v=eWIHnhgGEnw,43517,Cazador De P,5900,,42991,101
7 Detalles Curiosos DETRÁS de la portada del tomo 95 de One Piece,/watch?v=FwWpjN_KTYc,39200,Cazador De P,5900,,42991,91
Joy Boy y el día PROMETIDO | El Papel de NOAH | La Destrucción del GRAN Reino | One Piece Análisis,/watch?v=E4ACiz185Ao,84597,Cazador De P,5900,,42991,197
La Cueva Anti Spoilers,/watch?v=bCjNND8z3Zk,5392,Cazador De P,5900,,42991,13
Los 7 Personajes más 😱😱 PERVERSOS 😱😱 de TODOS | One Piece TOP,/watch?v=rMeqDpX0oKc,33437,Cazador De P,5900,,42991,78
¿Cómo llegó a ser TAN endiabladamente fuerte? | Análisis al poder de Shanks | One Piece Análisis,/watch?v=2_5ZzoJYyLk,130465,Cazador De P,5900,,42991,303
PARALELISMOS entre Wano y Thriller Bark que definen el arco | One Piece Análisis,/watch?v=XKpkHPiCBOQ,44815,Cazador De P,5900,,42991,104
El MENSAJE de Wano | El Cambio de GENERACIÓN después de la Guerra | One Piece Análisis,/watch?v=PhTFBzMNGEY,66199,Cazador De P,5900,,42991,154
Los 7 MISTERIOS 😱😱 Sin RESOLVER de TODO el mundo de  One Piece,/watch?v=iQDcFK8jNCs,95892,Cazador De P,5900,,42991,223
La Ley Coppa No es la ley del demonio que todos piensan | YouTube NO se acabará por esto,/watch?v=Rbhk70C85vU,6042,Cazador De P,5900,,42991,14
Los 7 Personajes Más 😡😡  Odiados | One Piece Top,/watch?v=JjQek7_CqsI,20583,Cazador De P,5900,,42991,48
¿Quién sería el CAPITÁN si Luffy muere? | Jerarquía de los Mugiwaras | One Piece Análisis,/watch?v=Yi6Ubgl1qD8,37793,Cazador De P,5900,,42991,88
Las nuevas políticas de YT y como afectan a canales de One Piece,/watch?v=g0ddR54q4UQ,7791,Cazador De P,5900,,42991,18
La VITAL diferencia entre el Anime y el Manga | La Censura y el significado de Adaptación | Análisis,/watch?v=4IORCbv9LQk,21177,Cazador De P,5900,,42991,49
¿Cuando VOLVERÁ JInbe? ¿Cual Arco borrarías? | Preguntas y Respuestas 1,/watch?v=gdO-7jJSyPM,19407,Cazador De P,5900,,42991,45
7 Personajes que 🤯  pudieron SER Shichibukai antes de ser abolido  | One Piece Top,/watch?v=10b7hp_cVsw,38598,Cazador De P,5900,,42991,90
¿Por qué los POWER UPS del Trío Monstruoso Funcionan tan bien? | One Piece Análisis,/watch?v=yjwzfaA2umM,73108,Cazador De P,5900,,42991,170
Las ideas descartadas de ODA | Romance Dawn | One Piece Análisis,/watch?v=TZrfjXRuCow,38457,Cazador De P,5900,,42991,89
Analizamos One Piece manga 959 y anime 907  | La Cueva del Cazador ft Sangoro and Ale,/watch?v=6HMjapJ7fyQ,7969,Cazador De P,5900,,42991,19
¿Es Mihawk en verdad el MEJOR espadachín del mundo? Lo que Implica el título | One Piece|,/watch?v=oOj1P7lPJTI,23299,Cazador De P,5900,,42991,54
Enterate de los Cambios en el Canal | Cueva Anti Spoilers,/watch?v=_lIVg6d-sW0,10537,Cazador De P,5900,,42991,25
"Kyoshiro NO es Denjiro | Me fallar esta teoría, se va a llorar a una esquina ""SARCASMO""",/watch?v=_KT19WOyu-M,30018,Cazador De P,5900,,42991,70
El Lado Oscuro de los D | God Valley la isla borrada del Mundo |  One Piece Análisis,/watch?v=0LskGF-SnxA,50363,Cazador De P,5900,,42991,117
7 Personajes que Podrían SER Comandantes de un YONKO | One Piece Análisis,/watch?v=nzIfA7tLRSc,122337,Cazador De P,5900,,42991,285
La IMPORTANCIA de Hiyori / Komurasaki para el destino de Wano | One Piece Análisis,/watch?v=hmA5vKjwdvY,24692,Cazador De P,5900,,42991,57
Sabo NO fue Capturado Ni Asesinado | El Destino de VIVI | One Piece Análisis,/watch?v=dbhDaCKQ4CE,50206,Cazador De P,5900,,42991,117
Esto paso en el LEVELY | El mundo se Estremece tras el capítulo 956 | One Piece Análisis,/watch?v=2tWoBoc4BOs,31035,Cazador De P,5900,,42991,72
Law NO es el Traidor | Cómo se maneja la información en Wano | One Piece Análisis,/watch?v=d9PvMqCRp6Q,20575,Cazador De P,5900,,42991,48
Los NUEVOS Power Ups del TRÍO Monstruoso para la Guerra de Wano | One Piece análisis,/watch?v=ydBCx4zSgW8,62717,Cazador De P,5900,,42991,146
Luffy NO está al NIVEL de un Almirante | One Piece Análisis,/watch?v=_o12os2CzhI,49800,Cazador De P,5900,,42991,116
7 Personajes que PODRÍAN 🤯🤯 DERROTAR  a Un ALMIRANTE aparte de los Yonko | One Piece TOP,/watch?v=SXirZbSSyvQ,311566,Cazador De P,5900,,42991,725
La GUERRA va tomando Forma | El destino de la ALIANZA de Kaido y Big Mom | One Piece Análisis,/watch?v=RReiY4VbGxg,43244,Cazador De P,5900,,42991,101
Wano NO va LENTO 😡😡| Destripando el Arco de WANO en el Manga  | One Piece Análisis,/watch?v=SXorAaGLNkQ,42812,Cazador De P,5900,,42991,100
Destripando el Arco de WANO en el Anime | One Piece Análisis,/watch?v=DDf4NweCd1w,22848,Cazador De P,5900,,42991,53
Zoro NO derrotará a Kaido | Enma y las Espadas Negras | One Piece Análisis,/watch?v=yqp532rOpkg,39642,Cazador De P,5900,,42991,92
Mugiwaras Vs Piratas Kurohige | El nacimiento del Rey de los Piratas | One Piece Análsis 2,/watch?v=4NLPo3iSQFM,32649,Cazador De P,5900,,42991,76
La Diferencia entre ARCO y SAGA y su Importancia para la Serie | One Piece Análisis,/watch?v=uI7YJPo0MEA,17117,Cazador De P,5900,,42991,40
Sistema de Combate de One Piece | Fortalezas y Debilidades | One Piece Análisis,/watch?v=CPiNstgU_oQ,19873,Cazador De P,5900,,42991,46
Mugiwaras Vs Piratas de Akagami ¿Por qué debe de darse este Choque? | One Piece Análisis,/watch?v=jZ1_HD5wsQM,81743,Cazador De P,5900,,42991,190
🏴‍☠️ Recompensas tras la DERROTA de un Yonkou 🏴‍☠️| One Piece Análisis,/watch?v=tLB903lTIBo,36782,Cazador De P,5900,,42991,86
7 Arcos que QUEDAN  para acabar el manga 😭😭 | One Piece Análisis,/watch?v=qJnZLDwsC68,78284,Cazador De P,5900,,42991,182
Diable Jambe vs Ashura ¿Por qué Zoro no usa este estilo? | One Piece Análisis,/watch?v=q7r-A4zsqe0,42598,Cazador De P,5900,,42991,99
"Diferencias entre la ""TRAICIÓN"" de Nami y Robin y Cómo esto afecta a Carrot | One Piece Análisis",/watch?v=5sbUagfgs-E,54217,Cazador De P,5900,,42991,126
7 Momentos en los que Jinbe DEMOSTRÓ que es un Nakama | One Piece Análisis,/watch?v=UjqH0EtF-mg,20316,Cazador De P,5900,,42991,47
Los 7 Peores 😱 y Mejores 😚 DISEÑOS de Wano y su importancia | One Piece Análisis parte 1,/watch?v=OmbN5nmzO5o,20519,Cazador De P,5900,,42991,48
¿Quién es el Traidor? El Plot Twist que se está preparando Oda | One Piece Análsis,/watch?v=GvcUZrkBlUI,24479,Cazador De P,5900,,42991,57
😍 Los 7 Personajes que DEBERÍAN ser Mugiwaras | One Piece 😍,/watch?v=1WA7_RLRrfQ,146262,Cazador De P,5900,,42991,340
Kiku No es hombre | La importancia de que sea Mujer | One Piece Análisis,/watch?v=P7lbICLHKsA,39582,Cazador De P,5900,,42991,92
Los MEJORES 7 Openings de One Piece 😎😎,/watch?v=IUQAqyTcNFY,25514,Cazador De P,5900,,42991,59
El poder del Guión y el Secreto para escribir una mejor Historia | One Piece Análisis,/watch?v=gF02_jWujbA,10203,Cazador De P,5900,,42991,24
Big Mom recupera la memoria 😪 y 😴 todo el mundo pierde la cabeza | One Piece Análisis,/watch?v=XkG8OABbLIg,13091,Cazador De P,5900,,42991,30
Luffy SI derrotará a Kaido SOLO 😡 | Lo que nos dice Su Reputación | One Piece Análisis,/watch?v=O90utAodkOM,167092,Cazador De P,5900,,42991,389
¿Y la Leyenda para cuando? | One Piece Super al fin llega | One Piece News,/watch?v=Cwv6A0ON8pc,15494,Cazador De P,5900,,42991,36
Ser un BRAVO Guerrero del Mar | Las Implicaciones del sueño de Usopp | One Piece Análisis 1,/watch?v=ZfI7AO_HJnY,18619,Cazador De P,5900,,42991,43
¿Quién sería el ganador en esta batalla a MUERTE? | One Piece Análisis,/watch?v=CCIaMyXdi4Q,10961,Cazador De P,5900,,42991,25
¿Zoro capturado por Kyoshiro ? | One Piece Análisis,/watch?v=tb1A2DKhU5c,5641,Cazador De P,5900,,42991,13
El Bien y El  Mal y las Alianzas de Wano | One Piece Análisis,/watch?v=LfCuNeS5U_o,12986,Cazador De P,5900,,42991,30
Raftel está en el ALL BLUE 🏖️ ¿En que se Basó ODA para crear esta Isla? ❌❌ One Piece Análisis,/watch?v=1FN2FqG1ED8,13872,Cazador De P,5900,,42991,32
Los Mejores 16 Usuario de Akuma no mi de One Piece | TOP ft Sir Crocodile,/watch?v=aIJZuzoXfzI,18356,Cazador De P,5900,,42991,43
