title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
"El Siempre estuvo Observando... AIZEN - BLEACH ""Can't Fear Your Own World"" 96",/watch?v=nPDleD1B4zg,37418,Donmau,37100,,67790,55
"¡ Comienza una Nueva Aventura ! - BURN THE WITCH ""Secuela de BLEACH"" capitulo 1",/watch?v=CQgsSz3WFd0,36652,Donmau,37100,,67790,54
El Adiós de una Leyenda... ¿Quien perderá su Quirk? - BOKU NO HERO ACADEMIA 281 (curiosidades),/watch?v=cbyEDkq-LnY,36981,Donmau,37100,,67790,55
¡DETENGAN TODO!... El Vice-Capitan de los BLACK BULLS por fin es Revelado - BLACK CLOVER 261 Review,/watch?v=3BK1p9ExXaY,117181,Donmau,37100,,67790,173
¡ÉPICO!... SANJI VS KING ¿Quien ganara? | FRANKY y BROOK se unen a la fiesta - ONE PIECE 988 Review,/watch?v=fz5l3mVfe5A,50838,Donmau,37100,,67790,75
"¿Queee?... SPEEDWAGON... ¿Eres tu? - JOJOLION (Primeras Impresiones, cap 81 - 90)",/watch?v=pFVjbe-4tE8,24922,Donmau,37100,,67790,37
"""Bueno... Fue lindo mientras duro"" - BLEACH ""Can't Fear Your Own World"" 95",/watch?v=XMKWMF5zlf8,51573,Donmau,37100,,67790,76
"¿Como Terminó KATEKYO HITMAN REBORN? - RESUMEN COMPLETO ""La maldición de los Arcobalenos""",/watch?v=wGxEDypFYz0,28538,Donmau,37100,,67790,42
El Liderazgo de ASTA y la llegada del VICE-CAPITAN - BLACK CLOVER 261 TEORÍA,/watch?v=-BWdesxhnD8,68322,Donmau,37100,,67790,101
El Entrenamiento Final de LUFFY y la importancia de SHANKS,/watch?v=dYmvHUsI8gU,107734,Donmau,37100,,67790,159
"¡ El Nuevo JOJOBRO y El Villano Final son Revelados ! - JOJOLION (Primeras Impresiones, cap 71 - 80)",/watch?v=6J87hPbtP24,32360,Donmau,37100,,67790,48
"El ""Hollow Milenario"" que Nunca Fue Derrotado - BLEACH ""Can't Fear Your Own World"" 94",/watch?v=sH81VSRqibQ,63200,Donmau,37100,,67790,93
"El Polémico Arco actual de BOKU NO HERO + ""LANCELOT"" capitulo especial de NANATSU NO TAIZAI",/watch?v=aGePKswqktc,17059,Donmau,37100,,67790,25
Se Ha ido... YAMI es secuestrado por el Poderoso ZENON - BLACK CLOVER 260 Review,/watch?v=fbQYyV9ZBo4,57116,Donmau,37100,,67790,84
¡ESTO SE DESCONTROLÓ! Las Épicas palabras de LUFFY y Kaido vs Los Vainas Roja - ONE PIECE 987 Review,/watch?v=0q4ht1YRDHY,80558,Donmau,37100,,67790,119
"¿Tu Conoces los BIZARRO?.. Tu no Conoces lo BIZARRO - JOJOLION (Primeras Impresiones, cap 61 - 70)",/watch?v=thmTyNk5jc4,24630,Donmau,37100,,67790,36
"El Aterrador BANKAI de HISAGI es Revelado - BLEACH ""Can't Fear Your Own World"" 93",/watch?v=QeVjeJ4rhWo,122598,Donmau,37100,,67790,181
La Clase A vs GIGANTOMACHIA ¿El Gran Error de este Arco? - BOKU NO HERO ACADEMIA (curiosidades),/watch?v=8aH-ssA4jqg,29971,Donmau,37100,,67790,44
"Sin Palabras... ASTA y YAMI están a otro Nivel ""La Nueva Espada"" - BLACK CLOVER 259 Review",/watch?v=9Bq_UTNy3zE,117234,Donmau,37100,,67790,173
*SE PRENDIÓ ESTA MIERD@* ¡Todos contra KAIDO! - ONE PIECE 986 Review,/watch?v=uGJYilSHe0E,61831,Donmau,37100,,67790,91
"Bueno... Tarde o Temprano los JoJos Me harían Llorar - JOJOLION (Primeras Impresiones, cap 51 - 60)",/watch?v=w0foFgN1NUs,39909,Donmau,37100,,67790,59
"¡POR FIN!... HISAGI ""El Verdadero Dios de la Muerte"" - BLEACH ""Can't Fear Your Own World"" 92",/watch?v=mUHKGhRceKE,71800,Donmau,37100,,67790,106
Hablemos sobre TORRE DE DIOS y La Secuela de NANATSU NO TAIZAI,/watch?v=_qXBhD9Icws,17386,Donmau,37100,,67790,26
¡ El Mayor Secreto de ASTA ! ¿Siempre Tuvo su MAGIA Bloqueada? - BLACK CLOVER TEORÍA,/watch?v=4Gz5xMGwmbE,258961,Donmau,37100,,67790,382
"""El Capitulo que Nos Romperá el Corazón"" - ONE PIECE 986 987 ¿Que Ocurrirá?",/watch?v=Jg36_RZxrrA,55824,Donmau,37100,,67790,82
"Esto ya es demasiado... ME EXPLOTÓ LA CABEZA - JOJOLION (Primeras Impresiones, cap 31 - 50)",/watch?v=OjqEcD5oFRU,42603,Donmau,37100,,67790,63
"El Último Adiós de YACHIRU ""El Bankai de KENPACHI"" - BLEACH ""Can't Fear Your Own World"" 91",/watch?v=wtmmIFbPYU8,99842,Donmau,37100,,67790,147
*Se Repite la Historia* La Destrucción de KONOHA y el despertar de los OTSUSUKI - BORUTO 48 Review,/watch?v=Q5Z_-vJHZ5M,20701,Donmau,37100,,67790,31
