title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
Shingeki No Kyojin AMV,/watch?v=LEDK-vggOvw,1941,FreeStyle Wav,9650,,383422,1
Noragami AMV - The Beginning,/watch?v=L7JCMpI6UQs,6044,FreeStyle Wav,9650,,383422,2
【AMV】 Chuunibyou Demo Koi Ga Shitai HD,/watch?v=r294dGLls-g,4055,FreeStyle Wav,9650,,383422,1
【AMV】 Chuunibyou Demo Koi Ga Shitai HD,/watch?v=J4iV29lvgV4,4696,FreeStyle Wav,9650,,383422,1
School Days - 3 Doors Down,/watch?v=HLfTGnQKnF8,350,FreeStyle Wav,9650,,383422,0
ＴＯＫＹＯ ＧＨＯＵＬ HD AMV,/watch?v=cVk5cOb2fo0,677,FreeStyle Wav,9650,,383422,0
Shingeki no Kyojin AMV HD - End Of Me,/watch?v=46-DvAkm6h8,3171,FreeStyle Wav,9650,,383422,1
Escape the Fate This War Is Ours-Bleach Amv -1080p,/watch?v=1ZlnXoz_FME,15284,FreeStyle Wav,9650,,383422,4
"Atribute A Goku - Dragon Ball Z  - Adept - Grow Up, Peter Pan!",/watch?v=tdpwaUjOdy8,1129,FreeStyle Wav,9650,,383422,0
Naruto AMV - Especial 20 Susriptores HD,/watch?v=FICSzMWFeJA,797,FreeStyle Wav,9650,,383422,0
Naruto Shippuden - Sasuke vs Killer Bee AMV Bullet For My Valentine HD...,/watch?v=yd98w4YLnVM,10528,FreeStyle Wav,9650,,383422,3
Bleach AMV - Dead by April Losing You - Ichigo VS Ulquiorra  HD,/watch?v=z1TSs4e6vmw,57209,FreeStyle Wav,9650,,383422,15
Bleach AMV - Dead By April - Trapped,/watch?v=wjqcCOvCJGc,17199,FreeStyle Wav,9650,,383422,4
[BLEACH] Ichigo vs Ginjo Amv,/watch?v=QQdsAzMQZf8,5563840,FreeStyle Wav,9650,,383422,1451
"Konan, Yahiko and Nagato (AMV) Breaking Benjamin - Breath HD",/watch?v=zKIq8fDFUn4,64417,FreeStyle Wav,9650,,383422,17
