title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
BLEACH ost | CHOKKAKU (Final Getsuga Tenshou Theme) | Guitar Cover,/watch?v=dBVKMNjO6kg,524,Gabriele M,44900,,109950,0
Kengan Ashura Battle OST | Strong Enemy | Guitar Cover,/watch?v=coiwX8-qJag,727,Gabriele M,44900,,109950,1
Hunter x Hunter | Kaze No Uta | Guitar Cover,/watch?v=55McGUntuTo,931,Gabriele M,44900,,109950,1
Dragon Ball Z ost | Cell Fight Theme | Guitar Cover,/watch?v=pWmjsTRRtww,1514,Gabriele M,44900,,109950,1
World Of Warcraft | INVINCIBLE | Arthas Menethil Guitar Tribute,/watch?v=dcZRORmAfO0,676,Gabriele M,44900,,109950,1
Dragon Ball Z | Solid State Scouter (Bardock Theme) | Rock Guitar Cover,/watch?v=3aqCjqVgxWs,1711,Gabriele M,44900,,109950,2
Anime Battle Music - BAKI 2018 ost | BATTLEFIELD | Guitar Cover,/watch?v=IUd0txwbDlk,1951,Gabriele M,44900,,109950,2
Naruto Shippuden Battle OST | Kouen / Crimson Flames | Guitar Cover,/watch?v=j7zGmGGKbs4,7300,Gabriele M,44900,,109950,7
Death Note OST | NEAR THEME | Guitar Cover,/watch?v=DKgaXQekA3k,2864,Gabriele M,44900,,109950,3
NARUTO SHIPPUDEN Sad / Emotional OST | Experienced Many Battles | Guitar Cover,/watch?v=yqQ4cyOOrUs,4991,Gabriele M,44900,,109950,5
DEATH NOTE relaxing music with rain sound | L's Ideology | Guitar Cover,/watch?v=fYCGQurRLZY,4984,Gabriele M,44900,,109950,5
Naruto Shippuden Motivational OST | MY NAME | Guitar Cover,/watch?v=F0W4VnvcEDc,8545,Gabriele M,44900,,109950,8
NARUTO sad ost | I Have Seen Much | OBITO & RIN Guitar Tribute,/watch?v=9Y3oFfgnAl0,4532,Gabriele M,44900,,109950,4
JoJo Bizarre Adventure | AWAKEN (Pillar Men Theme) | Epic Guitar Cover,/watch?v=nGdl1d4I8Ic,3410,Gabriele M,44900,,109950,3
