title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
BURN THE WITCH | OFFICIAL TRAILER | REACTION!,/watch?v=yOYsi6PRsyE,3636,JaymesH,65500,,31069,12
MUST READ! - Burn the Witch Manga Chapter 1 - REVIEW!,/watch?v=Nz2xv94YdHE,4416,JaymesH,65500,,31069,14
HYPE! Burn The Witch Manga Chapter 1 - REACTION!,/watch?v=6YFp-u1fCUE,2024,JaymesH,65500,,31069,7
Burn The Witch Chapter 1 Spoiler REACTION,/watch?v=tAtJ8ofMh8k,3393,JaymesH,65500,,31069,11
Burn The Witch Movie Release Date & News!,/watch?v=8BxTTr5BMlA,5117,JaymesH,65500,,31069,16
Burn The Witch Has 4 Chapters CONFIRMED!,/watch?v=HHAv8SVwEnk,4670,JaymesH,65500,,31069,15
Top 10 BLEACH Fights To Be Animated In The Final Arc,/watch?v=WtZ9XnjUjQk,42456,JaymesH,65500,,31069,137
BLEACH: Aizen Sosuke Interview! (Ft. Kyle Hebert),/watch?v=r5UduNR1axM,14674,JaymesH,65500,,31069,47
BLEACH: Why The Fullbring Arc Is GENIUS Ft. Tekking101,/watch?v=MdDnk7vugn0,39665,JaymesH,65500,,31069,128
Top 10 BLEACH Moments To Be Animated In The Final Arc,/watch?v=VZn6Bh-ZjrM,48597,JaymesH,65500,,31069,156
The FALL Of BLEACH: Brave Souls,/watch?v=PRVet1TgL1o,11819,JaymesH,65500,,31069,38
Is Studio Pierrot Making The BLEACH Anime?,/watch?v=f116dNKt6Sc,21132,JaymesH,65500,,31069,68
Bleach Anime & Burn The Witch PV Trailer Live Reaction!,/watch?v=gguKMvjpBpA,24747,JaymesH,65500,,31069,80
Burn The Witch Episode 1 Preview!,/watch?v=wyFYkwGFrz0,12018,JaymesH,65500,,31069,39
Bleach Anime OFFICIALLY Confirmed!,/watch?v=xx5CZmgz5ZA,10675,JaymesH,65500,,31069,34
Bleach Anime COULD Be Announced!,/watch?v=ZHhJZZ2EqTg,9159,JaymesH,65500,,31069,29
Bleach Anniversary Announcement Countdown!,/watch?v=QhFpJhkudzQ,11647,JaymesH,65500,,31069,37
BLEACH Project Announced For AnimeJapan 2020! & More...,/watch?v=JFlpYalJKaQ,13739,JaymesH,65500,,31069,44
Is Burn The Witch A Bleach Continuation?,/watch?v=taq_97nu6K8,17004,JaymesH,65500,,31069,55
Do BLEACH Characters Get Zenkai Boosts?,/watch?v=L80zONaVwCI,10579,JaymesH,65500,,31069,34
NEW Bleach Opening In Brave Souls Seems... Interesting..,/watch?v=ZAkJpWl2Duo,12830,JaymesH,65500,,31069,41
What The Kingdom Anime Means For Bleach,/watch?v=EfGcNuIvAXI,19658,JaymesH,65500,,31069,63
Bleach & Burn The Witch Announcement Jump Festa 2020?,/watch?v=OVvwyA57EmQ,21198,JaymesH,65500,,31069,68
The Seven Deadly Sins: Is It Doomed.,/watch?v=GxuFUOf9K_o,257528,JaymesH,65500,,31069,829
Ichigo's Limited TRUE Potential!,/watch?v=ugHzWa-qopE,25608,JaymesH,65500,,31069,82
Bleach Anime 2019 Update.,/watch?v=EDYXqj-uTes,74737,JaymesH,65500,,31069,241
Almost QUIT Bleach Brave Souls..,/watch?v=oDDQInsAgFs,12351,JaymesH,65500,,31069,40
NEW! Bleach Opening Animation Announced!,/watch?v=ldVur6rZ5oE,22618,JaymesH,65500,,31069,73
The Strongest Dog In Anime!,/watch?v=ROfpcM_B7nM,6113,JaymesH,65500,,31069,20
BLEACH Announcement ISN'T Sakura Wars... Right?,/watch?v=CMVKwN_RP8c,18372,JaymesH,65500,,31069,59
Tite Kubo BLEACH Announcement 2019,/watch?v=OfwU86pN96E,50299,JaymesH,65500,,31069,162
Bleach Anime Accidentally Announced? + New Espada Transformations!,/watch?v=0itiF8qvEZc,26951,JaymesH,65500,,31069,87
Bleach Creator Teases Series Future?,/watch?v=gEWLKWczKwI,19211,JaymesH,65500,,31069,62
Shueisha HINTS About BLEACH In The Future!,/watch?v=G_GqVtj-2aA,16271,JaymesH,65500,,31069,52
What Are Crunchyroll Doing With BLEACH?,/watch?v=aC8MoHiD-6Y,13698,JaymesH,65500,,31069,44
How Much Bleach Made In 2018,/watch?v=5XG1kLyVskg,6611,JaymesH,65500,,31069,21
AIZEN IS OVERPOWERED! - Jump Force,/watch?v=Cturt8jMP5o,11540,JaymesH,65500,,31069,37
Ichigo Kurosaki -- All Forms in Bleach 2019,/watch?v=qxmMlHVay_w,503784,JaymesH,65500,,31069,1622
"NEW Bleach Novel ""Espada"" Announcement!!",/watch?v=4waTT-yJV5E,14761,JaymesH,65500,,31069,48
Bleach Fans RAGE Over Bleach Youtuber!,/watch?v=RIKkqDdHPm8,17221,JaymesH,65500,,31069,55
Bleach Anime COMING SOON?!,/watch?v=Hr4YJJ58Pj8,61503,JaymesH,65500,,31069,198
Yhwach CONFIRMED For Jump Force!? Here's Why!,/watch?v=U6vB8Z6-D6Y,7834,JaymesH,65500,,31069,25
BLEACH Live Action Coming To Netflix!,/watch?v=c5q1GlMZ4Ps,11815,JaymesH,65500,,31069,38
Rant! Identity Politics in Anime.... High Guardian Spice,/watch?v=kITV54tT_hg,9178,JaymesH,65500,,31069,30
JUMP FORCE Ichigo Vs BlackBeard! Hunter x Hunter Characters + More!,/watch?v=P6HPObEBulg,13505,JaymesH,65500,,31069,43
BLEACH Creator Planned A Sequel?,/watch?v=IoEwEoOgM1Y,26085,JaymesH,65500,,31069,84
BLEACH JUMP FORCE Official Trailer & Gameplay!,/watch?v=OezaDEUQ_e8,27797,JaymesH,65500,,31069,89
BLEACH And Me - There Is No Heart Without You,/watch?v=zfYLFY9GjPY,4797,JaymesH,65500,,31069,15
BLEACH Manga Characters Round 4 TROLLED Me.... Bleach Brave Souls,/watch?v=3CFvmhsKCgM,7265,JaymesH,65500,,31069,23
BLEACH Expands Universe With Burn The Witch?!,/watch?v=WlwEndx5tpA,10940,JaymesH,65500,,31069,35
BLEACH (2018) Live Action Movie Review,/watch?v=j-Rpv4xMVVg,40598,JaymesH,65500,,31069,131
Bleach Anime/Sequel Maybe Coming Soon!,/watch?v=Qw4gPYuenlE,10387,JaymesH,65500,,31069,33
WAR ICHIGO IN JUMP FORCE?!,/watch?v=esDdrcrMEPg,21297,JaymesH,65500,,31069,69
New Bleach Creator's One Shot - Burn The Witch,/watch?v=oiOMH8HqedE,13780,JaymesH,65500,,31069,44
BLEACH Live Action Movie #3 FULL SUBBED Trailer Reaction,/watch?v=0jn0L2pelNI,17830,JaymesH,65500,,31069,57
Bleach Live Action Movie FULL Trailer #2 Reaction,/watch?v=A4369_rDocM,11021,JaymesH,65500,,31069,35
Where Is Ichigo/BLEACH In Jump Force?!,/watch?v=I2Dqp7p2YN4,18770,JaymesH,65500,,31069,60
The Appeal of Riruka Dokugamine,/watch?v=Jx-eCcE-Nzo,17496,JaymesH,65500,,31069,56
A NEW BLEACH Sequel Just Got HINTED?!,/watch?v=QKhibXlHay0,25519,JaymesH,65500,,31069,82
The NEW BLEACH Instagram Announcement Is THIS!,/watch?v=kciyyFCVnuI,44168,JaymesH,65500,,31069,142
