title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
Inova - Insomnia,/watch?v=VpEJ9XCsqIY,57413,Kito Music,2490000,1日前,433612,13
"【𝙻𝚈𝚁𝙸𝙲𝚂】Rezz, Grabbitz - Someone Else (PEEKABOO Remix)",/watch?v=twlcMcGbXOY,39377,Kito Music,2490000,3日前,433612,9
【𝙻𝚈𝚁𝙸𝙲𝚂】Neoni - Wasteland,/watch?v=dEXshWgmuq8,52804,Kito Music,2490000,4日前,433612,12
JNATHYN - Milos,/watch?v=-Wzrw-VQFzw,89490,Kito Music,2490000,5日前,433612,21
【𝙻𝚈𝚁𝙸𝙲𝚂】Gia Woods - INTO IT,/watch?v=0YcVUpytO_k,63263,Kito Music,2490000,6日前,433612,15
Itro - Flavour VIP,/watch?v=nukTjRgL2P4,48555,Kito Music,2490000,1週間前,433612,11
Marlhy - I See Through You,/watch?v=2InsazbX5sw,81986,Kito Music,2490000,1週間前,433612,19
【𝙻𝚈𝚁𝙸𝙲𝚂】NEONI x UNSECRET - Ignite,/watch?v=UnmswoCN4TA,90861,Kito Music,2490000,1週間前,433612,21
Boom Kitty - Any Other Way (feat. Ivy Marie),/watch?v=IJu5IW81TpU,64798,Kito Music,2490000,1週間前,433612,15
JNATHYN - Blue,/watch?v=EBeQiu2ApiQ,80570,Kito Music,2490000,1週間前,433612,19
OTR ft. Au/Ra - Broken (RAC Mix),/watch?v=WSkNGhtInEU,82397,Kito Music,2490000,2週間前,433612,19
TOKYO ROSE & ALEX - Dark Sun (BLOSSO Remix),/watch?v=gCqWwJhjRwM,113102,Kito Music,2490000,2週間前,433612,26
Hoober & Jex - Lose Control,/watch?v=0bSxD8qvweM,131764,Kito Music,2490000,2週間前,433612,30
Stadiumx & Sebastian Wibe ft. Lena Leon - Illusions (VIP Mix),/watch?v=50-GxZMvbP0,105202,Kito Music,2490000,2週間前,433612,24
blackbear - i feel bad,/watch?v=-qWnIeoGMlI,214963,Kito Music,2490000,3週間前,433612,50
