title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
DEVIL KAZUMI - Piano Version,/watch?v=5_ICu5KKkQw,4907,KojiS,520,,61330,8
TEKKEN,/watch?v=ddyfanLxqvw,756,KojiS,520,,61330,1
Pokemon X/Y - Battle! Lysandre (Orchestred),/watch?v=RDnRuVO75p4,9444,KojiS,520,,61330,15
Naruto Shippuden OST - Kotoamatsukami (Remastered),/watch?v=yv9STvMb68k,117901,KojiS,520,,61330,192
Naruto Shippuden OST - Kushina's Theme (Remastered),/watch?v=fzLZV2voeFk,183329,KojiS,520,,61330,299
Naruto Shippuden OST - Konan VS Tobi (Remastered),/watch?v=mH1cLRj3D3A,143069,KojiS,520,,61330,233
Naruto Shippuden OST - Konan VS Tobi PREVIEW,/watch?v=qG79LHQfnX0,3247,KojiS,520,,61330,5
Naruto Shippuden OST - Edo Tensei / Gedô Mazô (Remastered),/watch?v=zGkQPEODUsA,85113,KojiS,520,,61330,139
Naruto Shippuden OST - Dead Demon Consuming Seal (Remastered),/watch?v=WP00z7vLaUI,180831,KojiS,520,,61330,295
Naruto Shippuden - Maisou (Fl Studio Version),/watch?v=K0noJHLjBbU,6084,KojiS,520,,61330,10
Man﻿ of the World (Piano Version) TEST,/watch?v=mB7PxQieDsU,745,KojiS,520,,61330,1
The Howling - Naruto Preview 2,/watch?v=Rd8dMhfQBC4,533,KojiS,520,,61330,1
