title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
Bleach Brave Souls - حياكم الله,/watch?v=fJaH29J1Wns,493,Kuchiki P,2170,,936,53
Bleach Brave Souls - حياكم الله,/watch?v=okelXr_mprM,298,Kuchiki P,2170,,936,32
Bleach Brave Souls - Guild Quest By [力] Aos / 27.681.000,/watch?v=YJpyLkqULMs,601,Kuchiki P,2170,,936,64
Bleach Brave Souls - Guild Quest By [力] Oddshin / 27.684.751,/watch?v=e2GDrnhWiN8,753,Kuchiki P,2170,,936,80
Vigilante 8 - الجزء الأول حياكم,/watch?v=J2ALavYz0J4,361,Kuchiki P,2170,,936,39
Bleach Brave Souls - نجمع بوشن حياكم الله,/watch?v=SA_OZghl_Z4,1425,Kuchiki P,2170,,936,152
Bleach Brave Souls - Guild Quest By [力] Oddshin / 27.685.634,/watch?v=u4kbiYG01gc,772,Kuchiki P,2170,,936,82
Bleach Brave Souls - ضبط يد التحكم على الستيم,/watch?v=IUv45SykLHg,1569,Kuchiki P,2170,,936,168
Bleach Brave Souls - تفتيح في بنر هاشفلد لشباب,/watch?v=SqFPzw6vHmw,1897,Kuchiki P,2170,,936,203
Bleach Brave Souls - حياكم الله,/watch?v=--iAzCK4Fqo,1055,Kuchiki P,2170,,936,113
Resident Evil 5 PART #6 - تختيم ريزدنت ايفل فايف,/watch?v=KTwzmSxrb9o,287,Kuchiki P,2170,,936,31
Bleach Brave Souls - قيم بلاي كيسكي اليكيورا يوريتشي,/watch?v=M7EiKWjKfSo,1231,Kuchiki P,2170,,936,132
Vigilante 8 Second Offense - بث فيجالنت ايت,/watch?v=RVq7OHygefE,362,Kuchiki P,2170,,936,39
PEPSI MAAAAN! حياكم اللي يبي بيبسي,/watch?v=DzYVLSZsfgI,541,Kuchiki P,2170,,936,58
Bleach Brave Souls: TYBW 5&6 SUMMONS PART #2 - نكمل للقرنتيد الثاني,/watch?v=9F-2MhdyjvQ,1225,Kuchiki P,2170,,936,131
Bleach Brave Souls - تفتيح التذاكر,/watch?v=U1R1Hc2Ae74,1143,Kuchiki P,2170,,936,122
Bleach Brave Souls - طاقات شخصيات منتصف الشهر,/watch?v=IaWhQYPWNJE,1012,Kuchiki P,2170,,936,108
Bleach Brave Souls - سمونز ببنر باز بي لشباب,/watch?v=9UgpyFqoSBs,1497,Kuchiki P,2170,,936,160
TEKKEN 5 - طقطقه,/watch?v=Cz7OMpaXQoM,512,Kuchiki P,2170,,936,55
Mortal Kombat Shaolin Monks - تختيم بشخصية Sub-Zero,/watch?v=zrvf9af6u1I,431,Kuchiki P,2170,,936,46
Crash Bandicoot - تختيم كراش الجزء الأول و طقطقه أرت اوف فايتنق,/watch?v=lB4ivsXDIiA,626,Kuchiki P,2170,,936,67
Marvel Ultimate Alliance 3 - حصرية السويتش,/watch?v=bmIk0tQIoI0,373,Kuchiki P,2170,,936,40
Bleach Brave Souls TYBW 5&6 Summons - سمونز بنر المانجا الخامس و السادس,/watch?v=OMB0VqsBaDU,1917,Kuchiki P,2170,,936,205
بث العاب قتال متنوعه حياكم الله,/watch?v=N6BkYn3Xor4,379,Kuchiki P,2170,,936,40
بث العاب قتال متنوعه حياكم الله,/watch?v=PjsFm_7laGY,190,Kuchiki P,2170,,936,20
Bleach Brave Souls -بث تفتيح كبير في حساب تركي,/watch?v=IKrMQ2uDav8,2167,Kuchiki P,2170,,936,232
Bleach Brave Souls - بث السنكاي مون تاور الاحتفاليه الخامسه,/watch?v=gg77JbDQnEM,1437,Kuchiki P,2170,,936,154
Bleach Brave Souls - تفتيح لتوكينادا حساب قراندي,/watch?v=v-AputvhRnk,1939,Kuchiki P,2170,,936,207
